SNP	gene	beta	t-stat	p-value	FDR
4972	36h-Fluconazole	29.8118492111115	8.54720743403706	3.95836968111889e-17	1.43142564408621e-12
2244	36h-Fluconazole	29.0667775066435	8.1778144415897	7.58076670915025e-16	7.35534349828161e-12
2234	36h-Fluconazole	28.4546003623918	8.12383154635071	1.15613068439128e-15	7.35534349828161e-12
2235	36h-Fluconazole	28.4546003623918	8.12383154635071	1.15613068439128e-15	7.35534349828161e-12
4975	36h-Fluconazole	28.6150355966085	8.1198183269758	1.19286581071617e-15	7.35534349828161e-12
4974	36h-Fluconazole	28.7254431547335	8.11688955419328	1.22039878849869e-15	7.35534349828161e-12
4976	36h-Fluconazole	28.2785888519908	8.05191509480324	2.02098597753606e-15	1.04404135599513e-11
2239	36h-Fluconazole	28.3414369692175	8.0175032779738	2.63612580111006e-15	1.19159476524677e-11
2243	36h-Fluconazole	28.1416608983233	7.95125751937866	4.3845173719307e-15	1.67582157835331e-11
2242	36h-Fluconazole	27.9475493645357	7.94401704979497	4.63420601281266e-15	1.67582157835331e-11
4977	36h-Fluconazole	27.85811854365	7.91874492465663	5.62060323757215e-15	1.84774776615531e-11
2240	36h-Fluconazole	27.7762305257946	7.86217531131039	8.64051831248279e-15	2.60382019346669e-11
2241	36h-Fluconazole	27.7019267662558	7.82963693857784	1.1051830089224e-14	3.07427907451169e-11
2204	36h-Fluconazole	28.9965356747576	7.80767240311336	1.30428928321473e-14	3.36897921854365e-11
4973	36h-Fluconazole	29.3005545938466	7.79393602406993	1.44635525028633e-14	3.48687323739028e-11
4970	36h-Fluconazole	26.9744425653824	7.66694273777075	3.73359513839472e-14	8.11534378001955e-11
2196	36h-Fluconazole	27.1012202089032	7.66403031015143	3.81507782369151e-14	8.11534378001955e-11
2245	36h-Fluconazole	26.8076381842087	7.61259627712936	5.57926174122451e-14	1.06208488626348e-10
2202	36h-Fluconazole	26.8121137147841	7.61257013585745	5.58033649660034e-14	1.06208488626348e-10
2197	36h-Fluconazole	26.9271864395928	7.5947545502808	6.36226573992264e-14	1.15036126843541e-10
4967	36h-Fluconazole	26.5229597006041	7.51841709745582	1.11255582337261e-13	1.91582112784763e-10
2198	36h-Fluconazole	26.547740701898	7.4871542890135	1.39669472681535e-13	2.28281282687847e-10
4971	36h-Fluconazole	26.5015444237439	7.47737218950058	1.4994626056593e-13	2.28281282687847e-10
4978	36h-Fluconazole	26.3903013149108	7.47594570855078	1.5150574593519e-13	2.28281282687847e-10
2236	36h-Fluconazole	26.3862959517717	7.4638217399604	1.65420663944155e-13	2.39277681981941e-10
2195	36h-Fluconazole	26.1069867322912	7.44331837862262	1.91867574451243e-13	2.66858277973302e-10
2193	36h-Fluconazole	26.350439023453	7.42300245242015	2.22162959129469e-13	2.95972164059141e-10
2246	36h-Fluconazole	26.0084389783437	7.41869345642662	2.29169310150323e-13	2.95972164059141e-10
4968	36h-Fluconazole	26.0370282155791	7.38816723653024	2.85424036702697e-13	3.5000286893746e-10
2237	36h-Fluconazole	25.9951500682396	7.38577711512511	2.90362426528505e-13	3.5000286893746e-10
2238	36h-Fluconazole	25.9546089031817	7.35082264750971	3.72949672365097e-13	4.35051808131182e-10
4975	58h-Fluconazole	26.4220980385445	7.34561682660688	3.87081024232226e-13	4.3742574994643e-10
4969	36h-Fluconazole	25.9123304654028	7.3365730575679	4.12892846610357e-13	4.52455488458295e-10
2233	36h-Fluconazole	26.7324724569313	7.289238548074	5.78201390684181e-13	6.14968196762393e-10
4972	43h-Fluconazole	24.1379107691221	7.22586730355037	9.04828514154093e-13	9.34868820824009e-10
4974	43h-Fluconazole	24.4007629221521	7.22009854157691	9.42316153575946e-13	9.46556576267038e-10
4975	43h-Fluconazole	24.2005225851187	7.18961671244202	1.16721038252128e-12	1.1407746446685e-09
2244	43h-Fluconazole	24.2824670904142	7.14801755523913	1.56115321975404e-12	1.4856427034933e-09
2203	36h-Fluconazole	25.5051086882542	7.12901733622025	1.78203581667923e-12	1.65235844109626e-09
4964	36h-Fluconazole	25.1933374436193	7.11052967274385	2.02631903404418e-12	1.83189372272764e-09
2194	36h-Fluconazole	25.4184753361045	7.09715890670433	2.22319834374956e-12	1.96086093918711e-09
2177	36h-Fluconazole	25.5764801630199	7.06790643317809	2.72175399440812e-12	2.34343018918539e-09
4977	58h-Fluconazole	25.3694456400648	7.06259758795145	2.82333040676619e-12	2.3743552132437e-09
2239	43h-Fluconazole	23.8362754257658	7.0589993270268	2.89428449407394e-12	2.3787071789705e-09
2232	36h-Fluconazole	25.2582982497174	7.04858813373544	3.10959172269673e-12	2.46643050839703e-09
4976	58h-Fluconazole	25.2933402477827	7.04652529445311	3.15408163867635e-12	2.46643050839703e-09
2201	36h-Fluconazole	25.0225212284872	7.04417030850621	3.20563668753555e-12	2.46643050839703e-09
4974	58h-Fluconazole	25.4447271791669	7.03106262581507	3.5080694382173e-12	2.64289181301696e-09
2234	43h-Fluconazole	23.4484850010066	7.00093709806775	4.31332770841998e-12	3.11957113183767e-09
2235	43h-Fluconazole	23.4484850010066	7.00093709806775	4.31332770841998e-12	3.11957113183767e-09
4954	36h-Fluconazole	24.7530373474151	6.96865892407988	5.37765060808491e-12	3.81307061352091e-09
4953	36h-Fluconazole	24.6203646127419	6.94358765214285	6.3784937941765e-12	4.39929045083634e-09
2255	36h-Fluconazole	24.5894985607952	6.94199938451103	6.44771843079271e-12	4.39929045083634e-09
2205	36h-Fluconazole	24.6626067086315	6.93662847407492	6.68731562837165e-12	4.47827236579955e-09
2243	43h-Fluconazole	23.3755335717582	6.91114826041999	7.94837770400093e-12	5.22598608240148e-09
4960	36h-Fluconazole	24.8924146568927	6.90633035651267	8.21178302452069e-12	5.30275888808423e-09
2242	43h-Fluconazole	23.1117998792155	6.87319261393387	1.02703995369331e-11	6.51575768516797e-09
2254	36h-Fluconazole	24.3384227820024	6.85951938210671	1.12603767162232e-11	6.95719505728384e-09
2168	36h-Fluconazole	24.2498656841823	6.85832736353588	1.13509902212197e-11	6.95719505728384e-09
2217	36h-Fluconazole	24.7217960132562	6.83903704018808	1.2920800225448e-11	7.78736629587749e-09
4965	36h-Fluconazole	24.2849338029957	6.82541568207686	1.41556097389066e-11	8.11924582119263e-09
2240	43h-Fluconazole	23.0413829107792	6.82525386910607	1.41709527252453e-11	8.11924582119263e-09
4977	43h-Fluconazole	22.9466939690095	6.82340353124736	1.43475640730882e-11	8.11924582119263e-09
4976	43h-Fluconazole	22.9271324730558	6.82317473333921	1.4369551810086e-11	8.11924582119263e-09
2241	43h-Fluconazole	23.0446823681383	6.81734312390339	1.49412655388215e-11	8.31240068330559e-09
2175	36h-Fluconazole	24.3087693260417	6.80262675166837	1.64850382005438e-11	9.03230229406157e-09
4966	36h-Fluconazole	24.2201981338149	6.79174136611228	1.77265277868385e-11	9.56756265414411e-09
2259	36h-Fluconazole	26.2056037854973	6.77310668756202	2.00679314808006e-11	1.0672007914834e-08
2189	36h-Fluconazole	24.2369027109681	6.74482057804724	2.42123464839159e-11	1.26553712812811e-08
4939	36h-Fluconazole	23.7747630866426	6.74305348395538	2.44974279544736e-11	1.26553712812811e-08
2252	36h-Fluconazole	23.6387047175685	6.7391416416398	2.5140271286996e-11	1.28045421166246e-08
2192	36h-Fluconazole	24.477206577773	6.73411210465476	2.59911296747115e-11	1.30540448791239e-08
4973	43h-Fluconazole	24.1739102294059	6.72856302195284	2.69626444501828e-11	1.33564814877741e-08
4933	36h-Fluconazole	23.8462681596143	6.7216643590771	2.82201744636205e-11	1.35489257415309e-08
4937	36h-Fluconazole	23.7297065856273	6.72165334094276	2.82222281822518e-11	1.35489257415309e-08
2262	36h-Fluconazole	23.6146558037705	6.7188529116785	2.87489906111738e-11	1.35489257415309e-08
4957	36h-Fluconazole	23.9744319640565	6.71832259771606	2.88498225235849e-11	1.35489257415309e-08
4972	58h-Fluconazole	24.0685874130811	6.71621008469877	2.92549394404986e-11	1.35630400006065e-08
2191	36h-Fluconazole	27.9839734742432	6.71108660892786	3.0260768743574e-11	1.38517711304446e-08
2190	36h-Fluconazole	23.8587044799529	6.7008340032437	3.23763513654532e-11	1.46173322901797e-08
2218	36h-Fluconazole	23.7904808472202	6.69913036636281	3.27416601820849e-11	1.46173322901797e-08
2233	43h-Fluconazole	23.4008745963975	6.69670926555753	3.32677718519774e-11	1.4671087386722e-08
4952	36h-Fluconazole	23.894496164373	6.69160911166832	3.44033003805225e-11	1.49890620284392e-08
4973	58h-Fluconazole	25.7095722915965	6.68873179148241	3.50605915630032e-11	1.50935846678729e-08
2221	36h-Fluconazole	24.3836976353465	6.67791195347881	3.7644225194422e-11	1.60151820174198e-08
10515	36h-Fluconazole	-24.6770408110449	-6.66700024866548	4.04384836727096e-11	1.7003912169448e-08
2229	36h-Fluconazole	23.5206838545508	6.63398384526487	5.01893760701039e-11	2.08614737637597e-08
2230	36h-Fluconazole	23.5405562241409	6.62853613226944	5.20058233257305e-11	2.13708475352848e-08
4959	36h-Fluconazole	23.6905057487593	6.6148697336381	5.6850793583421e-11	2.3099307837794e-08
2256	36h-Fluconazole	23.0897756403302	6.57858590339659	7.19613956844133e-11	2.88162695365843e-08
7031	36h-Fluconazole	63.4598770311812	6.57740358714608	7.25148091319389e-11	2.88162695365843e-08
2263	36h-Fluconazole	22.9859902977584	6.55006873348899	8.65369072856408e-11	3.40146482746016e-08
4955	36h-Fluconazole	23.6503158570089	6.53895930112979	9.29657864135241e-11	3.61486964331813e-08
2258	36h-Fluconazole	25.1342351935268	6.52654751140899	1.00701964719734e-10	3.87402600871811e-08
2226	36h-Fluconazole	23.2962147675549	6.52277085497778	1.0317853390381e-10	3.92751804529428e-08
2251	36h-Fluconazole	22.9839837306942	6.52101105109766	1.04352805675174e-10	3.9308397487767e-08
4956	36h-Fluconazole	23.5409933351593	6.50773681499919	1.13641907620459e-10	4.23661717873302e-08
2245	43h-Fluconazole	21.8867837104715	6.50293207408017	1.17199830924439e-10	4.3246737611118e-08
2227	36h-Fluconazole	23.4895526941386	6.49388027962816	1.24201289030899e-10	4.53673435751046e-08
2174	36h-Fluconazole	22.9513583705849	6.48551130431535	1.3103781464454e-10	4.70462887685522e-08
2257	36h-Fluconazole	22.8931765161013	6.48508032078221	1.31399678270665e-10	4.70462887685522e-08
4938	36h-Fluconazole	22.8255313942651	6.48169143695764	1.34279344467779e-10	4.76059770063119e-08
2215	36h-Fluconazole	22.9961871268271	6.47476416864623	1.40359170687097e-10	4.92783333047261e-08
2176	36h-Fluconazole	22.9912077079624	6.46339483273499	1.50926315999289e-10	5.24788215304451e-08
4963	36h-Fluconazole	23.2917080945382	6.42303452444625	1.95108630411616e-10	6.71954123137607e-08
2219	36h-Fluconazole	22.9184250634784	6.4191407136558	1.99987065517285e-10	6.82257760682648e-08
4958	36h-Fluconazole	22.8585243761518	6.41424448602925	2.06291000302693e-10	6.97186462892149e-08
2236	43h-Fluconazole	21.6560771483746	6.41217931286061	2.09007836628612e-10	6.99827906311469e-08
2267	36h-Fluconazole	23.0128519815211	6.40466350467518	2.19193906766123e-10	7.27200922612527e-08
4970	43h-Fluconazole	21.5425072489375	6.40072948310447	2.24717615236484e-10	7.38748945652886e-08
2188	36h-Fluconazole	23.9828493315254	6.39356810300485	2.35124412941396e-10	7.65997209079889e-08
4978	58h-Fluconazole	23.0505294815216	6.38895048825434	2.42083062970317e-10	7.8162568956541e-08
2265	36h-Fluconazole	22.4869011333893	6.37937981493649	2.57153277384903e-10	8.22678775995578e-08
2261	36h-Fluconazole	22.4835401924445	6.37803204941013	2.59347880270715e-10	8.22678775995578e-08
2246	43h-Fluconazole	21.3436267111603	6.37315391577935	2.67445256444562e-10	8.40987422917239e-08
2247	36h-Fluconazole	22.765535372849	6.36842553343426	2.75529781355232e-10	8.58940340807578e-08
2266	36h-Fluconazole	22.4298972256543	6.3622785580027	2.8639785632099e-10	8.85189682075182e-08
2253	36h-Fluconazole	22.652553396953	6.36007174037904	2.90400948969633e-10	8.8995585734236e-08
2260	36h-Fluconazole	22.3728245172856	6.3537142550151	3.02241515904789e-10	9.18458630096553e-08
4946	36h-Fluconazole	22.482632895284	6.34638266287664	3.164830131929e-10	9.53721560256803e-08
2238	43h-Fluconazole	21.392688141752	6.3441477649853	3.20953280548676e-10	9.59199382743902e-08
2216	36h-Fluconazole	23.7978780956961	6.34018476786815	3.29032379287705e-10	9.75284336049344e-08
2199	36h-Fluconazole	43.295241141328	6.33067756479502	3.49233345732179e-10	1.02674603645261e-07
4945	36h-Fluconazole	22.4812504214748	6.32158423793634	3.69686845379262e-10	1.07811416956491e-07
10514	36h-Fluconazole	-22.3570496581224	-6.315783882473	3.83340368270742e-10	1.10898835179252e-07
4936	36h-Fluconazole	22.2625788920056	6.30211281845928	4.17500304319534e-10	1.19822587339706e-07
4940	36h-Fluconazole	22.2988199621112	6.29987214655393	4.23375856248464e-10	1.20552107981551e-07
4971	43h-Fluconazole	21.3409149712477	6.29845071319472	4.27144993261202e-10	1.20675134736809e-07
4980	36h-Fluconazole	22.3903177924182	6.28998399286309	4.50284663958917e-10	1.26226310217693e-07
2237	43h-Fluconazole	21.14863127382	6.28856551890915	4.54279372830833e-10	1.26366543694682e-07
2231	36h-Fluconazole	22.2648537106698	6.26924169499177	5.12273943982251e-10	1.41411071467833e-07
2223	36h-Fluconazole	22.7796974789358	6.25942633597928	5.44441956338948e-10	1.48882572617132e-07
2222	36h-Fluconazole	22.9548883879439	6.25850104207178	5.47574308889955e-10	1.48882572617132e-07
2184	36h-Fluconazole	42.6775897531788	6.251236117671	5.72787420874708e-10	1.54575662042322e-07
4935	36h-Fluconazole	22.0510266419379	6.23788567920279	6.22110873150289e-10	1.66642765887857e-07
2264	36h-Fluconazole	22.0262605806738	6.23231523255388	6.43896599793194e-10	1.71210212071481e-07
2232	43h-Fluconazole	21.2984957899661	6.23103363805733	6.49013337032577e-10	1.71311097034833e-07
2239	58h-Fluconazole	22.5548224265874	6.21554047541505	7.14100974724164e-10	1.87125503246197e-07
4978	43h-Fluconazole	20.9661118755481	6.20989324573802	7.39376503677364e-10	1.91024021043347e-07
2209	36h-Fluconazole	22.0185814217293	6.20985662022871	7.3954324832887e-10	1.91024021043347e-07
2234	58h-Fluconazole	22.3176967988725	6.20215962262782	7.75412580256505e-10	1.97468096670674e-07
2235	58h-Fluconazole	22.3176967988725	6.20215962262782	7.75412580256505e-10	1.97468096670674e-07
2224	36h-Fluconazole	22.097241036198	6.19410631859495	8.14760586303303e-10	2.06037568684616e-07
2211	36h-Fluconazole	21.8830144581961	6.16725908913736	9.60540113679474e-10	2.41215636047758e-07
2213	36h-Fluconazole	21.8132503743044	6.16234280619987	9.8986521853374e-10	2.46865558845635e-07
