locus_id,chrom,start,end,description,genome_version
A:802-1806,CHR_1,802,1806,between TEL01L and YAL068C,Genome Release 64-3-1
A:2170-2479,CHR_1,2170,2479,between YAL068C and YAL067W-A,Genome Release 64-3-1
A:2708-7234,CHR_1,2708,7234,between YAL067W-A and YAL067C,Genome Release 64-3-1
A:9017-10090,CHR_1,9017,10090,between YAL067C and YAL066W,Genome Release 64-3-1
A:10400-11564,CHR_1,10400,11564,between YAL066W and YAL065C,Genome Release 64-3-1
A:11952-12045,CHR_1,11952,12045,between YAL065C and YAL064W-B,Genome Release 64-3-1
A:12427-13362,CHR_1,12427,13362,between YAL064W-B and YAL064C-A,Genome Release 64-3-1
A:13744-21565,CHR_1,13744,21565,between YAL064C-A and YAL064W,Genome Release 64-3-1
A:21851-22229,CHR_1,21851,22229,between YAL064W and YALWdelta1,Genome Release 64-3-1
A:22686-23999,CHR_1,22686,23999,between YAL063C-A and YAL063C,Genome Release 64-3-1
A:27969-30945,CHR_1,27969,30945,between YAL063C and ARS104,Genome Release 64-3-1
A:31184-31566,CHR_1,31184,31566,between ARS104 and YAL062W,Genome Release 64-3-1
A:32941-33447,CHR_1,32941,33447,between YAL062W and YAL061W,Genome Release 64-3-1
A:34702-35154,CHR_1,34702,35154,between YAL061W and YAL060W,Genome Release 64-3-1
A:36304-36495,CHR_1,36304,36495,between YAL060W and YAL059C-A,Genome Release 64-3-1
A:37148-37463,CHR_1,37148,37463,between YAL059W and YAL058W,Genome Release 64-3-1
A:39047-39258,CHR_1,39047,39258,between YAL056C-A and YAL056W,Genome Release 64-3-1
A:41902-41991,CHR_1,41902,41991,between YAL056W and ARS105,Genome Release 64-3-1
A:42152-42176,CHR_1,42152,42176,between ARS105 and YAL055W,Genome Release 64-3-1
A:42720-42880,CHR_1,42720,42880,between YAL055W and YAL054C,Genome Release 64-3-1
A:45023-45898,CHR_1,45023,45898,between YAL054C and YAL053W,Genome Release 64-3-1
A:48251-48563,CHR_1,48251,48563,between YAL053W and YAL051W,Genome Release 64-3-1
A:51708-51854,CHR_1,51708,51854,between YAL051W and YAL049C,Genome Release 64-3-1
A:52596-52800,CHR_1,52596,52800,between YAL049C and YAL048C,Genome Release 64-3-1
A:54914-54988,CHR_1,54914,54988,between YAL047W-A and YAL047C,Genome Release 64-3-1
A:56858-57028,CHR_1,56858,57028,between YAL047C and YAL046C,Genome Release 64-3-1
A:57386-57487,CHR_1,57386,57487,between YAL046C and YAL045C,Genome Release 64-3-1
A:57851-57949,CHR_1,57851,57949,between YAL044W-A and YAL044C,Genome Release 64-3-1
A:58463-58694,CHR_1,58463,58694,between YAL044C and YAL043C,Genome Release 64-3-1
A:61053-61230,CHR_1,61053,61230,between YAL043C and YAL042C-A,Genome Release 64-3-1
A:62564-62839,CHR_1,62564,62839,between YAL042W and YAL041W,Genome Release 64-3-1
A:65405-65777,CHR_1,65405,65777,between YAL041W and YAL040C,Genome Release 64-3-1
A:67521-68715,CHR_1,67521,68715,between YAL040C and YAL039C,Genome Release 64-3-1
A:69526-70299,CHR_1,69526,70299,between YAL039C and ARS106,Genome Release 64-3-1
A:70470-71785,CHR_1,70470,71785,between ARS106 and YAL038W,Genome Release 64-3-1
A:73301-73425,CHR_1,73301,73425,between YAL037C-B and YAL037C-A,Genome Release 64-3-1
A:73519-74019,CHR_1,73519,74019,between YAL037C-A and YAL037W,Genome Release 64-3-1
A:74824-75042,CHR_1,74824,75042,between YAL037W and YAL036C,Genome Release 64-3-1
A:76153-76426,CHR_1,76153,76426,between YAL036C and YAL035W,Genome Release 64-3-1
A:79436-79488,CHR_1,79436,79488,between YAL035W and YAL034C-B,Genome Release 64-3-1
A:80588-80709,CHR_1,80588,80709,between YAL034W-A and YAL034C,Genome Release 64-3-1
A:81952-82705,CHR_1,81952,82705,between YAL034C and YAL033W,Genome Release 64-3-1
A:83228-83334,CHR_1,83228,83334,between YAL033W and YAL032C,Genome Release 64-3-1
A:84475-84668,CHR_1,84475,84668,between YAL032C and YAL031W-A,Genome Release 64-3-1
A:87032-87285,CHR_1,87032,87285,between YAL031C and YAL030W,Genome Release 64-3-1
A:87753-87854,CHR_1,87753,87854,between YAL030W and YAL029C,Genome Release 64-3-1
A:92271-92899,CHR_1,92271,92899,between YAL029C and YAL028W,Genome Release 64-3-1
A:94487-94686,CHR_1,94487,94686,between YAL028W and YAL027W,Genome Release 64-3-1
A:99869-100224,CHR_1,99869,100224,between YNCA0001W and YAL025C,Genome Release 64-3-1
A:101146-101564,CHR_1,101146,101564,between YAL025C and YAL024C,Genome Release 64-3-1
A:105873-106271,CHR_1,105873,106271,between YAL024C and YAL023C,Genome Release 64-3-1
A:108552-108876,CHR_1,108552,108876,between YAL023C and YAL022C,Genome Release 64-3-1
A:110431-110845,CHR_1,110431,110845,between YAL022C and YAL021C,Genome Release 64-3-1
A:113360-113613,CHR_1,113360,113613,between YAL021C and YAL020C,Genome Release 64-3-1
A:114820-114918,CHR_1,114820,114918,between YAL019W-A and YAL019W,Genome Release 64-3-1
A:118315-118563,CHR_1,118315,118563,between YAL019W and YAL018C,Genome Release 64-3-1
A:119542-120224,CHR_1,119542,120224,between YAL018C and YAL017W,Genome Release 64-3-1
A:124296-124306,CHR_1,124296,124306,between YAL017W and YAL016C-B,Genome Release 64-3-1
A:124598-124754,CHR_1,124598,124754,between ARS107 and YAL016C-A,Genome Release 64-3-1
A:126787-126902,CHR_1,126787,126902,between YAL016W and YAL015C,Genome Release 64-3-1
