locus_id,name,sgd_id,genome_annotations,chrom,start,end,description,genome_version
TEL01L,TEL01L,SGDID:S000028862,reverse complement,CHR_1,1,801,"""Telomeric region on the left arm of Chromosome I; composed of an X element core sequence ; X element combinatorial repeats ; and a short terminal stretch of telomeric repeats""",Genome Release 64-3-1
ARS102,ARS102,SGDID:S000121252,ARS,CHR_1,707,776,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
ARS103,ARS103,SGDID:S000121253,ARS,CHR_1,7997,8547,"""Autonomously Replicating Sequence; replication origin of very weak function""",Genome Release 64-3-1
YALWdelta1,YALWdelta1,SGDID:S000006787,long_terminal_repeat,CHR_1,22230,22552,"""Ty1 LTR""",Genome Release 64-3-1
ARS104,ARS104,SGDID:S000118317,ARS,CHR_1,30946,31183,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
ARS105,ARS105,SGDID:S000121254,ARS,CHR_1,41992,42151,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
ARS106,ARS106,SGDID:S000118318,ARS,CHR_1,70300,70469,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
ARS107,ARS107,SGDID:S000118319,ARS,CHR_1,124349,124597,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
YALCdelta2,YALCdelta2,SGDID:S000006786,reverse complement,CHR_1,138831,138992,"""Ty1 LTR""",Genome Release 64-3-1
ARS108,ARS108,SGDID:S000121255,ARS,CHR_1,147398,147717,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
CEN1,CEN1,SGDID:S000006463,centromere,CHR_1,151465,151582,"""Chromosome I centromere""",Genome Release 64-3-1
ARS109,ARS101,SGDID:S000077372,ARS,CHR_1,159907,160127,"""ARS containing multiple redundant ORC binding sites; ORC is the acronym for origin recognition complex""",Genome Release 64-3-1
YARCdelta3,YARCdelta3,SGDID:S000006788,reverse complement,CHR_1,160105,160237,"""Ty1 LTR""",Genome Release 64-3-1
YARCdelta4,YARCdelta4,SGDID:S000006789,reverse complement,CHR_1,160238,160574,"""Ty1 LTR""",Genome Release 64-3-1
YARCTy1-1,YARCTy1-1,SGDID:S000006792,reverse complement,CHR_1,160238,166162,"""Ty1 element ; LTR retrotransposon of the Copia (Pseudoviridae) group; contains genes TYA Gag and TYB Pol ; encoding proteins involved in structure and function of virus-like particles ; flanked by two direct repeats; mutated in S288C""",Genome Release 64-3-1
YARCdelta5,YARCdelta5,SGDID:S000006790,reverse complement,CHR_1,165826,166162,"""Ty1 LTR""",Genome Release 64-3-1
ARS110,ARS110,SGDID:S000114488,ARS,CHR_1,176157,176404,"""Autonomously Replicating Sequence; originally referred to as ADE1 ARS""",Genome Release 64-3-1
YARWsigma1,YARWsigma1,SGDID:S000006795,long_terminal_repeat,CHR_1,182620,182959,"""Ty3 LTR""",Genome Release 64-3-1
YARWdelta6,YARWdelta6,SGDID:S000006793,long_terminal_repeat,CHR_1,183142,183474,"""Ty1 LTR""",Genome Release 64-3-1
YARWdelta7,YARWdelta7,SGDID:S000006794,long_terminal_repeat,CHR_1,189426,189757,"""Ty2 LTR""",Genome Release 64-3-1
YARCdelta8,YARCdelta8,SGDID:S000006791,reverse complement,CHR_1,209448,209778,"""Ty1 LTR""",Genome Release 64-3-1
ARS111,ARS111,SGDID:S000121256,ARS,CHR_1,214888,215644,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
ARS112,ARS112,SGDID:S000121257,ARS,CHR_1,222880,224046,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
TEL01R,TEL01R,SGDID:S000028937,telomere,CHR_1,229411,230218,"""Telomeric region on the right arm of Chromosome I; composed of an X element core sequence and a short terminal stretch of telomeric repeats""",Genome Release 64-3-1
TEL02L,TEL02L,SGDID:S000028867,reverse complement,CHR_2,1,6608,"""Telomeric region on the left arm of Chromosome II; annotated components include an X element core sequence ; X element combinatorial repeats ; and a short Y' element; TEL02L does have telomeric repeats (TEL02L-TR) ; but they are missing from the genome annotation due to difficulties encountered during sequencing and/or assembly""",Genome Release 64-3-1
ARS200,ARS200,SGDID:S000178039,ARS,CHR_2,40,202,"""Autonomously replicating sequence""",Genome Release 64-3-1
ARS201,ARS201,SGDID:S000178040,ARS,CHR_2,6498,6620,"""Autonomously replicating sequence""",Genome Release 64-3-1
YBLWdelta1,YBLWdelta1,SGDID:S000006798,long_terminal_repeat,CHR_2,8848,9092,"""Ty1 LTR""",Genome Release 64-3-1
YBLWdelta2,YBLWdelta2,SGDID:S000006799,long_terminal_repeat,CHR_2,9093,9424,"""Ty2 LTR""",Genome Release 64-3-1
YBLWdelta3,YBLWdelta3,SGDID:S000006800,long_terminal_repeat,CHR_2,9425,9518,"""Ty1 LTR""",Genome Release 64-3-1
ARS230,ARS230,SGDID:S000118996,ARS,CHR_2,28942,29160,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
YBLWdelta4,YBLWdelta4,SGDID:S000006801,long_terminal_repeat,CHR_2,29644,29975,"""Ty2 LTR""",Genome Release 64-3-1
YBLWTy2-1,YBLWTy2-1,SGDID:S000006809,LTR_retrotransposon,CHR_2,29644,35602,"""Ty2 element ; LTR retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol ; encoding proteins involved in structure and function of virus-like particles ; flanked by two direct repeats""",Genome Release 64-3-1
YBLWdelta5,YBLWdelta5,SGDID:S000006802,long_terminal_repeat,CHR_2,35271,35602,"""Ty2 LTR""",Genome Release 64-3-1
YBLWdelta6,YBLWdelta6,SGDID:S000006803,long_terminal_repeat,CHR_2,35604,35796,"""Ty1 LTR""",Genome Release 64-3-1
YBLCtau1,YBLCtau1,SGDID:S000006807,reverse complement,CHR_2,35851,36221,"""Ty4 LTR""",Genome Release 64-3-1
ARS202,ARS202,SGDID:S000118344,ARS,CHR_2,63259,63381,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
ARS203,ARS203,SGDID:S000178041,ARS,CHR_2,93435,93519,"""Autonomously replicating sequence""",Genome Release 64-3-1
ARS206,ARS206,SGDID:S000178042,ARS,CHR_2,143658,143745,"""Autonomously replicating sequence""",Genome Release 64-3-1
ARS207,ARS207,SGDID:S000118345,ARS,CHR_2,170173,170279,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
YBLCdelta7,YBLCdelta7,SGDID:S000006796,reverse complement,CHR_2,197016,197320,"""Ty1 LTR""",Genome Release 64-3-1
YBLWsigma1,YBLWsigma1,SGDID:S000006797,long_terminal_repeat,CHR_2,197714,198054,"""Ty3 LTR""",Genome Release 64-3-1
ARS231,ARS231,SGDID:S000118997,ARS,CHR_2,198313,198473,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
YBLWdelta8,YBLWdelta8,SGDID:S000006804,long_terminal_repeat,CHR_2,220895,221036,"""Ty1 LTR""",Genome Release 64-3-1
YBLWdelta9,YBLWdelta9,SGDID:S000006805,long_terminal_repeat,CHR_2,221037,221370,"""Ty1 LTR""",Genome Release 64-3-1
YBLWTy1-1,YBLWTy1-1,SGDID:S000006808,LTR_retrotransposon,CHR_2,221037,226952,"""Ty1 element ; LTR retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol ; encoding proteins involved in structure and function of virus-like particles ; flanked by two direct repeats""",Genome Release 64-3-1
YBLWdelta10,YBLWdelta10,SGDID:S000006806,long_terminal_repeat,CHR_2,226621,226952,"""Ty1 LTR""",Genome Release 64-3-1
ARS208,ARS208,SGDID:S000118346,ARS,CHR_2,237787,237900,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
CEN2,CEN2,SGDID:S000006464,centromere,CHR_2,238207,238323,"""Chromosome II centromere""",Genome Release 64-3-1
ARS209,ARS209,SGDID:S000114517,ARS,CHR_2,254998,255083,"""Autonomously Replicating Sequence; originally referred to as H4 ARS""",Genome Release 64-3-1
YBRCdelta11,YBRCdelta11,SGDID:S000006810,reverse complement,CHR_2,258670,258976,"""Ty1 LTR""",Genome Release 64-3-1
YBRWdelta12,YBRWdelta12,SGDID:S000006815,long_terminal_repeat,CHR_2,259578,259909,"""Ty1 LTR""",Genome Release 64-3-1
YBRWTy1-2,YBRWTy1-2,SGDID:S000006821,LTR_retrotransposon,CHR_2,259578,265494,"""Ty1 element ; LTR retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol ; encoding proteins involved in structure and function of virus-like particles ; flanked by two direct repeats""",Genome Release 64-3-1
YBRWdelta13,YBRWdelta13,SGDID:S000006816,long_terminal_repeat,CHR_2,265163,265494,"""Ty1 LTR""",Genome Release 64-3-1
YBRCdelta14,YBRCdelta14,SGDID:S000006811,reverse complement,CHR_2,266178,266256,"""Ty1 LTR""",Genome Release 64-3-1
