chromosome,start,end,gene,score,orientation
chrII,74709,74710,YBL080C,.,-
chrII,784606,784607,YBR291C,.,-
chrII,707347,707348,YBR244W,.,+
chrIII,74019,74020,YCL026C-B,.,-
chrVII,1000889,1000890,YGR254W,.,+
chrVII,987808,987809,YGR249W,.,+
chrVIII,26201,26202,YHL036W,.,+
chrX,90764,90765,YJL177W,.,+
chrX,647416,647417,YJR121W,.,+
chrXI,390012,390013,YKL026C,.,-
chrXII,368182,368183,YLR108C,.,-
chrXII,522086,522087,YLR183C,.,-
chrXIII,637393,637394,YMR189W,.,+
chrXV,956818,956819,YOR338W,.,+
chrXVI,412253,412254,YPL075W,.,+
chrXVI,22869,22870,YPL274W,.,+
chrXVI,877708,877709,YPR167C,.,-
chrXI,549447,549448,YKR056W,.,+
chrIX,398514,398515,YIR021W-A,.,+
chrX,113364,113365,YJL163C,.,-
chrVII,970084,970085,YGR239C,.,-
chrXVI,108615,108616,YPL231W,.,+
chrXI,259205,259206,YKL096W-A,.,+
chrXIII,13221,13222,YML130C,.,-
chrXV,657208,657209,YOR173W,.,+
chrVIII,98855,98856,YHL006C,.,-
chrVII,129818,129819,YGL196W,.,+
chrV,268201,268202,YER056C,.,-
chrXIV,191230,191231,YNL242W,.,+
chrXII,170377,170378,YLR012C,.,-
chrII,490496,490497,YBR126C,.,-
chrVIII,454105,454106,YHR176W,.,+
chrXI,457180,457181,YKR009C,.,-
chrII,718127,718128,YBR249C,.,-
chrV,559049,559050,YER184C,.,-
chrIV,66485,66486,YDL218W,.,+
chrVII,403676,403677,YGL051W,.,+
chrII,704083,704084,YBR241C,.,-
chrXIV,383951,383952,YNL127W,.,+
chrII,697374,697375,YBR238C,.,-
chrXVI,829710,829711,YPR149W,.,+
chrIX,270878,270879,YIL045W,.,+
chrII,773814,773815,YBR285W,.,+
chrIV,20519,20520,YDL241W,.,+
chrII,595981,595982,YBR183W,.,+
chrIV,1461567,1461568,YDR506C,.,-
chrII,757176,757177,YBR275C,.,-
chrIV,61905,61906,YDL222C,.,-
chrIV,1465903,1465904,YDR507C,.,-
chrXV,638719,638720,YOR161C,.,-
chrXVI,450549,450550,YPL058C,.,-
chrIV,73919,73920,YDL215C,.,-
chrVIII,54847,54848,YHL025W,.,+
chrXII,517692,517693,YLR181C,.,-
chrIV,1349967,1349968,YDR443C,.,-
chrIV,816834,816835,YDR177W,.,+
chrVII,210345,210346,YGL156W,.,+
chrVI,44467,44468,YFL045C,.,-
chrXVI,645872,645873,YPR036W-A,.,+
chrXIV,276384,276385,YNL192W,.,+
chrII,501594,501595,YBR132C,.,-
chrIV,1434766,1434767,YDR492W,.,+
chrXIII,601138,601139,YMR169C,.,-
chrVIII,121850,121851,YHR007C,.,-
chrXII,646117,646118,YLR256W,.,+
chrI,31189,31190,YAL062W,.,+
chrXIII,768035,768036,YMR247C,.,-
chrVII,438393,438394,YGL031C,.,-
chrII,494115,494116,YBR128C,.,-
chrXV,755060,755061,YOR219C,.,-
chrXVI,369522,369523,YPL095C,.,-
chrXVI,642093,642094,YPR035W,.,+
chrXV,21457,21458,YOL158C,.,-
chrIV,543565,543566,YDR043C,.,-
chrVII,958429,958430,YGR233C,.,-
chrXVI,812678,812679,YPR138C,.,-
chrVIII,368137,368138,YHR131C,.,-
chrXIV,661911,661912,YNR016C,.,-
chrV,423587,423588,YER131W,.,+
chrXV,324372,324373,YOL002C,.,-
chrXIII,684445,684446,YMR208W,.,+
chrXIV,259556,259557,YNL202W,.,+
chrX,704112,704113,YJR147W,.,+
chrX,241925,241926,YJL098W,.,+
chrIV,135012,135013,YDL181W,.,+
chrVII,703366,703367,YGR108W,.,+
chrXIV,447332,447333,YNL094W,.,+
chrV,110547,110548,YEL023C,.,-
chrXI,393368,393369,YKL023C-A,.,-
chrXII,202607,202608,YLR029C,.,-
chrXII,737581,737582,YLR304C,.,-
chrX,572969,572970,YJR073C,.,-
chrX,729644,729645,YJR156C,.,-
chrIV,1317822,1317823,YDR422C,.,-
chrXI,387508,387509,YKL027W,.,+
chrVII,850492,850493,YGR177C,.,-
chrXV,255088,255089,YOL038C-A,.,-
chrX,715865,715866,YJR151C,.,-
chrXV,1043171,1043172,YOR375C,.,-
chrXVI,404219,404220,YPL082C,.,-
chrX,683456,683457,YJR137C,.,-
chrXVI,329412,329413,YPL116W,.,+
chrV,359279,359280,YER100W,.,+
chrIV,465582,465583,YDR011W,.,+
chrVII,785315,785316,YGR146C,.,-
chrVIII,315971,315972,YHR101C,.,-
chrVII,534788,534789,YGR027C,.,-
chrXII,253087,253088,YLR055C,.,-
chrXIV,405588,405589,YNL118C,.,-
chrXIV,529880,529881,YNL053W,.,+
chrIX,380465,380466,YIR013C,.,-
chrXI,84600,84601,YKL189W,.,+
chrV,211990,211991,YER028C,.,-
chrXIII,325559,325560,YMR026C,.,-
chrXV,775717,775718,YOR233W,.,+
chrIV,750914,750915,YDR146C,.,-
chrIV,1334562,1334563,YDR436W,.,+
chrVIII,296447,296448,YHR096C,.,-
chrVII,780387,780388,YGR144W,.,+
chrXII,39487,39488,YLL051C,.,-
chrX,646519,646520,YJR119C,.,-
chrXVI,349080,349081,YPL107W,.,+
chrXIII,511275,511276,YMR122W-A,.,+
chrX,598689,598690,YJR092W,.,+
chrI,35061,35062,YAL060W,.,+
chrX,452323,452324,YJR008W,.,+
chrV,510235,510236,YER165W,.,+
chrXV,825462,825463,YOR267C,.,-
chrV,202172,202173,YER024W,.,+
chrXIII,904755,904756,YMR316W,.,+
chrII,683343,683344,YBR233W,.,+
chrV,39636,39637,YEL061C,.,-
chrXIV,703596,703597,YNR044W,.,+
chrVII,1052637,1052638,YGR281W,.,+
chrXI,393368,393369,YKL024C,.,-
chrVII,968762,968763,YGR238C,.,-
chrXIV,348643,348644,YNL151C,.,-
chrXIII,321183,321184,YMR023C,.,-
chrXII,796328,796329,YLR333C,.,-
chrVIII,175548,175549,YHR033W,.,+
chrVII,962847,962848,YGR236C,.,-
chrX,192486,192487,YJL117W,.,+
chrV,349918,349919,YER095W,.,+
chrIV,550661,550662,YDR046C,.,-
chrVII,557515,557516,YGR035C,.,-
chrII,378530,378531,YBR069C,.,-
chrX,236499,236500,YJL101C,.,-
chrIV,192599,192600,YDL146W,.,+
chrIV,1015851,1015852,YDR277C,.,-
chrXIV,537929,537930,YNL049C,.,-
chrX,146319,146320,YJL144W,.,+
chrIV,1230094,1230095,YDR379W,.,+
chrX,126400,126401,YJL157C,.,-
chrXV,1039766,1039767,YOR374W,.,+
chrIV,131917,131918,YDL183C,.,-
chrIV,1056425,1056426,YDR297W,.,+
chrII,595022,595023,YBR182C,.,-
chrXV,672523,672524,YOR179C,.,-
chrIV,894502,894503,YDR216W,.,+
chrX,419554,419555,YJL010C,.,-
chrIX,268657,268658,YIL046W,.,+
chrXI,280489,280490,YKL084W,.,+
chrVIII,201329,201330,YHR047C,.,-
chrIV,1324262,1324263,YDR428C,.,-
chrIX,150533,150534,YIL113W,.,+
chrIV,48061,48062,YDL227C,.,-
chrIX,382593,382594,YIR016W,.,+
chrIII,68384,68385,YCL030C,.,-
chrIX,325605,325606,YIL014C-A,.,-
chrXI,142902,142903,YKL164C,.,-
chrXIV,289351,289352,YNL186W,.,+
chrXIII,919380,919381,YMR322C,.,-
chrIX,137909,137910,YIL119C,.,-
chrVIII,480715,480716,YHR186C,.,-
chrXI,150748,150749,YKL161C,.,-
chrXV,5924,5925,YOL164W,.,+
chrX,83228,83229,YJL185C,.,-
chrXI,626529,626530,YKR096W,.,+
chrI,14651,14652,YAL064C-A,.,-
chrIV,1401602,1401603,YDR471W,.,+
