chromosome,start,end,gene,stable/fragile,gene orientation
chrXIV,776560,776561,YNR073C,stable,-
chrXI,2398,2399,YKL224C,stable,-
chrII,353602,353603,YBR057C,stable,-
chrXVI,900626,900627,YPR183W,stable,+
chrVII,36812,36813,YGL247W,stable,+
chrXI,525222,525223,YKR046C,stable,-
chrV,126506,126507,YEL015W,stable,+
chrV,126506,126507,YEL016C,stable,-
chrXV,849521,849522,YOR285W,stable,+
chrXII,404371,404372,YLR130C,stable,-
chrXII,283677,283678,YLR077W,stable,+
chrXIII,321357,321358,YMR023C,stable,-
chrXIV,43280,43281,YNL316C,stable,-
chrVI,44572,44573,YFL045C,stable,-
chrIII,48551,48552,YCL044C,stable,-
chrXV,682330,682331,YOR185C,stable,-
chrXVI,32924,32925,YPL269W,stable,+
chrIX,237921,237922,YIL067C,stable,-
chrI,39143,39144,YAL056W,stable,+
chrXIV,653301,653302,YNR015W,stable,+
chrXIV,107579,107580,YNL282W,stable,+
chrVI,147020,147021,YFL002C,stable,-
chrVI,147020,147021,YFL001W,stable,+
chrII,728260,728261,YBR256C,stable,-
chrXI,552482,552483,YKR058W,stable,+
chrXIV,585458,585459,YNL025C,stable,-
chrII,269711,269712,YBR015C,stable,-
chrV,177678,177679,YER012W,stable,+
chrXV,907799,907800,YOR316C,stable,-
chrVIII,111528,111529,YHR003C,stable,-
chrXVI,239270,239271,YPL165C,stable,-
chrVII,255401,255402,YGL134W,stable,+
chrIX,380966,380967,YIR014W,stable,+
chrXIII,919630,919631,YMR322C,stable,-
chrI,110544,110545,YAL022C,stable,-
chrXVI,73285,73286,YPL253C,stable,-
chrXIV,380976,380977,YNL130C,stable,-
chrIV,94019,94020,YDL205C,stable,-
chrXVI,479095,479096,YPL040C,stable,-
chrIV,1420997,1420998,YDR483W,stable,+
chrXII,1054935,1054936,YLR456W,stable,+
chrIX,54994,54995,YIL153W,stable,+
chrVII,987569,987570,YGR249W,stable,+
chrVII,129678,129679,YGL196W,stable,+
chrIV,192457,192458,YDL146W,stable,+
chrVI,174029,174030,YFR014C,stable,-
chrXV,923114,923115,YOR323C,stable,-
chrXIII,21948,21949,YML125C,stable,-
chrIV,1219249,1219250,YDR371W,stable,+
chrIV,1219249,1219250,YDR370C,stable,-
chrVIII,5925,5926,YHL048W,stable,+
chrXV,338807,338808,YOR006C,stable,-
chrXII,232149,232150,YLR043C,stable,-
chrIV,169763,169764,YDL160C-A,stable,-
chrII,559753,559754,YBR160W,stable,+
chrXIV,31534,31535,YNL325C,stable,-
chrXIV,652273,652274,YNR014W,stable,+
chrI,14830,14831,YAL064C-A,stable,-
chrIX,433427,433428,YIR041W,stable,+
chrXIII,43901,43902,YML113W,stable,+
chrXV,539566,539567,YOR115C,stable,-
chrXIV,429769,429770,YNL102W,stable,+
chrXII,448514,448515,YLR154C,stable,-
chrII,340892,340893,YBR053C,stable,-
chrX,669365,669366,YJR132W,stable,+
