SNP	Chr	Pos
8	1	27243
9	1	27272
16	1	27843
17	1	27848
18	1	28495
19	1	28975
26	1	31435
29	1	36146
31	1	37409
32	1	37478
33	1	39144
34	1	41499
37	1	51248
38	1	51462
39	1	52124
40	1	52667
42	1	59265
43	1	60165
44	1	62308
45	1	62869
49	1	66841
50	1	66948
51	1	68621
52	1	69417
56	1	74327
57	1	74572
58	1	75211
59	1	76030
60	1	80108
61	1	81262
62	1	81999
63	1	82431
64	1	83284
65	1	83613
66	1	84112
68	1	84858
69	1	85751
70	1	87445
71	1	87467
72	1	89070
73	1	89616
74	1	89679
75	1	89880
76	1	91472
77	1	93789
78	1	94351
79	1	99148
82	1	106800
83	1	107970
84	1	109000
85	1	112549
86	1	112742
87	1	113050
88	1	113135
89	1	114076
90	1	114628
91	1	116283
93	1	127853
94	1	128302
95	1	128704
96	1	128911
97	1	130267
98	1	130271
99	1	130613
100	1	132012
101	1	133231
102	1	137074
103	1	137304
104	1	139686
105	1	149562
106	1	150447
108	1	154084
110	1	157269
111	1	160054
112	1	166222
113	1	166416
114	1	167326
115	1	168836
116	1	171200
117	1	171431
118	1	173339
119	1	173845
120	1	175121
121	1	175281
122	1	175315
123	1	175523
124	1	175541
125	1	175653
128	1	175856
129	1	175876
130	1	175989
131	1	176001
133	1	177692
134	1	178191
135	1	178224
136	1	178960
140	1	183802
141	1	183954
142	1	184450
144	1	184718
145	1	185296
146	1	185438
147	1	185469
148	1	185503
149	1	185705
150	1	185749
151	1	185806
152	1	185879
153	1	185916
154	1	185941
155	1	185954
156	1	186055
157	1	186896
161	1	190132
162	1	190148
163	1	190165
164	1	190169
165	1	190933
166	1	192149
168	1	192303
171	1	192795
173	1	194187
174	1	194867
190	2	8314
194	2	8498
195	2	8651
197	2	9812
198	2	9932
199	2	10135
200	2	11616
201	2	12133
202	2	12194
203	2	12359
204	2	13061
205	2	14298
206	2	15222
207	2	17986
208	2	19770
209	2	19836
210	2	19851
211	2	21595
212	2	22385
213	2	23441
214	2	24209
215	2	24341
216	2	26815
217	2	28209
221	2	41245
222	2	43214
223	2	47104
224	2	50915
225	2	55834
226	2	56422
227	2	57715
228	2	59046
229	2	59191
230	2	59383
231	2	59477
233	2	60471
234	2	60478
235	2	60786
236	2	61035
237	2	61071
238	2	61675
240	2	62939
241	2	63527
242	2	63857
243	2	65527
247	2	67976
250	2	72389
251	2	72392
252	2	73646
253	2	74564
254	2	74739
257	2	80873
258	2	81501
259	2	83526
260	2	83845
263	2	84447
264	2	87391
265	2	87562
266	2	87849
267	2	87878
269	2	89785
272	2	93721
273	2	93952
274	2	95085
276	2	107124
277	2	111645
278	2	111916
279	2	111931
280	2	111999
281	2	114528
282	2	116024
