seqid,source,type,start,end,score,strand,phase,attributes
CHR_1,LD information,LD block,27498,27561,1,+,.,Name=CHR_1_10-11
CHR_1,LD information,LD block,27822,28975,1,+,.,Name=CHR_1_13-19
CHR_1,LD information,LD block,37409,37478,1,+,.,Name=CHR_1_31-32
CHR_1,LD information,LD block,51462,52667,1,+,.,Name=CHR_1_38-40
CHR_1,LD information,LD block,59265,60165,1,+,.,Name=CHR_1_42-43
CHR_1,LD information,LD block,62308,62869,1,+,.,Name=CHR_1_44-45
CHR_1,LD information,LD block,65431,65451,1,+,.,Name=CHR_1_46-47
CHR_1,LD information,LD block,66841,66948,1,+,.,Name=CHR_1_49-50
CHR_1,LD information,LD block,68621,69417,1,+,.,Name=CHR_1_51-52
CHR_1,LD information,LD block,74572,75211,1,+,.,Name=CHR_1_57-58
CHR_1,LD information,LD block,81999,82431,1,+,.,Name=CHR_1_62-63
CHR_1,LD information,LD block,83613,84112,1,+,.,Name=CHR_1_65-66
CHR_1,LD information,LD block,85751,91472,1,+,.,Name=CHR_1_69-76
CHR_1,LD information,LD block,94351,99148,1,+,.,Name=CHR_1_78-79
CHR_1,LD information,LD block,107970,109000,1,+,.,Name=CHR_1_83-84
CHR_1,LD information,LD block,112742,113135,1,+,.,Name=CHR_1_86-88
CHR_1,LD information,LD block,114076,114628,1,+,.,Name=CHR_1_89-90
CHR_1,LD information,LD block,128302,128911,1,+,.,Name=CHR_1_94-96
CHR_1,LD information,LD block,130271,130613,1,+,.,Name=CHR_1_98-99
CHR_1,LD information,LD block,137074,150447,1,+,.,Name=CHR_1_102-106
CHR_1,LD information,LD block,156633,167326,1,+,.,Name=CHR_1_109-114
CHR_1,LD information,LD block,171431,178960,1,+,.,Name=CHR_1_117-136
CHR_1,LD information,LD block,183954,186896,1,+,.,Name=CHR_1_141-157
CHR_1,LD information,LD block,189392,189416,1,+,.,Name=CHR_1_159-160
CHR_1,LD information,LD block,190148,190169,1,+,.,Name=CHR_1_162-164
CHR_1,LD information,LD block,194020,194187,1,+,.,Name=CHR_1_172-173
CHR_1,LD information,LD block,197325,197392,1,+,.,Name=CHR_1_175-176
CHR_2,LD information,LD block,8250,8253,1,+,.,Name=CHR_2_185-186
CHR_2,LD information,LD block,8302,8651,1,+,.,Name=CHR_2_188-195
CHR_2,LD information,LD block,9932,26815,1,+,.,Name=CHR_2_198-216
CHR_2,LD information,LD block,35849,35850,1,+,.,Name=CHR_2_219-220
CHR_2,LD information,LD block,41245,43214,1,+,.,Name=CHR_2_221-222
CHR_2,LD information,LD block,55834,59477,1,+,.,Name=CHR_2_225-231
CHR_2,LD information,LD block,60478,61675,1,+,.,Name=CHR_2_234-238
CHR_2,LD information,LD block,62939,65527,1,+,.,Name=CHR_2_240-243
CHR_2,LD information,LD block,67023,67024,1,+,.,Name=CHR_2_245-246
CHR_2,LD information,LD block,74564,74739,1,+,.,Name=CHR_2_253-254
CHR_2,LD information,LD block,80873,83845,1,+,.,Name=CHR_2_257-260
CHR_2,LD information,LD block,87562,87878,1,+,.,Name=CHR_2_265-267
CHR_2,LD information,LD block,93952,95085,1,+,.,Name=CHR_2_273-274
CHR_2,LD information,LD block,111916,116024,1,+,.,Name=CHR_2_278-282
CHR_2,LD information,LD block,119244,119246,1,+,.,Name=CHR_2_283-284
CHR_2,LD information,LD block,120291,124677,1,+,.,Name=CHR_2_287-291
CHR_2,LD information,LD block,128935,133435,1,+,.,Name=CHR_2_294-300
CHR_2,LD information,LD block,135402,136173,1,+,.,Name=CHR_2_303-308
CHR_2,LD information,LD block,138318,141545,1,+,.,Name=CHR_2_310-318
CHR_2,LD information,LD block,146723,147946,1,+,.,Name=CHR_2_322-323
CHR_2,LD information,LD block,153228,153455,1,+,.,Name=CHR_2_328-329
CHR_2,LD information,LD block,154160,154235,1,+,.,Name=CHR_2_332-333
CHR_2,LD information,LD block,163284,165675,1,+,.,Name=CHR_2_340-343
CHR_2,LD information,LD block,168518,169651,1,+,.,Name=CHR_2_347-349
CHR_2,LD information,LD block,170725,171254,1,+,.,Name=CHR_2_352-353
CHR_2,LD information,LD block,173254,173973,1,+,.,Name=CHR_2_355-358
CHR_2,LD information,LD block,180314,180339,1,+,.,Name=CHR_2_361-362
CHR_2,LD information,LD block,183619,191066,1,+,.,Name=CHR_2_364-368
CHR_2,LD information,LD block,191124,191128,1,+,.,Name=CHR_2_369-370
CHR_2,LD information,LD block,191762,192390,1,+,.,Name=CHR_2_372-375
CHR_2,LD information,LD block,195759,196912,1,+,.,Name=CHR_2_376-377
CHR_2,LD information,LD block,198283,205834,1,+,.,Name=CHR_2_380-389
CHR_2,LD information,LD block,207561,210102,1,+,.,Name=CHR_2_392-394
CHR_2,LD information,LD block,214801,215016,1,+,.,Name=CHR_2_396-397
CHR_2,LD information,LD block,230378,241518,1,+,.,Name=CHR_2_400-405
CHR_2,LD information,LD block,250466,254908,1,+,.,Name=CHR_2_407-411
CHR_2,LD information,LD block,255862,255975,1,+,.,Name=CHR_2_413-414
CHR_2,LD information,LD block,259284,268086,1,+,.,Name=CHR_2_416-419
CHR_2,LD information,LD block,274729,287187,1,+,.,Name=CHR_2_421-432
CHR_2,LD information,LD block,296073,296082,1,+,.,Name=CHR_2_435-436
CHR_2,LD information,LD block,299708,300111,1,+,.,Name=CHR_2_442-444
CHR_2,LD information,LD block,303446,304691,1,+,.,Name=CHR_2_447-450
CHR_2,LD information,LD block,310030,310972,1,+,.,Name=CHR_2_454-456
CHR_2,LD information,LD block,318265,318379,1,+,.,Name=CHR_2_460-461
CHR_2,LD information,LD block,321266,322957,1,+,.,Name=CHR_2_462-463
CHR_2,LD information,LD block,335046,340466,1,+,.,Name=CHR_2_468-474
CHR_2,LD information,LD block,350086,353536,1,+,.,Name=CHR_2_479-488
CHR_2,LD information,LD block,358277,359515,1,+,.,Name=CHR_2_491-494
CHR_2,LD information,LD block,363588,369530,1,+,.,Name=CHR_2_496-504
CHR_2,LD information,LD block,369931,371033,1,+,.,Name=CHR_2_506-507
CHR_2,LD information,LD block,373518,376172,1,+,.,Name=CHR_2_509-511
CHR_2,LD information,LD block,381368,384955,1,+,.,Name=CHR_2_513-518
CHR_2,LD information,LD block,387301,388313,1,+,.,Name=CHR_2_520-521
CHR_2,LD information,LD block,389425,389428,1,+,.,Name=CHR_2_522-523
CHR_2,LD information,LD block,391233,391319,1,+,.,Name=CHR_2_525-526
CHR_2,LD information,LD block,395606,405100,1,+,.,Name=CHR_2_530-543
CHR_2,LD information,LD block,406688,410647,1,+,.,Name=CHR_2_549-552
CHR_2,LD information,LD block,419943,425467,1,+,.,Name=CHR_2_555-557
CHR_2,LD information,LD block,427842,427869,1,+,.,Name=CHR_2_558-559
CHR_2,LD information,LD block,431266,434090,1,+,.,Name=CHR_2_561-564
CHR_2,LD information,LD block,449537,450017,1,+,.,Name=CHR_2_568-569
CHR_2,LD information,LD block,451779,451784,1,+,.,Name=CHR_2_570-571
CHR_2,LD information,LD block,453768,455247,1,+,.,Name=CHR_2_573-576
CHR_2,LD information,LD block,457024,457298,1,+,.,Name=CHR_2_580-581
CHR_2,LD information,LD block,460262,460263,1,+,.,Name=CHR_2_583-584
CHR_2,LD information,LD block,464424,465824,1,+,.,Name=CHR_2_586-587
CHR_2,LD information,LD block,470686,474141,1,+,.,Name=CHR_2_589-596
CHR_2,LD information,LD block,475703,476732,1,+,.,Name=CHR_2_597-598
CHR_2,LD information,LD block,477272,477273,1,+,.,Name=CHR_2_600-601
CHR_2,LD information,LD block,480275,480340,1,+,.,Name=CHR_2_604-605
CHR_2,LD information,LD block,481312,486033,1,+,.,Name=CHR_2_607-613
CHR_2,LD information,LD block,495558,495559,1,+,.,Name=CHR_2_618-619
