Yeast_Gene_stable_ID	Yeast_Gene_name	Human_Gene_stable_ID	Human_Gene_name
YER101C	AST2	ENSG00000205758	CRYZL1
YDR247W	VHS1	ENSG00000142149	HUNK
YLR142W	PUT1	ENSG00000277196	
YKL014C	URB1	ENSG00000142207	URB1
YCL025C	AGP1	ENSG00000139514	SLC7A1
YDR046C	BAP3	ENSG00000139514	SLC7A1
YJL165C	HAL5	ENSG00000142149	HUNK
YAL060W	BDH1	ENSG00000205758	CRYZL1
YGR108W	CLB1	ENSG00000133101	CCNA1
YNL134C		ENSG00000205758	CRYZL1
YGL073W	HSF1	ENSG00000169953	HSFY2
YGL073W	HSF1	ENSG00000172468	HSFY1
YMR218C	TRS130	ENSG00000160218	TRAPPC10
YPL145C	KES1	ENSG00000184792	OSBP2
YDL224C	WHI4	ENSG00000101489	CELF4
YBR241C		ENSG00000197496	SLC2A10
YER047C	SAP1	ENSG00000102781	KATNAL1
YGL157W	ARI1	ENSG00000088451	TGDS
YDL161W	ENT1	ENSG00000176177	ENTHD1
YDR343C	HXT6	ENSG00000197496	SLC2A10
YPL141C	FRK1	ENSG00000142149	HUNK
YGR109C	CLB6	ENSG00000133101	CCNA1
YKL168C	KKQ8	ENSG00000142149	HUNK
YDR405W	MRP20	ENSG00000276345	
YPL074W	YTA6	ENSG00000102781	KATNAL1
YEL060C	PRB1	ENSG00000125851	PCSK2
YDR122W	KIN1	ENSG00000142149	HUNK
YBL047C	EDE1	ENSG00000205726	ITSN1
YJL093C	TOK1	ENSG00000124249	KCNK15
YJR059W	PTK2	ENSG00000142149	HUNK
YKL198C	PTK1	ENSG00000142149	HUNK
YGL206C	CHC1	ENSG00000070371	CLTCL1
YLR081W	GAL2	ENSG00000197496	SLC2A10
YJL008C	CCT8	ENSG00000156261	CCT8
YMR303C	ADH2	ENSG00000205758	CRYZL1
YJR119C	JHD2	ENSG00000012817	KDM5D
YLR001C		ENSG00000133110	POSTN
YNL041C	COG6	ENSG00000133103	COG6
YBR140C	IRA1	ENSG00000185989	RASA3
YDL194W	SNF3	ENSG00000197496	SLC2A10
YDR541C		ENSG00000088451	TGDS
YBR042C	CST26	ENSG00000160216	AGPAT3
YHR094C	HXT1	ENSG00000197496	SLC2A10
YDR508C	GNP1	ENSG00000139514	SLC7A1
YJL214W	HXT8	ENSG00000197496	SLC2A10
YPL231W	FAS2	ENSG00000100294	MCAT
YKL087C	CYT2	ENSG00000004961	HCCS
YKR019C	IRS4	ENSG00000205726	ITSN1
YGR005C	TFG2	ENSG00000188342	GTF2F2
YJR147W	HMS2	ENSG00000169953	HSFY2
YJR147W	HMS2	ENSG00000172468	HSFY1
YKL029C	MAE1	ENSG00000082212	ME2
YAL036C	RBG1	ENSG00000185721	DRG1
YHR030C	SLT2	ENSG00000141639	MAPK4
YPL006W	NCR1	ENSG00000141458	NPC1
YCR057C	PWP2	ENSG00000241945	PWP2
YBR112C	CYC8	ENSG00000183878	UTY
YPL026C	SKS1	ENSG00000142149	HUNK
YDR342C	HXT7	ENSG00000197496	SLC2A10
YNL197C	WHI3	ENSG00000101489	CELF4
YDL155W	CLB3	ENSG00000133101	CCNA1
YLR096W	KIN2	ENSG00000142149	HUNK
YNL183C	NPR1	ENSG00000142149	HUNK
YJR138W	IML1	ENSG00000100150	DEPDC5
YMR216C	SKY1	ENSG00000141639	MAPK4
YCR102C		ENSG00000205758	CRYZL1
YMR308C	PSE1	ENSG00000065150	IPO5
YOL151W	GRE2	ENSG00000088451	TGDS
YLR371W	ROM2	ENSG00000152767	FARP1
YOL156W	HXT11	ENSG00000197496	SLC2A10
YLL061W	MMP1	ENSG00000139514	SLC7A1
YCL043C	PDI1	ENSG00000125827	TMX4
YCL043C	PDI1	ENSG00000166479	TMX3
YBR298C	MAL31	ENSG00000197496	SLC2A10
YEL063C	CAN1	ENSG00000139514	SLC7A1
YLR206W	ENT2	ENSG00000176177	ENTHD1
YIR035C		ENSG00000159228	CBR1
YIR035C		ENSG00000159231	CBR3
YML102W	CAC2	ENSG00000159259	CHAF1B
YOL081W	IRA2	ENSG00000185989	RASA3
YPL274W	SAM3	ENSG00000139514	SLC7A1
