Yeast_Gene_stable_ID	Yeast_Gene_name	Human_Gene_stable_ID	Human_Gene_name
YMR011W	HXT2	ENSG00000197496	SLC2A10
YGR108W	CLB1	ENSG00000133101	CCNA1
YMR199W	CLN1	ENSG00000133101	CCNA1
YPR120C	CLB5	ENSG00000133101	CCNA1
YHR096C	HXT5	ENSG00000197496	SLC2A10
YEL069C	HXT13	ENSG00000197496	SLC2A10
YDL224C	WHI4	ENSG00000101489	CELF4
YBR241C		ENSG00000197496	SLC2A10
YPR119W	CLB2	ENSG00000133101	CCNA1
YDR343C	HXT6	ENSG00000197496	SLC2A10
YGR109C	CLB6	ENSG00000133101	CCNA1
YDL247W	MPH2	ENSG00000197496	SLC2A10
YLR210W	CLB4	ENSG00000133101	CCNA1
YPL256C	CLN2	ENSG00000133101	CCNA1
YBL047C	EDE1	ENSG00000205726	ITSN1
YJL093C	TOK1	ENSG00000124249	KCNK15
YJR158W	HXT16	ENSG00000197496	SLC2A10
YDR345C	HXT3	ENSG00000197496	SLC2A10
YLR081W	GAL2	ENSG00000197496	SLC2A10
YFL011W	HXT10	ENSG00000197496	SLC2A10
YBR140C	IRA1	ENSG00000185989	RASA3
YDL194W	SNF3	ENSG00000197496	SLC2A10
YHR094C	HXT1	ENSG00000197496	SLC2A10
YJL214W	HXT8	ENSG00000197496	SLC2A10
YJR160C	MPH3	ENSG00000197496	SLC2A10
YKR019C	IRS4	ENSG00000205726	ITSN1
YDR342C	HXT7	ENSG00000197496	SLC2A10
YGR289C	MAL11	ENSG00000197496	SLC2A10
YNL197C	WHI3	ENSG00000101489	CELF4
YDL155W	CLB3	ENSG00000133101	CCNA1
YJL219W	HXT9	ENSG00000197496	SLC2A10
YJL083W	TAX4	ENSG00000205726	ITSN1
YGL104C	VPS73	ENSG00000197496	SLC2A10
YOL156W	HXT11	ENSG00000197496	SLC2A10
YHR092C	HXT4	ENSG00000197496	SLC2A10
YBR298C	MAL31	ENSG00000197496	SLC2A10
YOL081W	IRA2	ENSG00000185989	RASA3
YDL138W	RGT2	ENSG00000197496	SLC2A10
