Yeast_Gene_stable_ID	Yeast_Gene_name	Human_Gene_stable_ID	Human_Gene_name
YER101C	AST2	ENSG00000205758	CRYZL1
YDR247W	VHS1	ENSG00000142149	HUNK
Q0275	COX3	ENSG00000198938	MT-CO3
YLR142W	PUT1	ENSG00000277196	
Q0085	ATP6	ENSG00000198899	MT-ATP6
YKL014C	URB1	ENSG00000142207	URB1
YCL025C	AGP1	ENSG00000139514	SLC7A1
YGL091C	NBP35	ENSG00000151413	NUBPL
YKL025C	PAN3	ENSG00000152520	PAN3
YHR144C	DCD1	ENSG00000102543	CDADC1
YHR203C	RPS4B	ENSG00000129824	RPS4Y1
YHR203C	RPS4B	ENSG00000280969	RPS4Y2
YBL069W	AST1	ENSG00000205758	CRYZL1
YML054C	CYB2	ENSG00000101323	HAO1
YDR046C	BAP3	ENSG00000139514	SLC7A1
YJL165C	HAL5	ENSG00000142149	HUNK
YMR011W	HXT2	ENSG00000197496	SLC2A10
YAL060W	BDH1	ENSG00000205758	CRYZL1
YGR108W	CLB1	ENSG00000133101	CCNA1
YNL134C		ENSG00000205758	CRYZL1
Q0115	BI3	ENSG00000198727	MT-CYB
YMR199W	CLN1	ENSG00000133101	CCNA1
YGL073W	HSF1	ENSG00000169953	HSFY2
YGL073W	HSF1	ENSG00000172468	HSFY1
YPR120C	CLB5	ENSG00000133101	CCNA1
YNL270C	ALP1	ENSG00000139514	SLC7A1
YOR063W	RPL3	ENSG00000100316	RPL3
YOR237W	HES1	ENSG00000184792	OSBP2
YMR218C	TRS130	ENSG00000160218	TRAPPC10
YHR096C	HXT5	ENSG00000197496	SLC2A10
YPL145C	KES1	ENSG00000184792	OSBP2
YEL069C	HXT13	ENSG00000197496	SLC2A10
Q0105	COB	ENSG00000198727	MT-CYB
YIL039W	TED1	ENSG00000154889	MPPE1
YDL224C	WHI4	ENSG00000101489	CELF4
YDR087C	RRP1	ENSG00000160208	RRP1B
YDR087C	RRP1	ENSG00000160214	RRP1
YML038C	YMD8	ENSG00000080189	SLC35C2
YBR241C		ENSG00000197496	SLC2A10
YPR119W	CLB2	ENSG00000133101	CCNA1
YER047C	SAP1	ENSG00000102781	KATNAL1
YNR027W	BUD17	ENSG00000160209	PDXK
YER037W	PHM8	ENSG00000170191	NANP
YAL039C	CYC3	ENSG00000004961	HCCS
YGL157W	ARI1	ENSG00000088451	TGDS
YDR518W	EUG1	ENSG00000125827	TMX4
YDR518W	EUG1	ENSG00000166479	TMX3
YDL161W	ENT1	ENSG00000176177	ENTHD1
YMR083W	ADH3	ENSG00000205758	CRYZL1
YDR343C	HXT6	ENSG00000197496	SLC2A10
YPL141C	FRK1	ENSG00000142149	HUNK
YGR109C	CLB6	ENSG00000133101	CCNA1
YGL224C	SDT1	ENSG00000170191	NANP
YJR145C	RPS4A	ENSG00000129824	RPS4Y1
YJR145C	RPS4A	ENSG00000280969	RPS4Y2
Q0045	COX1	ENSG00000198804	MT-CO1
YDL247W	MPH2	ENSG00000197496	SLC2A10
YLR210W	CLB4	ENSG00000133101	CCNA1
YKL168C	KKQ8	ENSG00000142149	HUNK
YDR405W	MRP20	ENSG00000276345	
YPL074W	YTA6	ENSG00000102781	KATNAL1
Q0070	AI5_ALPHA	ENSG00000198804	MT-CO1
YEL060C	PRB1	ENSG00000125851	PCSK2
YDR122W	KIN1	ENSG00000142149	HUNK
YPL256C	CLN2	ENSG00000133101	CCNA1
YBL047C	EDE1	ENSG00000205726	ITSN1
YJL093C	TOK1	ENSG00000124249	KCNK15
YKL055C	OAR1	ENSG00000159231	CBR3
YJR158W	HXT16	ENSG00000197496	SLC2A10
YKR048C	NAP1	ENSG00000236424	TSPY10
YKR048C	NAP1	ENSG00000258992	TSPY1
YKR048C	NAP1	ENSG00000168757	TSPY2
YKR048C	NAP1	ENSG00000229549	TSPY8
YKR048C	NAP1	ENSG00000228927	TSPY3
YKR048C	NAP1	ENSG00000233803	TSPY4
YKR048C	NAP1	ENSG00000238074	TSPY9
YJR059W	PTK2	ENSG00000142149	HUNK
YDR345C	HXT3	ENSG00000197496	SLC2A10
YCR105W	ADH7	ENSG00000205758	CRYZL1
