locus_id	Metformin
YOR059C	3.20612711182752e-06
YCL014W	8.93131885798647e-06
YCL012C	4.0324630393583e-05
YOL080C	3.89640938234432e-05
YMR120C	5.78806076172153e-05
YOR058C	8.85802735321653e-05
YOR065W	8.32609494101626e-05
YCLWdelta2b	9.25876090341834e-05
YMR119W	0.0001621605331183
YCL018W	7.94219771836157e-05
YOR086C	0.0001980718059254
tL(CAA)M	0.0002585148060853
YCL024W	0.0003593512203795
YOL078W	0.0002729360463352
YOL082W	0.0003944809776539
YCL016C	0.0006276279226374
CUT827	0.0011756110927057
YOL081W	0.001826395976969
XUT_15R-101	0.0014930124811487
YMR109W	0.0013522981793654
YMR107W	0.00166401258678
YOL083W	0.0068985889810511
YMR121C	0.0036774142184115
YMR116C	0.0042231749356645
YGR131W	0.0054738863798581
YPR145W	0.0057066724360961
YMR115W	0.0061513334397685
YMR111C	0.008727727995474
CUT300	0.0090210507118426
YGR134W	0.0103759814449037
YGR133W	0.0102386364308609
YLL029W	0.0104508936263829
YDR260C	0.0115935026389875
YDR261W-A	0.0119632958223128
YCR030C	0.0153315913650929
YMR113W	0.014042827480142
YCL009C	0.0149304482299765
YIL056W	0.015227506605354
YMR110C	0.0154359402970371
YPR143W	0.0172483332444851
YMR122C	0.0151571647267205
YBL058W	0.0186597289225371
snR65	0.0194786105796498
YBL055C	0.0186555575261898
YDR074W	0.0208122937215586
YDR259C	0.0211383392616558
YGR130C	0.0237773272606659
YCR033W	0.0209006246753868
YGR138C	0.0266675617006076
YDR072C	0.0250385160540783
YPR151C	0.0251532708035567
YGR223C	0.0280026272764707
YGR140W	0.0284080123321977
tG(UCC)O	0.0245864685517802
YGR189C	0.0310601223864831
YNL206C	0.0318328914938131
YDR264C	0.0332654870474491
YPR146C	0.034113429523156
YDR258C	0.0351214580059018
YCR034W	0.0365024147125053
YDRWdelta19	0.037051911234475
YGR129W	0.0374268536689991
YDR276C	0.0386642653683898
YAL024C	0.0393741861870395
tI(AAU)G	0.0404189733279419
YJL177W	0.0378187888884772
YPR140W	0.043212539288673
YOL077C	0.0333142773690473
YBL056W	0.0446754806136617
