Locus	PPI
nan	0.05
YMR015C	0.05
YLR100W	0.05
YPL186C	0.05
YML058W-A	0.05
YML012W	0.05
YML086C	0.05
YEL013W	0.05
YDL123W	0.05
YNL087W	0.05
YNL255C	0.05
YMR120C	0.05
YLL028W	0.05
YIR001C	0.05
YLR083C	0.05
YGR163W	0.05
YFL048C	0.05
YLR438C-A	0.05
YOR273C	0.05
YGR121C	0.05
YOR104W	0.05
YPR113W	0.05
YBR283C	0.05
YGL006W	0.05
YML121W	0.05
YDL160C	0.05
YJL151C	0.05
YHR175W	0.05
YDR501W	0.05
YPL246C	0.05
YNL283C	0.05
YCL037C	0.05
YFR051C	0.05
YLR350W	0.05
YHR007C	0.05
YMR105C	0.05
YIR037W	0.05
YDL222C	0.05
YIL070C	0.05
YGL077C	0.05
YGR138C	0.05
YBR077C	0.05
YMR266W	0.05
YLR144C	0.05
YLR332W	0.05
