Chromosome_Name,strand,start,end,5-start,3-end,Locus,Gene,strain
CHR1,-,123147,122228,122447,122328,YAL025C,MAK16,RM11
CHR1,-,121806,117500,121106,117600,YAL024C,LTE1,RM11
CHR1,-,117098,114820,116398,114920,YAL023C,PMT2,RM11
CHR1,-,114494,112942,113794,113042,YAL022C,FUN26,RM11
CHR1,-,112527,110006,111827,110106,YAL021C,CCR4,RM11
CHR1,-,109750,108750,109050,108850,YAL020C,ATS1,RM11
CHR1,+,106974,105117,106274,105217,YAL019W,FUN30,RM11
CHR1,-,22353,22685,21653,22785,YAL065C,YAL065C,RM11
CHR1,-,104866,103890,104166,103990,YAL018C,LDS1,RM11
CHR1,+,103205,99136,102505,99236,YAL017W,PSK1,RM11
CHR1,+,22798,23198,22098,23298,YAL064W-B,YAL064W-B,RM11
CHR1,+,98551,96645,97851,96745,YAL016W,TPD3,RM11
CHR1,-,96525,95327,95825,95427,YAL015C,NTG1,RM11
CHR1,-,95177,94411,94477,94511,YAL014C,SYN8,RM11
CHR1,+,94159,92943,93459,93043,YAL013W,DEP1,RM11
CHR1,+,92629,91446,91929,91546,YAL012W,CYS3,RM11
CHR1,+,91229,89353,90529,89453,YAL011W,SWC3,RM11
CHR1,-,11432,11813,10732,11913,YAL064C-A,TDA8,RM11
CHR1,-,89244,87764,88544,87864,YAL010C,MDM10,RM11
CHR1,+,87574,86796,86874,86896,YAL009W,SPO7,RM11
CHR1,+,86514,85919,85814,86019,YAL008W,FUN14,RM11
CHR1,-,85730,85084,85030,85184,YAL007C,ERP2,RM11
CHR1,+,84275,84174,83575,84274,tP(UGG)A,TRN1,RM11
CHR1,-,83928,82001,83228,82101,YAL005C,SSA1,RM11
CHR1,+,81258,80270,80558,80370,YAL003W,EFB1,RM11
CHR1,+,81065,80965,80365,81065,snR18,snR18,RM11
CHR1,+,79722,75899,79022,75999,YAL002W,VPS8,RM11
CHR1,-,75835,72264,75135,72364,YAL001C,TFC3,RM11
CHR1,+,71165,69547,70465,69647,YAR002W,NUP60,RM11
CHR1,-,69354,68696,68654,68796,YAR002C-A,ERP1,RM11
CHR1,+,68414,67135,67714,67235,YAR003W,SWD1,RM11
CHR1,-,66664,64800,65964,64900,YAR007C,RFA1,RM11
CHR1,+,64452,63626,63752,63726,YAR008W,SEN34,RM11
CHR11,-,469853,468027,469153,468127,YAR009C,YAR009C,RM11
CHR4,-,697885,699206,697185,699306,YAR010C,YAR010C,RM11
CHR1,+,63081,63010,62381,63110,tA(UGC)A,TGA1,RM11
CHR1,-,62606,60478,61906,60578,YAR014C,BUD14,RM11
CHR1,+,59973,59054,59273,59154,YAR015W,ADE1,RM11
CHR1,-,58952,57646,58252,57746,YAR018C,KIN3,RM11
CHR1,-,57136,54213,56436,54313,YAR019C,CDC15,RM11
CHR1,-,52491,52327,51791,52427,YAR020C,PAU7,RM11
CHR1,-,50070,49532,49370,49632,YAR023C,YAR023C,RM11
CHR9,-,423744,423383,423044,423483,YAL068C,PAU8,RM11
CHR1,+,47530,47418,46830,47518,tL(CAA)A,SUP56,RM11
CHR1,-,46151,46071,45451,46171,tS(AGA)A,tS(AGA)A,RM11
CHR1,+,45246,44540,44546,44640,YAR027W,UIP3,RM11
CHR1,+,44122,43418,43422,43518,YAR028W,YAR028W,RM11
CHR1,+,42690,42466,41990,42566,YAR029W,YAR029W,RM11
CHR1,+,42174,41482,41474,41582,YAR031W,PRM9,RM11
CHR1,+,40928,40225,40228,40325,YAR033W,MST28,RM11
CHR1,+,38716,36654,38016,36754,YAR035W,YAT1,RM11
CHR1,-,36575,36497,35875,36597,YAR035C-A,YAR035C-A,RM11
CHR1,+,36292,32721,35592,32821,YAR042W,SWH1,RM11
CHR8,+,14129,12325,13429,12425,YAR050W,FLO1,RM11
CHR1,+,19924,20206,19224,20306,YAL064W,YAL064W,RM11
CHR1,+,10163,9865,9463,9965,YAR064W,YAR064W,RM11
CHR8,+,9521,8911,8821,9011,YAR066W,YAR066W,RM11
CHR1,+,7949,7465,7249,7565,YAR068W,YAR068W,RM11
CHR1,-,20752,21049,20052,21149,YAL063C-A,YAL063C-A,RM11
CHR6,+,4993,3592,4293,3692,YAR071W,PHO11,RM11
CHR8,-,12019,13229,11319,13329,YAL063C,FLO9,RM11
CHR9,+,423068,422845,422368,422945,YAL067W-A,YAL067W-A,RM11
CHR1,+,191778,190406,191078,190506,YAL062W,GDH3,RM11
CHR1,+,189897,188645,189197,188745,YAL061W,BDH2,RM11
CHR1,+,188191,187044,187491,187144,YAL060W,BDH1,RM11
CHR1,+,186838,186201,186138,186301,YAL059W,ECM1,RM11
CHR1,+,185883,184376,185183,184476,YAL058W,CNE1,RM11
CHR1,+,184088,181447,183388,181547,YAL056W,GPB2,RM11
CHR1,+,181170,180629,180470,180729,YAL055W,PEX22,RM11
CHR1,-,180466,178326,179766,178426,YAL054C,ACS1,RM11
CHR1,+,177452,175102,176752,175202,YAL053W,FLC2,RM11
CHR1,+,174787,171645,174087,171745,YAL051W,OAF1,RM11
CHR1,-,171496,170757,170796,170857,YAL049C,AIM2,RM11
CHR1,-,170550,168563,169850,168663,YAL048C,GEM1,RM11
CHR1,-,168362,166495,167662,166595,YAL047C,SPC72,RM11
CHR1,-,166321,165966,165621,166066,YAL046C,BOL3,RM11
CHR1,+,165832,165501,165132,165601,YAL044W-A,BOL1,RM11
CHR1,-,165400,164889,164700,164989,YAL044C,GCV3,RM11
CHR1,-,164656,162300,163956,162400,YAL043C,PTA1,RM11
CHR1,+,162035,160789,161335,160889,YAL042W,ERV46,RM11
CHR1,+,160511,157948,159811,158048,YAL041W,CDC24,RM11
CHR1,-,157572,155831,156872,155931,YAL040C,CLN3,RM11
CHR1,-,154635,153827,153935,153927,YAL039C,CYC3,RM11
CHR1,+,151582,150081,150882,150181,YAL038W,CDC19,RM11
CHR1,-,149942,149851,149242,149951,YAL037C-A,YAL037C-A,RM11
CHR1,+,149348,148546,148648,148646,YAL037W,YAL037W,RM11
CHR1,-,148326,147218,147626,147318,YAL036C,RBG1,RM11
CHR1,+,146942,143938,146242,144038,YAL035W,FUN12,RM11
CHR1,+,143654,142786,142954,142886,YAL034W-A,MTW1,RM11
CHR1,-,142662,141422,141962,141522,YAL034C,FUN19,RM11
CHR1,+,140666,140146,139966,140246,YAL033W,POP5,RM11
CHR1,-,140037,138899,139337,138999,YAL032C,PRP45,RM11
CHR1,-,138622,136341,137922,136441,YAL031C,GIP4,RM11
CHR1,+,136085,135620,135385,135720,YAL030W,SNC1,RM11
CHR1,-,135516,131102,134816,131202,YAL029C,MYO4,RM11
CHR1,+,130472,128887,129772,128987,YAL028W,FRT2,RM11
CHR1,+,128685,127901,127985,128001,YAL027W,SAW1,RM11
CHR1,-,127742,123676,127042,123776,YAL026C,DRS2,RM11
CHR1,+,124067,123505,123367,123605,HRA1,HRA1,RM11
CHR2,-,94404,95188,93704,95288,YBL064C,PRX1,RM11
CHR2,+,95919,99253,95219,99353,YBL063W,KIP1,RM11
CHR2,-,99349,101438,98649,101538,YBL061C,SKT5,RM11
CHR2,+,101965,104027,101265,104127,YBL060W,YEL1,RM11
CHR2,-,11257,14288,10557,14388,YBL106C,SRO77,RM11
CHR2,-,104158,104571,103458,104671,YBL059C-A,CMC2,RM11
CHR2,+,104627,105276,103927,105376,YBL059W,IAI11,RM11
CHR2,+,105470,106740,104770,106840,YBL058W,SHP1,RM11
CHR2,-,106834,107459,106134,107559,YBL057C,PTH2,RM11
CHR2,+,107795,109200,107095,109300,YBL056W,PTC3,RM11
CHR2,-,109606,110861,108906,110961,YBL055C,YBL055C,RM11
CHR2,+,111620,113196,110920,113296,YBL054W,TOD6,RM11
CHR2,-,113408,115905,112708,116005,YBL052C,SAS3,RM11
CHR2,-,116782,118787,116082,118887,YBL051C,PIN4,RM11
CHR2,+,119154,120147,118454,120247,YBL050W,SEC17,RM11
CHR2,+,120857,121272,120157,121372,YBL049W,MOH1,RM11
CHR2,+,121328,121637,120628,121737,YBL048W,RRT1,RM11
CHR2,-,121923,126067,121223,126167,YBL047C,EDE1,RM11
