Chromosome_Name,strand,start,end,5-start,3-end,Locus,Gene,strain
CHR1,-,100225,101145,99525,101245,YAL025C,MAK16,S288C
CHR1,-,101565,105872,100865,105972,YAL024C,LTE1,S288C
CHR1,-,106272,108551,105572,108651,YAL023C,PMT2,S288C
CHR1,-,108877,110430,108177,110530,YAL022C,FUN26,S288C
CHR1,-,110846,113359,110146,113459,YAL021C,CCR4,S288C
CHR1,-,113614,114615,112914,114715,YAL020C,ATS1,S288C
CHR1,+,114919,118314,114219,118414,YAL019W,FUN30,S288C
CHR1,-,11565,11951,10865,12051,YAL065C,YAL065C,S288C
CHR1,-,118564,119541,117864,119641,YAL018C,LDS1,S288C
CHR1,+,120225,124295,119525,124395,YAL017W,PSK1,S288C
CHR1,+,12046,12426,11346,12526,YAL064W-B,YAL064W-B,S288C
CHR1,+,124879,126786,124179,126886,YAL016W,TPD3,S288C
CHR1,-,126903,128102,126203,128202,YAL015C,NTG1,S288C
CHR1,-,128252,129019,127552,129119,YAL014C,SYN8,S288C
CHR1,+,129270,130487,128570,130587,YAL013W,DEP1,S288C
CHR1,+,130799,131983,130099,132083,YAL012W,CYS3,S288C
CHR1,+,132199,134076,131499,134176,YAL011W,SWC3,S288C
CHR1,-,13363,13743,12663,13843,YAL064C-A,TDA8,S288C
CHR1,-,134184,135665,133484,135765,YAL010C,MDM10,S288C
CHR1,+,135854,136633,135154,136733,YAL009W,SPO7,S288C
CHR1,+,136914,137510,136214,137610,YAL008W,FUN14,S288C
CHR1,-,137698,138345,136998,138445,YAL007C,ERP2,S288C
CHR1,+,139152,139254,138452,139354,tP(UGG)A,TRN1,S288C
CHR1,-,139503,141431,138803,141531,YAL005C,SSA1,S288C
CHR1,+,142174,143160,141474,143260,YAL003W,EFB1,S288C
CHR1,+,142367,142468,141667,142568,snR18,snR18,S288C
CHR1,+,143707,147531,143007,147631,YAL002W,VPS8,S288C
CHR1,-,147594,151166,146894,151266,YAL001C,TFC3,S288C
CHR1,+,152257,153876,151557,153976,YAR002W,NUP60,S288C
CHR1,-,154065,154724,153365,154824,YAR002C-A,ERP1,S288C
CHR1,+,155005,156285,154305,156385,YAR003W,SWD1,S288C
CHR1,-,156754,158619,156054,158719,YAR007C,RFA1,S288C
CHR1,+,158966,159793,158266,159893,YAR008W,SEN34,S288C
CHR1,-,160597,164187,159897,164287,YAR009C,YAR009C,S288C
CHR1,-,164544,165866,163844,165966,YAR010C,YAR010C,S288C
CHR1,+,166267,166339,165567,166439,tA(UGC)A,TGA1,S288C
CHR1,-,166742,168871,166042,168971,YAR014C,BUD14,S288C
CHR1,+,169375,170295,168675,170395,YAR015W,ADE1,S288C
CHR1,-,170396,171703,169696,171803,YAR018C,KIN3,S288C
CHR1,-,172211,175135,171511,175235,YAR019C,CDC15,S288C
CHR1,-,176856,177023,176156,177123,YAR020C,PAU7,S288C
CHR1,-,179281,179820,178581,179920,YAR023C,YAR023C,S288C
CHR1,-,1807,2169,1107,2269,YAL068C,PAU8,S288C
CHR1,+,181141,181254,180441,181354,tL(CAA)A,SUP56,S288C
CHR1,-,182522,182603,181822,182703,tS(AGA)A,tS(AGA)A,S288C
CHR1,+,183770,184477,183070,184577,YAR027W,UIP3,S288C
CHR1,+,184892,185596,184192,185696,YAR028W,YAR028W,S288C
CHR1,+,186321,186545,185621,186645,YAR029W,YAR029W,S288C
CHR1,+,186836,187732,186136,187832,YAR031W,PRM9,S288C
CHR1,+,188107,188811,187407,188911,YAR033W,MST28,S288C
CHR1,+,190193,192256,189493,192356,YAR035W,YAT1,S288C
CHR1,-,192337,192417,191637,192517,YAR035C-A,YAR035C-A,S288C
CHR1,+,192619,196185,191919,196285,YAR042W,SWH1,S288C
CHR1,+,203403,208016,202703,208116,YAR050W,FLO1,S288C
CHR1,+,21566,21850,20866,21950,YAL064W,YAL064W,S288C
CHR1,+,220198,220497,219498,220597,YAR064W,YAR064W,S288C
CHR1,+,221049,221660,220349,221760,YAR066W,YAR066W,S288C
CHR1,+,222406,222891,221706,222991,YAR068W,YAR068W,S288C
CHR1,-,22395,22685,21695,22785,YAL063C-A,YAL063C-A,S288C
CHR1,+,225460,226863,224760,226963,YAR071W,PHO11,S288C
CHR1,-,24000,27968,23300,28068,YAL063C,FLO9,S288C
CHR1,+,2480,2707,1780,2807,YAL067W-A,YAL067W-A,S288C
CHR1,+,31567,32940,30867,33040,YAL062W,GDH3,S288C
CHR1,+,33448,34701,32748,34801,YAL061W,BDH2,S288C
CHR1,+,35155,36303,34455,36403,YAL060W,BDH1,S288C
CHR1,+,36509,37147,35809,37247,YAL059W,ECM1,S288C
CHR1,+,37464,38972,36764,39072,YAL058W,CNE1,S288C
CHR1,+,39259,41901,38559,42001,YAL056W,GPB2,S288C
CHR1,+,42177,42719,41477,42819,YAL055W,PEX22,S288C
CHR1,-,42881,45022,42181,45122,YAL054C,ACS1,S288C
CHR1,+,45899,48250,45199,48350,YAL053W,FLC2,S288C
