SNP,Chr,Pos,Effect,SE,ERV25_RBD2_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.132111753040383,0.148500413861,0.374265653474789
9,1,27272,-0.120342059100595,0.146294007448482,0.411288450672638
16,1,27843,0.0914599136763225,0.142886576731349,0.522530935370578
17,1,27848,0.0914599136763225,0.142886576731349,0.522530935370578
18,1,28495,0.0783090442731914,0.142911022734484,0.584067996679016
19,1,28975,0.11649312395313,0.141880689658457,0.412163968243227
26,1,31435,0.0661973508467744,0.141596007443524,0.640424510247004
29,1,36146,-0.0689428017626055,0.140861694822472,0.624836956864166
31,1,37409,-0.0527711438271645,0.141643514058291,0.709697239570272
32,1,37478,-0.052007882650769,0.141766123400486,0.713945558452335
33,1,39144,0.0272865581524409,0.141138635345028,0.846810471245786
34,1,41499,-0.0167652850780062,0.140751770853387,0.905254040681041
37,1,51248,-0.252233800020081,0.140714750902073,0.0739060904420632
38,1,51462,-0.261374105127092,0.140860098511158,0.0643499080284763
39,1,52124,-0.194157708637351,0.140975466391868,0.169309277955174
40,1,52667,-0.256259910137516,0.140466539715908,0.0689446176343348
42,1,59265,-0.105246271386161,0.14094470976268,0.455729473798423
43,1,60165,-0.160035658662858,0.140691781034433,0.256104508393192
44,1,62308,-0.246267949698472,0.140182914866576,0.0798254554489312
45,1,62869,-0.320077698263261,0.13974209006367,0.0225820402895444
49,1,66841,-0.308279884912619,0.139884012592333,0.0281817242422633
50,1,66948,-0.321408709964606,0.140671055214737,0.0229158490950968
51,1,68621,-0.355859210678233,0.1400485504098,0.0114819897776652
52,1,69417,-0.268537065774168,0.140222847990246,0.0562909913967409
56,1,74327,-0.226233546372945,0.141211871039528,0.110031045421799
57,1,74572,-0.238619459930945,0.140775263500444,0.0909500153972238
58,1,75211,-0.189667912463987,0.140727727485302,0.178598273373951
59,1,76030,-0.167783682183521,0.140806439803042,0.234222186808502
60,1,80108,-0.10822696049083,0.140938315117963,0.443058152916016
61,1,81262,-0.0193331461101124,0.140998901780586,0.89101760864231
62,1,81999,-0.0660220446266759,0.141303317751626,0.640619074936554
63,1,82431,-0.085462848849434,0.141943238404898,0.547499610997717
64,1,83284,0.0127333408290726,0.140981045888469,0.928084532184186
65,1,83613,0.0840870856105419,0.140896076149336,0.551022021046834
66,1,84112,0.0115692315724002,0.140981330124322,0.934643798537722
68,1,84858,0.132924733050506,0.141203442460579,0.347158864038122
69,1,85751,-0.0176415166158286,0.141958577086442,0.901170424910959
70,1,87445,-0.00613877757215309,0.142261404254862,0.965605250525046
71,1,87467,-0.0390998874214394,0.142991383328927,0.78467318343382
72,1,89070,0.00565803343771509,0.142111174194102,0.968263815007331
