SNP,Chr,Pos,Effect,SE,RET2_EMP70_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0392137960866281,0.0810964613399097,0.629008549206173
9,1,27272,-0.0294057238899925,0.0798896971645111,0.713034906263626
16,1,27843,0.0977723885676395,0.0778406904577523,0.209925763064371
17,1,27848,0.0977723885676395,0.0778406904577523,0.209925763064371
18,1,28495,0.105420714850285,0.0778136727991332,0.176352812765807
19,1,28975,0.0832466175389598,0.077367448592707,0.282666470484524
26,1,31435,0.0679849059082509,0.0772041487153727,0.379140971031714
29,1,36146,0.0543466178799482,0.0768359369533577,0.479842216794238
31,1,37409,0.171505168079934,0.0767652740380067,0.0260988122883428
32,1,37478,0.165654707926507,0.0768685531706176,0.0318345733708218
33,1,39144,0.0710178374320309,0.0769266757738081,0.356539461146896
34,1,41499,0.142343220688027,0.0764312784764398,0.0633817540683521
37,1,51248,0.0952284662567377,0.0769660622554415,0.216806058792108
38,1,51462,0.0890510185092329,0.0770917997347086,0.248818673931409
39,1,52124,0.0819156961784087,0.0770094501836854,0.288187343690779
40,1,52667,0.0537513111075784,0.0769559962707459,0.485344358202836
42,1,59265,0.0507852569884769,0.0769228296204515,0.50954933654786
43,1,60165,0.0706474856422305,0.0768201708854692,0.358384941864497
44,1,62308,0.054420280116845,0.0767729355402395,0.4788871677377
45,1,62869,0.0404168043573869,0.0767877805493466,0.598979606181766
49,1,66841,0.0452319476114913,0.076816394159984,0.55635060415605
50,1,66948,0.037473962939936,0.077300045135426,0.628128989787286
51,1,68621,0.0476275835366544,0.0770746198517808,0.537012552588196
52,1,69417,-0.00334898237419451,0.076911935892537,0.965293245898468
56,1,74327,-0.0949268282974734,0.0771697801455902,0.219477433310006
57,1,74572,-0.0424463871506115,0.0770960150527621,0.58227997142284
58,1,75211,-0.0687108707450551,0.0769016005844363,0.372203142075551
59,1,76030,-0.0882926635868244,0.0768449529490213,0.251345637867955
60,1,80108,-0.178661074149698,0.0763806504616503,0.0198881015651005
61,1,81262,-0.22153721268125,0.0760323367480901,0.00379904899862976
62,1,81999,-0.180005286784639,0.0765317541731696,0.0192198156024362
63,1,82431,-0.151596453726603,0.0770730203855329,0.049975345898686
64,1,83284,-0.168948694211046,0.076402954938544,0.0276564313682329
65,1,83613,-0.168623267564812,0.076396455979636,0.0279420776778068
66,1,84112,-0.182414412376997,0.0763151901440733,0.0173594201845274
68,1,84858,-0.190134000107754,0.0764808124242712,0.0133794561527218
69,1,85751,-0.151592870147462,0.0770431815214781,0.049892568388476
70,1,87445,-0.16084563001646,0.0771547756574305,0.0378135763525312
71,1,87467,-0.170212370371943,0.0775069956522069,0.0287354618185768
72,1,89070,-0.145811333121861,0.0771569475541856,0.059603607130582
73,1,89616,-0.140802705265429,0.0767641640334354,0.0674622548991425
74,1,89679,-0.182406715641563,0.0765254903992383,0.017671973448611
75,1,89880,-0.18707212730201,0.0765132880730058,0.0149749537887734
76,1,91472,-0.167869077131179,0.0772159428696633,0.0303674834356811
77,1,93789,-0.104871799907349,0.0767275418512202,0.172555414237738
78,1,94351,-0.0836450588741992,0.0770041838349905,0.278113823504984
79,1,99148,-0.0511174021621577,0.0768821794617665,0.506561551405298
82,1,106800,-0.0187656815348754,0.0770275993010728,0.807664465977911
83,1,107970,-0.0141149976644114,0.0768021758065972,0.854288568413459
84,1,109000,-0.10695822543036,0.0767303158570365,0.164209537064043
85,1,112549,-0.0558026950763659,0.0767966983851936,0.467934918231288
86,1,112742,-0.0993349187282668,0.0769721685339185,0.197711222391203
87,1,113050,-0.0982039637837033,0.0768461858262841,0.202114197708921
88,1,113135,-0.103359716296569,0.0766303414387239,0.178262857947591
89,1,114076,-0.104356106038177,0.0766265157977868,0.174104276295159
90,1,114628,-0.0598940789999612,0.0769559174320658,0.43691898056094
91,1,116283,-0.102378138663631,0.0772583819385637,0.185981937230455
93,1,127853,-0.0460840112681269,0.0772671786211639,0.551274188220076
94,1,128302,-0.05567614167722,0.0769521193876313,0.469841670199792
95,1,128704,-0.0520257254394894,0.0770360622155954,0.499900330924481
96,1,128911,-0.047807708717599,0.0770523406294162,0.535356931582673
97,1,130267,-0.0491470185266039,0.0770133885344459,0.523781993468627
98,1,130271,-0.0502374946311186,0.0771029078005276,0.515106309489153
99,1,130613,-0.0374059655723141,0.0778447583439164,0.631155319127461
100,1,132012,-0.0565215810305059,0.0776466706950293,0.467137106038502
101,1,133231,-0.0915759967681089,0.0769994216924985,0.235118009410631
102,1,137074,-0.0857011338536461,0.0769086568987139,0.265898488741211
103,1,137304,-0.0774663325910173,0.0769602166537177,0.314827884332867
104,1,139686,-0.0809476857143103,0.0770515069606443,0.294176680284565
105,1,149562,-0.0913037824307197,0.0771951120388044,0.237697759283293
106,1,150447,-0.0878280808442548,0.0780660522875948,0.261332936503796
108,1,154084,-0.101458497496738,0.0782614174737222,0.195682832349822
110,1,157269,-0.0814839930590796,0.0769015426366622,0.290056301593131
111,1,160054,-0.104606291305156,0.0775559381503734,0.178270632323054
112,1,166222,-0.118834113948509,0.0769208296166139,0.123269196399085
113,1,166416,-0.105670604041646,0.0768181224079156,0.169819366174392
114,1,167326,-0.0968614234469756,0.0772896815156982,0.21095298982118
115,1,168836,-0.102411095383159,0.0769014094720006,0.183811677264506
116,1,171200,-0.0854458392168227,0.077075743814756,0.268359354234276
117,1,171431,-0.0891226357501235,0.077546879299547,0.251220977531917
118,1,173339,-0.08013652295052,0.0769695530545172,0.298520453375841
119,1,173845,-0.0728105692264119,0.0769261878085747,0.344541513857283
120,1,175121,-0.0418554135181134,0.0768387356977032,0.5862916890974
121,1,175281,-0.0561224094837876,0.0768783517822397,0.465864708457678
122,1,175315,-0.0591884904295074,0.0768475982501448,0.441692768787892
123,1,175523,-0.0671670198177575,0.0772652634643079,0.385271433098116
124,1,175541,-0.057817943734839,0.0769707580551995,0.453052232732309
125,1,175653,-0.0655494729990446,0.0771972084812876,0.396391577761623
128,1,175856,-0.0872966779995623,0.0784142028095544,0.266347256468472
129,1,175876,-0.0760513298733806,0.0772419343124349,0.325501802607743
130,1,175989,-0.0693668046534321,0.0774806947605814,0.371248257673519
131,1,176001,-0.0800168356192648,0.0778563977483509,0.304771616969291
133,1,177692,-0.0856018524384701,0.0767770757662304,0.265634504124351
134,1,178191,-0.0961669423964638,0.0768181755945055,0.211443386267254
135,1,178224,-0.0856018524384701,0.0767770757662304,0.265634504124351
136,1,178960,-0.0711879942861914,0.0774337835149195,0.358545401085439
140,1,183802,0.0114394141161327,0.0769194176005474,0.88185992738727
141,1,183954,-0.00631681773986248,0.077481110894538,0.935068902064053
142,1,184450,0.0162134235866367,0.0767985913071923,0.832918453896802
144,1,184718,0.0655516952943438,0.0771609763505469,0.396154079575271
145,1,185296,0.0546569162053458,0.0768571065480377,0.477461044697966
146,1,185438,0.00879755340948468,0.0769143485264103,0.909000666941421
147,1,185469,0.0138429672875813,0.0770232548926435,0.857471965996083
148,1,185503,0.00871865260018792,0.0768261543987112,0.909710191742201
149,1,185705,0.00317197013200975,0.0776860268045812,0.967453996491122
150,1,185749,0.0195417569630265,0.0776792472249426,0.80151995114766
151,1,185806,0.0381992112317635,0.0777633688472269,0.623573488234941
152,1,185879,-0.00930217866026678,0.0781642651150021,0.905336654237104
153,1,185916,-0.0100666767792596,0.0781284452475875,0.897551476122002
154,1,185941,-0.0135350463092015,0.0784673223202262,0.863148992874639
155,1,185954,0.00378321947390127,0.0786995399458641,0.961686298121893
156,1,186055,-0.0108661882295938,0.077126940842535,0.888039522936654
