SNP,Chr,Pos,Effect,SE,ERG11_ORM2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0345282622944612,0.12853983958421,0.788379691754883
9,1,27272,0.0912680218396869,0.126529188052663,0.471190178941273
16,1,27843,-0.0159829862443014,0.123623544136064,0.897203748901432
17,1,27848,-0.0159829862443014,0.123623544136064,0.897203748901432
18,1,28495,0.00495746461120611,0.123628191178502,0.96803623801507
19,1,28975,0.0643212377896659,0.122754358137738,0.600618959265378
26,1,31435,-0.022802170758817,0.122470712937711,0.852406881544927
29,1,36146,-0.0911602689681814,0.121748541550524,0.454501321401577
31,1,37409,-0.0342919832178447,0.122490386924894,0.779674835836825
32,1,37478,-0.0221944198948551,0.122603602860935,0.856451186092548
33,1,39144,0.0188759306050057,0.12204566112272,0.87717550425164
34,1,41499,0.0220614006811706,0.121705592935687,0.856260796722904
37,1,51248,-0.074370101349485,0.122165206055582,0.543070675433349
38,1,51462,-0.100418657729229,0.122278307875904,0.412069341591774
39,1,52124,-0.0648674046383489,0.122180545993624,0.595812000590985
40,1,52667,0.00927897216657325,0.122032428467651,0.939432785973502
42,1,59265,-0.19660424425012,0.121522164861745,0.106588779205311
43,1,60165,-0.162706293909856,0.121571644099295,0.181641387895988
44,1,62308,-0.0239980872098967,0.121738952953548,0.843841268735056
45,1,62869,-0.0189820428258951,0.121726169952672,0.87616903955656
49,1,66841,-0.0604053852752811,0.121745288746721,0.620088911818915
50,1,66948,-0.0459434653834635,0.12251075675859,0.707873952293592
51,1,68621,-0.155461461161041,0.121922757287801,0.203118938716195
52,1,69417,-0.0493946268409272,0.121851336650476,0.685452630876323
56,1,74327,-0.164626233454446,0.122236136003292,0.178912342987083
57,1,74572,-0.15016995729212,0.121961892949177,0.219035642653771
58,1,75211,-0.209868986060896,0.121488271427899,0.0849555263404119
59,1,76030,-0.130578639794945,0.121802590057811,0.284429305678856
60,1,80108,-0.110826032778853,0.121829148497225,0.36360985361945
61,1,81262,-0.0782225806862408,0.121854650037622,0.521333000998895
62,1,81999,-0.103593279556477,0.122099083488363,0.396770052016819
63,1,82431,-0.0974778380268381,0.122692440558424,0.427444405347509
64,1,83284,-0.133378794852316,0.121701602365476,0.273848059949816
65,1,83613,-0.148593659041013,0.121638198805959,0.222672758203558
66,1,84112,-0.159009007448756,0.121614352217359,0.191898793558407
68,1,84858,-0.147795498569469,0.121999194789123,0.226534664779269
69,1,85751,-0.142451366679456,0.122520657216867,0.245747913435425
70,1,87445,-0.100333799380122,0.122898555870701,0.414824680863071
71,1,87467,-0.120799526529319,0.123491249193594,0.328643770958532
72,1,89070,-0.0599155307511052,0.122843184940383,0.626036821758708
73,1,89616,-0.10873450207454,0.122086419262304,0.373731346787228
74,1,89679,-0.0952496207184664,0.122133819154597,0.435984581283949
75,1,89880,-0.0908509049817535,0.122174309236826,0.457602806705378
76,1,91472,-0.0391572166781051,0.12315991404699,0.750719964786005
77,1,93789,-0.043600834285441,0.121886385546856,0.72076888403863
78,1,94351,-0.0832675827650506,0.122148942937659,0.495882661086392
79,1,99148,-0.0481183510261093,0.121881570409968,0.693231911953529
