SNP,Chr,Pos,Effect,SE,HNM1_MID2_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0649009574638768,0.0629486062465964,0.303239659979844
9,1,27272,0.00810827284977189,0.0620950466601894,0.89618319862359
16,1,27843,0.0694909598470324,0.0605143953699638,0.251606762101497
17,1,27848,0.0694909598470324,0.0605143953699638,0.251606762101497
18,1,28495,0.112211386593907,0.0603334175488158,0.063737723914506
19,1,28975,0.0909499236991765,0.0600281680474105,0.130636714347151
26,1,31435,0.0764077460440653,0.0599256420387021,0.203132718677633
29,1,36146,0.0316300028588974,0.0597300440456891,0.596757327194822
31,1,37409,0.0468442883955497,0.0600250848976771,0.435671473629194
32,1,37478,0.0368072058097023,0.0600965662499029,0.540622690651406
33,1,39144,0.0057643879969097,0.0598533207404204,0.923330153878703
34,1,41499,0.0160505245704368,0.0596819713240518,0.788137413039458
37,1,51248,0.00831884786540741,0.059940509983669,0.889699132081463
38,1,51462,0.002605924034559,0.0600232670598565,0.965395083342875
39,1,52124,-0.012122520915279,0.0599386726219045,0.839838782005159
40,1,52667,-0.0204946664075432,0.0598361378309197,0.732168571662868
42,1,59265,-0.067153577672664,0.059709006763813,0.261488455074163
43,1,60165,-0.0443977957828094,0.0597239575778936,0.457744089302284
44,1,62308,-0.0244349773650019,0.0596907868448871,0.682524292820098
45,1,62869,-0.0309161714471327,0.0596747719046755,0.604728574266548
49,1,66841,0.0117118267650698,0.0597223362930333,0.844641113437344
50,1,66948,0.00851133229287557,0.0600904248388382,0.887443533142127
51,1,68621,0.0189697197694585,0.0599208357641576,0.751749674867684
52,1,69417,0.0186052067228133,0.0597624843702578,0.755741768945991
56,1,74327,-0.0418737540181137,0.060057963854402,0.48612258204722
57,1,74572,-0.0583891987508836,0.0598586796331289,0.330004656747979
58,1,75211,-0.0154330356446395,0.0598243962988381,0.796578634325571
59,1,76030,-0.0452260666194811,0.0597815924288912,0.44984111453265
60,1,80108,-0.0909877929517268,0.0596195264815975,0.127870248274964
61,1,81262,-0.0953449027864,0.0595775399107458,0.110415555642597
62,1,81999,-0.118760888724412,0.0596050711053436,0.0470900421914563
63,1,82431,-0.0825286379178296,0.0600626299908055,0.170300138523747
64,1,83284,-0.117001240853173,0.0594595890004052,0.0498799954868006
65,1,83613,-0.110681364375299,0.0594872367085959,0.0636334161238163
66,1,84112,-0.102620775690197,0.0595347768557244,0.0856355204316918
68,1,84858,-0.0578665732001537,0.0598743702503497,0.334472457906486
69,1,85751,-0.0861455316112324,0.0600250958825254,0.152127325279297
70,1,87445,-0.0862312849057172,0.0601523762605953,0.15258657652607
71,1,87467,-0.0967779615114511,0.0604238765816755,0.110127267423636
72,1,89070,-0.123092483175162,0.0599063016416111,0.0406387608748395
73,1,89616,-0.0712693552279103,0.0598191489867306,0.234291636382872
74,1,89679,-0.097434950357447,0.0597221533343307,0.103682786827422
75,1,89880,-0.0963221796863365,0.059742511676739,0.107792767089109
76,1,91472,-0.0918380549901729,0.0602090730851438,0.128074916323146
77,1,93789,-0.0859780215344325,0.0596094073921334,0.150088457996563
78,1,94351,-0.0606959753207889,0.0598550291587926,0.31125356430742
79,1,99148,-0.0359053839195235,0.0597542506297007,0.54830275080987
82,1,106800,-0.0491771354945886,0.0598081979881909,0.411491150971914
83,1,107970,-0.0575355227058141,0.059609477245785,0.335101589953515
84,1,109000,-0.091036778326586,0.0595966267766056,0.127520016434938
85,1,112549,-0.0404202521464095,0.0596868302688814,0.498719111530707
86,1,112742,-0.0131835549350905,0.0599541742484042,0.826080922657336
87,1,113050,-0.0123687165401972,0.0598537930663174,0.83640326201381
88,1,113135,-0.0366267543992222,0.0596731188037147,0.539749534044458
89,1,114076,-0.0379016386088179,0.059670863436471,0.525723625239631
90,1,114628,-0.040375159401241,0.0598174079521198,0.500134511663475
91,1,116283,-0.0897416912058562,0.0599990845273342,0.135620706061773
93,1,127853,-0.0671762403087183,0.0599703552477189,0.263408207732737
94,1,128302,-0.0463253741903614,0.059795266090676,0.439015983331337
95,1,128704,-0.0373616106716452,0.0598726382420602,0.533018738672413
96,1,128911,-0.0298770760801826,0.0598911751228513,0.618191502242582
97,1,130267,-0.0572053032442603,0.0598064299000718,0.339470455352189
98,1,130271,-0.0519491177142764,0.0598911665898842,0.386316516848784
99,1,130613,-0.0315822230928646,0.0604918825396221,0.601934937613524
100,1,132012,-0.0495946631215987,0.0603290630856898,0.411592438200579
101,1,133231,-0.0274659404055589,0.0599404565431069,0.647076052116782
102,1,137074,-0.0317697402604926,0.0598491248733387,0.595870053058084
103,1,137304,-0.00145671244854972,0.0598937680191656,0.980609824199148
104,1,139686,-0.0335464879541437,0.0599459431449864,0.576098804794837
105,1,149562,-0.0233206968868961,0.0600965286905457,0.698209997129221
106,1,150447,-0.0152686190615676,0.0607706604413334,0.80176714189422
108,1,154084,-0.0252761802657742,0.0609490148276207,0.678605950536568
110,1,157269,-0.0122417468753748,0.0598538670130683,0.838059371110747
111,1,160054,-0.0362805991107461,0.0603952448794677,0.548412349785347
112,1,166222,-0.0267184661584314,0.0599623194841404,0.656168315559229
113,1,166416,-0.0166825951651661,0.0598508272240424,0.780610455578989
114,1,167326,-0.0346259601152936,0.0601693378853721,0.565336623639712
115,1,168836,-0.0226597157288463,0.0599001420138929,0.705441434054467
116,1,171200,-0.000575010159318434,0.0600019974438223,0.99235925630951
117,1,171431,-0.0274078593009557,0.060358975751356,0.650049644683084
118,1,173339,-0.0216140808977892,0.0598960261623482,0.718419949200262
119,1,173845,-0.0259513595594548,0.0598414745334076,0.664794122134971
120,1,175121,-0.0279372228987108,0.0597202240214307,0.640215071901961
