SNP,Chr,Pos,Effect,SE,ERG11_ORM2_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0429234369331704,0.0833462947475236,0.606874548210019
9,1,27272,-0.0843134784502793,0.082002759975156,0.304569843294727
16,1,27843,0.0821455207355534,0.0800630489955031,0.305589235558034
17,1,27848,0.0821455207355534,0.0800630489955031,0.305589235558034
18,1,28495,0.132733353608748,0.0798718103555899,0.0974346476862903
19,1,28975,0.112089713693275,0.0794239058988027,0.159041542084031
26,1,31435,0.115506817357476,0.0791983773492229,0.145605895691313
29,1,36146,0.0379732136764878,0.0790011742304661,0.631051340604923
31,1,37409,0.0994490483086447,0.0792778043741592,0.210513011230712
32,1,37478,0.101835225675897,0.0793376839999542,0.200135475594526
33,1,39144,0.034778809222762,0.079138085372056,0.660589970432903
34,1,41499,-0.0197610601923784,0.0789331528874737,0.802460910312678
37,1,51248,0.0592896182457163,0.0792133337482898,0.454668912501183
38,1,51462,0.0632223681263917,0.0793123139120742,0.425910314791005
39,1,52124,0.055021071274239,0.0792220582373245,0.487814845585386
40,1,52667,0.0119744526267267,0.0791465491257623,0.879829680978534
42,1,59265,-0.0241889308962012,0.0790987094152668,0.759931939276312
43,1,60165,-0.0140744782124414,0.0790458564789211,0.858782231819805
44,1,62308,0.0309643823988581,0.0789452681766492,0.695127980289078
45,1,62869,0.00997749501314826,0.0789507655029354,0.899506117482426
49,1,66841,0.0369907743913522,0.0789652208374041,0.639756320989796
50,1,66948,0.0717777665308902,0.0793826554104576,0.366506218440451
51,1,68621,0.10162786137261,0.0790744426475297,0.199558858481802
52,1,69417,0.112627089105899,0.0788217872130637,0.153922214857472
56,1,74327,0.0642546348858972,0.0794104056366265,0.418976041649962
57,1,74572,0.0504570629839478,0.0792268987590358,0.524623724001549
58,1,75211,0.0730849841734368,0.0790322234694285,0.355728108192023
59,1,76030,0.0589150622781119,0.0790657385728073,0.456682776642487
60,1,80108,-0.0235087082216605,0.0790992904106528,0.76648478405551
61,1,81262,-0.0562626357706546,0.0790225601952912,0.476946233743026
62,1,81999,-0.102619647905996,0.0790840150663226,0.195271132537077
63,1,82431,-0.0755927348556359,0.0795459708639989,0.342608738238996
64,1,83284,-0.100300464145975,0.0788876481502459,0.204411264887095
65,1,83613,-0.0933075544674726,0.078903223388382,0.237780685026954
66,1,84112,-0.105838731652018,0.0788671470465254,0.180462553473367
68,1,84858,-0.0553641957405172,0.0792364527101633,0.48518630500369
69,1,85751,-0.0870186483644079,0.0794823064468946,0.274342884352099
70,1,87445,-0.0302770656234785,0.0797691640500006,0.704501391582363
71,1,87467,-0.0525725822647027,0.0801542939016038,0.512320700527118
72,1,89070,-0.0358740800012557,0.0796782794260032,0.652816206940015
73,1,89616,0.0376728563438511,0.0792470389973168,0.634806580438673
74,1,89679,0.00693270171508455,0.0792815817368481,0.930368147936159
75,1,89880,0.0219252212824952,0.0792939421850576,0.782321560383307
76,1,91472,-0.00128609707146721,0.0798911448351251,0.987165209565731
77,1,93789,-0.0228610001725844,0.0790587098798892,0.772624975246791
78,1,94351,0.0178882151409285,0.0792704484758696,0.821596013393415
79,1,99148,0.0153181733345825,0.0790638691951412,0.84648754583507
82,1,106800,0.0112194179328244,0.0791724745218607,0.887391046194077
83,1,107970,0.0603789579094626,0.07887471917103,0.444482660924645
84,1,109000,-0.0492555636612974,0.0790358118985599,0.53355183043067
85,1,112549,0.0505245713547025,0.0789439726568092,0.52258423465445
86,1,112742,0.116295106840826,0.0790555574170041,0.142166970065741
87,1,113050,0.106533771191707,0.0789607749623384,0.178137912584708
88,1,113135,0.0828239380515194,0.0788393215366075,0.294188114926476
89,1,114076,0.0995060511306735,0.0787846561808758,0.207418088494638
90,1,114628,0.0755006964947673,0.0790601691850155,0.340242493873121
91,1,116283,0.0555002374762789,0.0795476935968856,0.485825595537866
93,1,127853,0.103327757455191,0.0792637507719571,0.193221536730303
94,1,128302,0.0906350433581613,0.0790019702228276,0.252055104923669
95,1,128704,0.126726569303484,0.0789402673914652,0.109311522826198
96,1,128911,0.10037730453054,0.0790563548036317,0.205030365261143
97,1,130267,0.0468268193957406,0.0791598856724581,0.554532375772228
98,1,130271,0.0549184632363128,0.0792392159701412,0.488720247813112
99,1,130613,0.0744494362161667,0.0799359460311022,0.352302002552965
100,1,132012,0.0712289108967125,0.0797741873551223,0.37252881591065
101,1,133231,0.11045578015826,0.0790792771345559,0.163359422198312
102,1,137074,0.0536943912479885,0.0791331393053916,0.49787882472186
103,1,137304,0.0878431508014727,0.0790741499958969,0.267369242217933
104,1,139686,0.0225657505576296,0.0793072543136751,0.776166669783972
105,1,149562,0.0254318328263816,0.0794857710957811,0.749192085749253
106,1,150447,0.0123819132968201,0.0803763986454631,0.877659039404825
