SNP,Chr,Pos,Effect,SE,HNM1_MAM33_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0454382550878085,0.0688882935283316,0.509944958232121
9,1,27272,-0.0477989914767357,0.0678478679254727,0.481584422721041
16,1,27843,0.116817692544231,0.0659968832758309,0.0775821853954006
17,1,27848,0.116817692544231,0.0659968832758309,0.0775821853954006
18,1,28495,0.150831097093151,0.065802291282987,0.0224828439369754
19,1,28975,0.0914191033166682,0.0656670547484549,0.164750103798314
26,1,31435,0.122079086848354,0.0653503912930197,0.062580647080384
29,1,36146,0.0752201571129326,0.0652111998986869,0.249491676690083
31,1,37409,0.128635233903308,0.06532945094863,0.0497322066285219
32,1,37478,0.111901533324248,0.0654733624206146,0.0883084790245154
33,1,39144,-0.00025212459403811,0.065443693776596,0.996928299851877
34,1,41499,-0.00143501320955824,0.0652621241857464,0.982469589449209
37,1,51248,0.0680238012557218,0.0654398760271112,0.299290461686111
38,1,51462,0.0685982047203216,0.0655271881547655,0.295877521595847
39,1,52124,0.040751336714826,0.065504055175204,0.534265040236092
40,1,52667,0.00904044262229198,0.0654331491771826,0.890190345464266
42,1,59265,0.0316148445704467,0.0653802578744145,0.62900267503065
43,1,60165,0.0685705567367483,0.0652504981789403,0.294031784906032
44,1,62308,0.013652479924295,0.0652765679957638,0.834453150985053
45,1,62869,0.0165706967330698,0.0652664544017303,0.799726030800325
49,1,66841,0.0674407297404205,0.0652044490437281,0.301705643331981
50,1,66948,0.0570109931666185,0.0656338433095283,0.385644143388238
51,1,68621,-0.0213356430470419,0.065516114703792,0.744878427354156
52,1,69417,-0.00996320262009401,0.0653503343347574,0.878912559299419
56,1,74327,-0.04040668480325,0.0656765862926539,0.538794443585029
57,1,74572,-0.0474497659381864,0.0654881644407219,0.469205135421033
58,1,75211,-0.0277253803409371,0.0654007292412334,0.671874526633773
59,1,76030,-0.0081069275123927,0.0654159522922139,0.901442099627435
60,1,80108,-0.0451384499356523,0.0653577666612911,0.490247954287519
61,1,81262,-0.0384464724747525,0.0653451505344394,0.556666928208116
62,1,81999,-0.0615024400928081,0.065455040855986,0.348058340522124
63,1,82431,-0.0452123751851615,0.0658030908359363,0.492479741292497
64,1,83284,-0.0811157958689646,0.0652251879784154,0.214462175840985
65,1,83613,-0.0658635081019439,0.0652666386149032,0.313596270739449
66,1,84112,-0.0823548305703962,0.0652207893441538,0.207527519313079
68,1,84858,-0.0699796722264943,0.0654465052145012,0.28568078988157
69,1,85751,-0.0818022230522181,0.0656776885219801,0.213770396461658
70,1,87445,-0.0478826166523204,0.0659117345867503,0.468034736559561
71,1,87467,-0.0501083650609672,0.0662526373368565,0.44996025906379
72,1,89070,-0.0765355903120601,0.0657652649000988,0.24530354766176
73,1,89616,-0.0672966708126714,0.0654388892973231,0.304470750463109
74,1,89679,-0.0710635336735274,0.0654359201924324,0.278219200119358
75,1,89880,-0.0697075159418337,0.0654566863361171,0.28763046115851
76,1,91472,-0.0571169976448886,0.0659784011487388,0.387246858398311
77,1,93789,-0.0194185651036684,0.0653597468726069,0.766562761126368
78,1,94351,-0.0133597624114899,0.0655360975173398,0.838585457918939
79,1,99148,0.00536841576041693,0.0653672937003443,0.934592317931652
82,1,106800,0.0300813559605743,0.0654365077810952,0.646012438323003
83,1,107970,0.0207474135533716,0.0652528257403394,0.750707644858573
84,1,109000,-0.0169949869901012,0.0653709249189939,0.795032492223701
85,1,112549,0.045369876939226,0.0652585129111517,0.487366636734394
86,1,112742,0.058801708580237,0.0654828487570812,0.369812986303762
87,1,113050,0.0509476283387392,0.0653911099450452,0.436430062719553
88,1,113135,0.0211628653355329,0.065270893989742,0.745954977454997
89,1,114076,0.0138027005111459,0.0652764785021503,0.832658296871955
90,1,114628,0.00347745109499585,0.065445499076104,0.957654346898801
91,1,116283,0.0408267283850107,0.0657738784515219,0.535188755000169
93,1,127853,0.0390599633793755,0.0656543261329048,0.552269029173196
94,1,128302,0.0709755249166785,0.0653257830442976,0.278005539024356
95,1,128704,0.0802276582077048,0.0653607177449461,0.220467714485911
96,1,128911,0.0924014486612799,0.0653224290371685,0.158083678836008
97,1,130267,0.0150823381611812,0.0654713306311589,0.817941182294482
