SNP,Chr,Pos,Effect,SE,ERV25_ERG5_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0256015044048974,0.0663010127020329,0.69962526289497
9,1,27272,-0.0280698714273138,0.0653020246464551,0.66756930124454
16,1,27843,-0.0333276708329276,0.0637489647189157,0.601444548796176
17,1,27848,-0.0333276708329276,0.0637489647189157,0.601444548796176
18,1,28495,-0.0159603391566286,0.0637690139728496,0.802513628622175
19,1,28975,-0.018498414267755,0.0633407229900732,0.770422899524933
26,1,31435,-0.0398583514146548,0.0631449082084978,0.528304954805796
29,1,36146,-0.0582711864769984,0.0627781843927615,0.353934139823589
31,1,37409,-0.0154954713368202,0.0631892140277247,0.806425988352587
32,1,37478,-0.0230266685650674,0.0632370453155439,0.715977017135575
33,1,39144,-0.0648220606182087,0.0628656976475971,0.30319062588819
34,1,41499,-0.0978127233977227,0.0625694527342139,0.118885958481468
37,1,51248,-0.0572245848303752,0.0629793014404648,0.364167877315354
38,1,51462,-0.0545780022800847,0.0630715468964419,0.387442771651668
39,1,52124,-0.067837157152398,0.0629494444827707,0.281928060448796
40,1,52667,-0.0548482446084594,0.0628841314469567,0.383686023143997
42,1,59265,0.00817487426823887,0.0629185937379998,0.896697556052602
43,1,60165,0.029473211967755,0.0628529785273549,0.639414085074349
44,1,62308,-0.0490962238025503,0.062749018242147,0.434491034126212
45,1,62869,-0.0691912153850927,0.062687438220992,0.270453740973441
49,1,66841,-4.05404361867867e-05,0.0628251124079393,0.999485497368404
50,1,66948,-0.00765899866894126,0.0632093631347187,0.90362632792239
51,1,68621,0.0188819358787874,0.0630314271099573,0.764686180501686
52,1,69417,0.0173009917300648,0.0628658077749873,0.783319671162138
56,1,74327,-0.0296429934936189,0.063198529216409,0.639326575309161
57,1,74572,-0.0264182747584573,0.0630342320315542,0.675390681335405
58,1,75211,0.0218604981111662,0.0629242224107693,0.728490434344211
59,1,76030,-0.00815448379672967,0.0629334820646797,0.896978017943291
60,1,80108,-0.0428898423460818,0.0628786736278292,0.495620027432332
61,1,81262,-0.0924145256195832,0.0627036848142249,0.141418749427519
62,1,81999,-0.110686480959099,0.062774076995038,0.078723231648375
63,1,82431,-0.0699373937470264,0.0632389149802443,0.269512823713667
64,1,83284,-0.105311697722842,0.0626371045016369,0.0935893365017708
65,1,83613,-0.0914615642084867,0.0626917523534239,0.14547936378791
66,1,84112,-0.0688597091257384,0.062780509681293,0.273462245233125
68,1,84858,-0.0684917019545565,0.0629594357561731,0.277394555061183
69,1,85751,-0.0499925033488777,0.0632681711446807,0.429959970075149
70,1,87445,-0.0311077253733096,0.0634363584133622,0.624171872865868
71,1,87467,-0.0196888506186736,0.0637815588406716,0.75773800213969
72,1,89070,-0.0561414946213483,0.0633204586555236,0.375884518463022
73,1,89616,-0.0460124147413316,0.0630023329971385,0.465673669171327
74,1,89679,-0.0501827938884271,0.0630013044931666,0.426256053558979
75,1,89880,-0.0578029330380899,0.0629987981026166,0.359494369112498
76,1,91472,-0.0592602294098255,0.0634637281957757,0.351063221404547
77,1,93789,-0.0264146149939122,0.0628716810778341,0.674642201923941
78,1,94351,-0.0279655333955681,0.0630353357164322,0.657568522724106
79,1,99148,-0.00462632997783022,0.0628869161877442,0.94139750579132
82,1,106800,-0.0430915391500069,0.0629304455057116,0.493951870289921
83,1,107970,-0.0375422078017061,0.0627538576209793,0.550059831532684
84,1,109000,-0.0154400193793223,0.0628909424693909,0.806208371442885
85,1,112549,-0.035647340637231,0.0627964564591547,0.570623421322015
86,1,112742,-0.0415239415607834,0.0630311440944797,0.510463623036058
87,1,113050,-0.0597391025193504,0.0628834435923369,0.342763567499428
88,1,113135,-0.0775176575853451,0.0626677357437957,0.216923163270871
89,1,114076,-0.0491250426431259,0.0627489543465932,0.434221147303243
90,1,114628,-0.0382701240803039,0.0629293299228847,0.543482734464146
91,1,116283,0.0196998608698142,0.0633037939166104,0.755835633838384
93,1,127853,0.0033768359110451,0.0631943404414619,0.957414962348922
94,1,128302,0.0264493899035166,0.0629361135049089,0.674552862871397
95,1,128704,0.028159547401515,0.0629966933171973,0.655148896895784
96,1,128911,0.0304475451921677,0.0630006547961587,0.629189923286726
97,1,130267,-0.0358005631244693,0.0629627944115886,0.569990051682652
98,1,130271,-0.0331679401282861,0.0630416710309786,0.599130189785089
99,1,130613,-0.0243317669492414,0.0636425607192698,0.702454757451308
100,1,132012,0.0142669559905004,0.0635160811505286,0.822405186370208
101,1,133231,-0.0159073410284074,0.0630641959821705,0.801002017469986
102,1,137074,-0.0443159099995116,0.0629359969515651,0.481808279568946
103,1,137304,-0.0276988520328665,0.0629848203128389,0.660372611315605
104,1,139686,-0.0364329381203487,0.0630550562016208,0.563770454114258
105,1,149562,-0.0312286615393496,0.0632069335282246,0.62156390549813
106,1,150447,-0.0263881919093052,0.0639147042362848,0.679955636322477
108,1,154084,-0.0446241686296941,0.0640836462646601,0.486672586879024
110,1,157269,-0.0209678250994839,0.0629538864084548,0.739281879664299
111,1,160054,-0.0437103410731711,0.0635193941168615,0.491815526379083
112,1,166222,-0.0491891422719389,0.0630375202530738,0.435728214889566
