SNP,Chr,Pos,Effect,SE,ERV25_PIS1_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.162925516843823,0.134272212959209,0.225789306535868
9,1,27272,-0.187637769831461,0.132154454474453,0.156537687665733
16,1,27843,-0.0342815503678396,0.129382673131223,0.791193036704196
17,1,27848,-0.0342815503678396,0.129382673131223,0.791193036704196
18,1,28495,-0.00144537963997196,0.129397610672771,0.991094073494276
19,1,28975,0.0100723240812075,0.128531566424989,0.937582437693261
26,1,31435,-0.0253268845098888,0.128185052531525,0.84348690676295
29,1,36146,-0.0502651727779977,0.127503062886111,0.693651370611264
31,1,37409,0.0250109555719442,0.128213759962277,0.84544855936309
32,1,37478,0.0143325981470793,0.128328626742767,0.911135320264014
33,1,39144,0.0135996003757013,0.127743236825414,0.915277520793008
34,1,41499,-0.0290323619010174,0.127381578382085,0.819843122522535
37,1,51248,0.0535560231217916,0.127901425346395,0.675668924790766
38,1,51462,0.0604257318988281,0.128066286769132,0.637338445325259
39,1,52124,0.059029868212733,0.127894600262795,0.644687694445441
40,1,52667,-0.0127362844044513,0.127726356479215,0.920626880426402
42,1,59265,0.117854266223838,0.127509520662478,0.355972882430796
43,1,60165,0.0933006419885634,0.127470556170804,0.464691589316395
44,1,62308,0.0301333171351476,0.127416858316244,0.813186563731977
45,1,62869,-0.00669708401396988,0.127410448893368,0.958109776589811
49,1,66841,0.0751799398189625,0.127408175521021,0.555520203838925
50,1,66948,0.0461548904013387,0.128229770779729,0.719108028212436
51,1,68621,-0.048897629978615,0.127879378088602,0.702414774116847
52,1,69417,-0.0425783616919923,0.127547116913777,0.738710157980117
56,1,74327,-0.0190834711929092,0.128264581657185,0.881810549073302
57,1,74572,0.00136323492673168,0.127927090755318,0.991503649384215
58,1,75211,-0.00581181663862866,0.127693536924225,0.963723520711726
59,1,76030,-0.0433919115790616,0.127673024492435,0.734158445739081
60,1,80108,-0.00233661475857935,0.127663658811568,0.985407557175416
61,1,81262,-0.0258957534731867,0.127608013134888,0.839305074707638
62,1,81999,0.0157100326326021,0.127924378634701,0.902329673217884
