SNP,Chr,Pos,Effect,SE,ERV25_UIP4_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0346149767791043,0.0604106818378161,0.567013353160168
9,1,27272,-0.0920955023361917,0.0593289694346959,0.121489970273601
16,1,27843,0.051825722267337,0.058057096806675,0.372643023456399
17,1,27848,0.051825722267337,0.058057096806675,0.372643023456399
18,1,28495,0.0833479441285432,0.0579539915920966,0.151270533656079
19,1,28975,0.0484614080255094,0.0576773615827017,0.401356338914883
26,1,31435,0.0715542005924034,0.0574559572345771,0.213820040152442
29,1,36146,0.0421007715792544,0.0572412793746497,0.462525444279155
31,1,37409,0.0431555616440001,0.0575490346035603,0.453819228091124
32,1,37478,0.0411672190467363,0.0576027077464816,0.475282195432772
33,1,39144,-0.00997134738986773,0.0573788654524786,0.862137315734696
34,1,41499,-0.00860200310399187,0.0572203251698039,0.880589138890475
37,1,51248,0.00472460456871502,0.0574651706561594,0.934520882974275
38,1,51462,0.00315569355852761,0.0575433997113931,0.956296770017837
39,1,52124,0.00100375113627967,0.0574656960211803,0.986073957347095
40,1,52667,-0.0478219092231273,0.0573171370137128,0.404654369448037
42,1,59265,-0.0269611793370205,0.0573267230203391,0.638425883253267
43,1,60165,-0.0387467328184088,0.0572642242354415,0.499083406099915
44,1,62308,-0.0286702252568112,0.0572179835664559,0.61663403603748
45,1,62869,-0.017856029204834,0.0572232476071068,0.755193198804775
49,1,66841,0.0477773856464559,0.0572016157050519,0.40414450435945
50,1,66948,0.0448121149573397,0.0575601170275743,0.436779833505648
51,1,68621,0.0448644588998826,0.0574038014126548,0.434997646093028
52,1,69417,0.00871613031547777,0.0572994691337323,0.879182839105033
56,1,74327,-0.025049144169153,0.0576009581900032,0.663919809222675
57,1,74572,-0.0176006529088669,0.0574553559413753,0.759529311461244
58,1,75211,-0.0221294936101575,0.0573461479971678,0.699808162476516
59,1,76030,0.016185747209758,0.0573517727258749,0.77794115245574
60,1,80108,-0.0832875641611236,0.0571730823932964,0.146071044719945
61,1,81262,-0.0837871706905814,0.0571492694725256,0.143508266617337
62,1,81999,-0.0935578308075855,0.057246827621669,0.103089746550614
63,1,82431,-0.075608034885246,0.0575945897906571,0.190115701282152
64,1,83284,-0.105412947141571,0.0570396075504755,0.065429117538384
65,1,83613,-0.0929724709304798,0.0570945218468097,0.104333129833433
66,1,84112,-0.0548242587510593,0.0572405497939862,0.338825644671726
68,1,84858,0.0082870239947438,0.0574749460419857,0.885436679853409
69,1,85751,-0.040106851293559,0.0576733905254524,0.48725376683963
70,1,87445,-0.0612587778603413,0.0577429046926543,0.289465921666003
71,1,87467,-0.0783665859861354,0.0579878352320623,0.177422671564523
72,1,89070,-0.0630960516164059,0.0576760994823674,0.274713082601549
73,1,89616,-0.0647784025631276,0.0573594641626664,0.259520803326695
74,1,89679,-0.061707491059841,0.0573763437380129,0.282891433618357
75,1,89880,-0.0619038619931747,0.0573903301289924,0.281481967632966
76,1,91472,-0.0482686363189453,0.0578545150951191,0.404670203297949
77,1,93789,-0.0805618785055115,0.0571542595785115,0.159552502054455
78,1,94351,-0.101193017302907,0.0572127651751564,0.0778051596579327
79,1,99148,-0.0841971531721236,0.0571394142585426,0.141496913398848
