SNP,Chr,Pos,Effect,SE,SSH1_ORM2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.155445669719096,0.149933676175887,0.300556048401563
9,1,27272,0.153525115821543,0.147680795313328,0.299249373705087
16,1,27843,-0.105260093791425,0.144298443921733,0.466203426106104
17,1,27848,-0.105260093791425,0.144298443921733,0.466203426106104
18,1,28495,-0.0510062272889667,0.144383978955524,0.724098466185755
19,1,28975,-0.0607452153549777,0.143407763218314,0.672127293754293
26,1,31435,-0.100320167863589,0.142964476113345,0.483319943041993
29,1,36146,-0.0939450655068518,0.142238593385576,0.509379678928909
31,1,37409,-0.00785127000610636,0.143095382380947,0.956275152196066
32,1,37478,-0.00779790581452633,0.143218402212655,0.956609315310383
33,1,39144,0.0249965219126089,0.142559250848163,0.860912007818835
34,1,41499,0.198523592585057,0.141776814795444,0.16231549661379
37,1,51248,-0.0697924954494272,0.142726823593005,0.625149941005989
38,1,51462,-0.0791210054368914,0.142906725419556,0.580165572905173
39,1,52124,0.000554466932305694,0.142775152416019,0.996903618876446
40,1,52667,0.0665430650678139,0.14250233304877,0.640815697630635
42,1,59265,0.000647413025262888,0.142474423489798,0.996376940106813
43,1,60165,-0.0324888468470211,0.142356262364654,0.819605714953778
44,1,62308,-0.13588091733401,0.142026172980133,0.339357536671013
45,1,62869,-0.117845366164241,0.142053924630843,0.407335844173611
49,1,66841,-0.16336734001064,0.141993363407302,0.250705249931679
50,1,66948,-0.181194247842169,0.142807140309635,0.205347047570015
51,1,68621,-0.358204815399179,0.141465724028015,0.0117712575169155
52,1,69417,-0.286695445311712,0.141546637577322,0.0435733289202669
56,1,74327,-0.311124487146813,0.142188462355715,0.0293163824930776
57,1,74572,-0.286271408525585,0.141952994501309,0.0444874644510355
58,1,75211,-0.344403049919059,0.14132427083763,0.0153042912012605
59,1,76030,-0.205576797916827,0.142087448876447,0.148831113460421
60,1,80108,-0.0977724433877715,0.142379359246912,0.492720260326968
61,1,81262,-0.125599875740517,0.142263586893837,0.377908775756035
62,1,81999,-0.0803944237955096,0.142704239011729,0.573544751462275
63,1,82431,-0.0923889021497556,0.143359894238458,0.519699423709548
64,1,83284,-0.102693932032796,0.142295444674248,0.470959680396545
65,1,83613,-0.0860619398412949,0.142310991421492,0.545736592347682
66,1,84112,-0.139771639073578,0.142205928011792,0.326338710717599
68,1,84858,-0.0949305379488967,0.142712866038713,0.506366173207357
69,1,85751,-0.118752629245508,0.143249862950157,0.407670545799838
70,1,87445,-0.0960009186764117,0.143601473930096,0.504236581070496
71,1,87467,-0.132080493469923,0.144273415620859,0.360560769713214
72,1,89070,-0.0968614751699734,0.143447941514716,0.499966733555726
73,1,89616,-0.0673266873678734,0.142723397983245,0.637412066867163
74,1,89679,-0.0882735649932252,0.142709136531934,0.536607944408536
75,1,89880,-0.0952238918167842,0.142732679187171,0.505113147498185
76,1,91472,-0.0582844694069876,0.143849329955011,0.685592697185558
77,1,93789,0.0191327063499598,0.142396741725895,0.893192927612631
78,1,94351,0.0123181052615036,0.142773650132332,0.931295009250471
79,1,99148,0.00874890363929653,0.142399621544488,0.951044289755039
82,1,106800,-0.108945262634029,0.142474515319287,0.4449819730116
83,1,107970,-0.17375067081452,0.141868921083376,0.221494817920938
84,1,109000,0.0226440284644445,0.142415465862199,0.873759971232691
85,1,112549,-0.125405290759124,0.142102674892422,0.378108249412264
