SNP,Chr,Pos,Effect,SE,SRO9_GIS2_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0474795908387116,0.0686521638945921,0.489645408517677
9,1,27272,-0.0828136791557998,0.0675232520148313,0.220848017034239
16,1,27843,0.08976346032811,0.0658929606820693,0.173983863435192
17,1,27848,0.08976346032811,0.0658929606820693,0.173983863435192
18,1,28495,0.148888125945381,0.0655900250762052,0.0238111401817616
19,1,28975,0.0980590263336802,0.0654175186020444,0.134774647403352
26,1,31435,0.0846763253228899,0.0652961619935818,0.195545638910534
29,1,36146,0.0616494747061725,0.0650312893073975,0.343779440471367
31,1,37409,0.121851277952432,0.0651440410694082,0.0622430993526061
32,1,37478,0.102597230308322,0.0652944108424713,0.117008410549138
33,1,39144,-0.0138866486914686,0.0652191743151114,0.831510092274409
34,1,41499,0.0156014757570948,0.0650371462677843,0.810558169797689
37,1,51248,0.086000152786117,0.0651587198557759,0.187738249301186
38,1,51462,0.0705519359363813,0.0652999913531321,0.280689255703878
39,1,52124,0.0833912763695722,0.0651683257031854,0.201516049477979
40,1,52667,0.00238156469920772,0.0652144918200465,0.970889212001675
42,1,59265,0.00584398072740458,0.065180973571985,0.928610023014257
43,1,60165,0.00247012307752423,0.0651323273180901,0.969769168454984
44,1,62308,-0.0154446327544936,0.0650556351455932,0.812479146893903
45,1,62869,-0.0280690233721293,0.0650355000548367,0.666298968712793
49,1,66841,0.0359010520671891,0.0650552592831426,0.581397078070788
50,1,66948,0.0232104144616429,0.0654710858775479,0.723165423725137
51,1,68621,0.0117743124914241,0.0653023386025109,0.857016903100172
52,1,69417,-0.0126970446100776,0.0651289539841604,0.845542383171637
56,1,74327,-0.111734083553962,0.0652199794046739,0.0875559704843728
57,1,74572,-0.102661180723045,0.0650872423979473,0.115625481318084
58,1,75211,-0.0970409767926098,0.0649922224810093,0.136299855520049
59,1,76030,-0.0295099326701133,0.0651782090937706,0.651001399951602
60,1,80108,-0.0727555296433051,0.0650665865852654,0.264254608431956
61,1,81262,-0.114754903337377,0.0648701719944434,0.0777584411517666
62,1,81999,-0.109191225319836,0.0650571297150973,0.0941560154611811
63,1,82431,-0.0859179453002127,0.0654658647191523,0.190235089365658
64,1,83284,-0.120841457565368,0.0648295751082488,0.063153550164977
65,1,83613,-0.0903628259473353,0.0649628680612009,0.16510399943428
66,1,84112,-0.076536122017709,0.0650203571160188,0.239944614264575
68,1,84858,0.00859648280497416,0.0653301054419144,0.895387261684682
69,1,85751,-0.0517168066805327,0.0655424624073232,0.43060771889884
70,1,87445,-0.0445906906555424,0.065696057226068,0.497745917753644
71,1,87467,-0.0564779226051065,0.0660146536283495,0.39283471613158
72,1,89070,-0.0251388341664182,0.0656558331348523,0.702033222255155
73,1,89616,-0.0348154026991634,0.0652899058201139,0.594200755012105
74,1,89679,-0.0330788846740823,0.0653007376934064,0.612778288915399
75,1,89880,-0.0384694379693903,0.0653089311634706,0.556212577204545
76,1,91472,-0.0105469735962338,0.0658236380464591,0.872790924122649
77,1,93789,-0.0378927663669449,0.0651166147336359,0.560990915135203
78,1,94351,-0.0198647498195239,0.0653107404532502,0.76118713748111
79,1,99148,-0.00239007125419124,0.0651477162210844,0.970755348417035
82,1,106800,0.00676114139440058,0.0652347247633065,0.917511290515052
83,1,107970,-0.0211210553300334,0.0650327317103885,0.745543169564312
84,1,109000,-0.0313866088786466,0.0651356551607061,0.630200280374664
85,1,112549,-0.0164332500680526,0.0650774382963684,0.80078737240474
86,1,112742,0.0115166709980327,0.0653340050153336,0.860179955147955
87,1,113050,0.0445636627224606,0.0651838257515704,0.494637538749559
88,1,113135,0.00642215037271408,0.0650599305789024,0.921423524926227
89,1,114076,0.00239738963513021,0.0650607033753667,0.970626627961796
90,1,114628,0.00859212126493402,0.0652238177608628,0.895270628150822
91,1,116283,0.00534667380051085,0.0655875807030207,0.935074933086034
93,1,127853,0.0531034808517119,0.0654050383776164,0.417386253636516
94,1,128302,0.0209051665175054,0.0652051223214395,0.748698544639672
95,1,128704,0.0222551877538872,0.0652687836089117,0.733323361254343
96,1,128911,0.0306307929992563,0.0652663973274163,0.639131020821687
97,1,130267,-0.0364664583832064,0.065226938425401,0.576468094365178
98,1,130271,-0.0283507824339708,0.0653158312949082,0.664512346028163
99,1,130613,-0.0207527527336581,0.0659345438925914,0.753139104409735
100,1,132012,-0.0479415376175322,0.0657543314134665,0.466423447558073
101,1,133231,-0.0441186184144089,0.0652946698783,0.499683158132954
102,1,137074,-0.0489623302732637,0.0651918921278443,0.453123314628766
103,1,137304,-0.0265532258869019,0.0652513322378304,0.684300389245189
104,1,139686,-0.0786313301036273,0.0652182622529445,0.228754486596587
105,1,149562,-0.0900095788149838,0.0653260672577073,0.16912215430529
106,1,150447,-0.102701166441049,0.0660020893442753,0.120597253814578
108,1,154084,-0.0942252405220532,0.0662430974632872,0.155788553693628
110,1,157269,-0.0865735835191302,0.0650640048113389,0.184182484842458
