SNP,Chr,Pos,Effect,SE,HNM1_TPO2_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0432950883132026,0.105048597395467,0.680484468970609
9,1,27272,0.0118253590445838,0.103493983900754,0.909095605258847
16,1,27843,-0.0467195646067768,0.101016546956643,0.644011923940597
17,1,27848,-0.0467195646067768,0.101016546956643,0.644011923940597
18,1,28495,-0.0153936471632138,0.101045462365824,0.879002836290597
19,1,28975,-0.0360053439595283,0.100355034982196,0.719974425558496
26,1,31435,-0.0253491875219504,0.100098301748256,0.800227909689224
29,1,36146,-0.108591834631641,0.0994233430220094,0.275482726643493
31,1,37409,-0.0302025092083423,0.100116769138414,0.763079121718983
32,1,37478,-0.0608186947576647,0.100163455880768,0.544112233853138
33,1,39144,-0.0730685814086072,0.0996826038760265,0.464037361815265
34,1,41499,-0.0679911799914641,0.0994158898731786,0.494482862746727
37,1,51248,-0.104514357064936,0.0997501846241131,0.295465571008192
38,1,51462,-0.102556545309774,0.0998916157390219,0.305275009749691
39,1,52124,-0.16904568210516,0.0994991974369746,0.0902067849747402
40,1,52667,-0.159749338890723,0.0993820048719819,0.108854723262407
42,1,59265,-0.0193489986543697,0.0996894220877236,0.846214866556086
43,1,60165,-0.0128174579112984,0.0996170693363649,0.897694197093117
44,1,62308,-0.149688214814251,0.0991903962151653,0.132167767864672
45,1,62869,-0.140710883434354,0.099215083455067,0.15700265575466
49,1,66841,-0.025118517997635,0.0995352615627847,0.80091124669008
50,1,66948,-0.0654423771877977,0.100094568628534,0.513662808172688
51,1,68621,-0.13899471934425,0.0996094891048119,0.16377352832677
52,1,69417,-0.138946523062399,0.0993445232577979,0.162801020605534
56,1,74327,-0.144360578382374,0.0998719791739534,0.1492169335287
57,1,74572,-0.145485701324415,0.0995998746519915,0.144986808165857
58,1,75211,-0.146319599028073,0.0994137475698121,0.141959187215015
59,1,76030,-0.185888242286412,0.099226282844405,0.061842434354519
60,1,80108,-0.155809580312274,0.0993492282003166,0.117706630783428
61,1,81262,-0.176543188643973,0.0992130778218164,0.0760288270284773
62,1,81999,-0.214071409910951,0.0992485532191756,0.0316863242049662
63,1,82431,-0.202561492279318,0.099792634741409,0.0431240262366845
64,1,83284,-0.175372911284501,0.0992047724605079,0.0779603263931185
65,1,83613,-0.133628056075635,0.0993777665316963,0.179602481866936
66,1,84112,-0.113723630095489,0.0994589152032121,0.253637760641901
68,1,84858,-0.0589550872181047,0.0998748719853708,0.555374270835653
69,1,85751,-0.0623643248588325,0.10027994623627,0.534407589894805
70,1,87445,-0.066972677042617,0.100483761699664,0.505525340644593
71,1,87467,-0.0776483673636076,0.100988806796749,0.44247811514738
72,1,89070,-0.0894175886030608,0.100327932089273,0.37340043098288
73,1,89616,-0.0465567089003058,0.0998696916996595,0.641378092154337
74,1,89679,-0.0578996107285947,0.0998655426344032,0.562435759346891
75,1,89880,-0.0717248661882636,0.0998654556649008,0.473099817240317
76,1,91472,-0.0622654610912283,0.100625657194088,0.536458317003296
77,1,93789,-0.0741664021654786,0.0995647065778156,0.456823857477525
