SNP,Chr,Pos,Effect,SE,HUG1_ALO1_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0209994453003943,0.184485881867481,0.909439770191693
9,1,27272,0.0361408799608518,0.181708475980286,0.842459504871211
16,1,27843,0.0439649525905764,0.177403696913301,0.804414419403566
17,1,27848,0.0439649525905764,0.177403696913301,0.804414419403566
18,1,28495,0.0418051721068456,0.177408048909439,0.813845448348235
19,1,28975,0.0470084649272664,0.176218276004942,0.789807632034857
26,1,31435,0.000268525468011871,0.175769103749288,0.998781921542688
29,1,36146,-0.0433249340302793,0.174847559591527,0.804443362641192
31,1,37409,-0.000884914618179883,0.175808216810923,0.995986781095896
32,1,37478,-0.00589505524665379,0.175959075169585,0.973292869417674
33,1,39144,-0.0270522760855536,0.175150489449132,0.877341925633053
34,1,41499,-0.128923674277615,0.174535725761995,0.460600433156065
37,1,51248,-0.166769400120138,0.175189321475056,0.341779683478498
38,1,51462,-0.171663878824253,0.175414114036599,0.328437633604743
39,1,52124,-0.103832946081736,0.17532696345861,0.554079311444091
40,1,52667,-0.175994710664889,0.174882226565427,0.314931111925647
42,1,59265,0.0379908489067428,0.175032887019018,0.828294945230491
43,1,60165,0.000534403237569356,0.174912288560139,0.997563981575344
44,1,62308,-0.0108050204554678,0.174718979026372,0.95072343098611
45,1,62869,0.000541673045015456,0.174697978888226,0.997527814049247
49,1,66841,0.0398693577409298,0.174767432365011,0.819678761387084
50,1,66948,0.0185359900005285,0.175850194851918,0.916112061646894
51,1,68621,-0.185371897316492,0.175098821610629,0.290473906164526
52,1,69417,-0.0780672434173918,0.174862931009783,0.655547256934224
56,1,74327,0.0273895199137974,0.175867903708811,0.876327647066738
57,1,74572,0.0432542488794155,0.175390604339056,0.805348244094545
58,1,75211,0.0969001516844639,0.175009986190808,0.58014596223643
59,1,76030,0.0707131177985308,0.175045507020806,0.68647946628646
60,1,80108,0.0388468369841374,0.175032354766307,0.82448823885322
61,1,81262,0.11020528185154,0.174880049419992,0.528986880720125
