SNP,Chr,Pos,Effect,SE,ALO1_HYR1_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0193262387645525,0.0619967669814587,0.755429922322602
9,1,27272,-0.0264515557527794,0.061057891611942,0.665118878740371
16,1,27843,0.0497692837150608,0.0595702180409392,0.404016796945648
17,1,27848,0.0497692837150608,0.0595702180409392,0.404016796945648
18,1,28495,0.0812164467676779,0.0594731628559269,0.172934607385391
19,1,28975,0.0424893904136359,0.0591882702069293,0.473313224382022
26,1,31435,0.0511152323112303,0.0590118462581492,0.386976532416261
29,1,36146,0.0500904256838627,0.0587094102217464,0.394131134062176
31,1,37409,0.0542341402516324,0.0590171223344011,0.358746064732197
32,1,37478,0.0498177844898913,0.0590789954915653,0.399665128613579
33,1,39144,-0.0194237729868162,0.0588595251380562,0.741594046184314
34,1,41499,0.00112848078523939,0.0587052844428306,0.984674218188972
37,1,51248,-0.0132723350512426,0.0589509598678413,0.821999111461664
38,1,51462,-0.0158339170598056,0.0590291202903419,0.788671974307538
39,1,52124,-0.0438879644708835,0.0589088971749752,0.456758865809427
40,1,52667,-0.064684736952571,0.0587599353262015,0.271720455399344
42,1,59265,-0.04465061885759,0.0587829948123247,0.448010275068684
43,1,60165,-0.0260614302037616,0.0587701908231262,0.657714534637574
44,1,62308,-0.0800187281000204,0.0585672553440406,0.172723693649178
45,1,62869,-0.0750561564289692,0.058578471803902,0.200931993052695
49,1,66841,-0.0811605411639083,0.0585831557649116,0.166807875586215
50,1,66948,-0.0836541619888079,0.0589347596269554,0.156654168239699
51,1,68621,-0.0310323697466651,0.0589194529327456,0.59873869506725
52,1,69417,-0.0513921403917199,0.0587228863918158,0.382079895864835
56,1,74327,-0.0339892632365114,0.0590820722171946,0.565462402531233
57,1,74572,-0.0558678400320809,0.0588773528676886,0.343328232010264
58,1,75211,-0.0314234393896681,0.0588211552619005,0.593525584948898
59,1,76030,-0.0221659593895542,0.0588331003490058,0.706578333442575
60,1,80108,-0.0110260641707536,0.0588280875877167,0.851432309573515
61,1,81262,-0.090223229071825,0.0586123854404528,0.124622027189281
62,1,81999,-0.0990870368793951,0.0587160194288465,0.092378278693818
63,1,82431,-0.0754292209037815,0.0590952441094033,0.20265294790539
64,1,83284,-0.1076128369288,0.0585208144175108,0.0667724495995828
65,1,83613,-0.0923829889665389,0.058587988558838,0.115731570101605
66,1,84112,-0.0952780519705752,0.0585813560963339,0.104752066763005
68,1,84858,-0.056687254213342,0.0588891521335898,0.336402483714781
69,1,85751,-0.0814678486151422,0.0590497717326106,0.168568602162172
70,1,87445,-0.0559985792803095,0.0592590166068935,0.345315494023977
71,1,87467,-0.083041111911014,0.0594805524798896,0.163560150862517
72,1,89070,-0.0472593165690094,0.0592178449600602,0.42537296519886
73,1,89616,-0.0691904547647884,0.0588372572487214,0.240402012528303
74,1,89679,-0.0574899282402162,0.058880404488482,0.329542472770706
75,1,89880,-0.0451319280479142,0.0589258559925152,0.444241422705353
76,1,91472,-0.0365481550737013,0.0593807004921456,0.538628581822097
77,1,93789,-0.0269650696573994,0.058782921986144,0.646715504910898
78,1,94351,-0.0221275131596583,0.0589434275113656,0.707586575038895
79,1,99148,-0.0264260797250208,0.0587836153983628,0.653312009105621
82,1,106800,0.0198105577806798,0.0588703130326446,0.736684876021167
83,1,107970,-0.0219103821299308,0.0586937311133479,0.709149093252536
84,1,109000,-0.0227857231413494,0.0587962675709976,0.698592334846967
85,1,112549,-0.00449004536890452,0.0587417158316861,0.939114671244368
86,1,112742,0.0146970387027306,0.058965873191213,0.803315059981975
87,1,113050,0.0453457956096293,0.0588223623576172,0.441285534242395
88,1,113135,-0.0101098302135723,0.058719440195164,0.863401151402661
89,1,114076,-0.00571638299394819,0.0587211174135537,0.922505291008303
90,1,114628,-0.00470630944768122,0.0588699287908418,0.936326936505336
91,1,116283,0.0180495490242776,0.0591900975791723,0.760590010802421
93,1,127853,0.0148890316069133,0.0590823589958905,0.801184094860045
94,1,128302,-0.0210637382088968,0.0588500308408707,0.72061538625913
