SNP,Chr,Pos,Effect,SE,SNA4_GTR2_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0131497552540349,0.0611415647572913,0.829836446466515
9,1,27272,-0.00519445922166106,0.0602266681593238,0.931317783952012
16,1,27843,0.0540530953558675,0.0587318822672028,0.358025437833087
17,1,27848,0.0540530953558675,0.0587318822672028,0.358025437833087
18,1,28495,0.08886520371798,0.0586127261824907,0.130378451769016
19,1,28975,0.0918018394880061,0.0582054641329092,0.115644492922692
26,1,31435,0.0743601243391735,0.0581208341859376,0.201594539493715
29,1,36146,0.048548460867109,0.0578974104404971,0.402303012402589
31,1,37409,0.0893673647379472,0.0580739313671672,0.124735549974576
32,1,37478,0.0882010116979402,0.0581292355929742,0.130079364602069
33,1,39144,-0.0300484518849781,0.0580303314573248,0.604918007629209
34,1,41499,-0.0146023009504839,0.0578861242531249,0.80098762133446
37,1,51248,0.00869673921390188,0.0581359112377311,0.881170973802494
38,1,51462,0.0145667022120451,0.0582114263527402,0.802548987227191
39,1,52124,-0.0174361464959158,0.0581303465480742,0.76439251229732
40,1,52667,-0.0465844716454656,0.0579916000897062,0.422343714626212
42,1,59265,-0.09413971350369,0.0577985224656545,0.104256668873488
43,1,60165,-0.0602468523932938,0.0578827050481962,0.298660412572125
44,1,62308,-0.107494859008976,0.0576243683174001,0.0629489839353875
45,1,62869,-0.102361205115116,0.057643537991447,0.0766335756719177
49,1,66841,-0.0830341383224455,0.0577588845423422,0.151433590877712
50,1,66948,-0.0901401810652264,0.0580854262030399,0.121592887889332
51,1,68621,-0.102153953798494,0.0578704804256968,0.0783918762953297
52,1,69417,-0.0843896193936805,0.057797192023022,0.145152268802147
56,1,74327,-0.077107314403106,0.0581455267103046,0.185660945774748
57,1,74572,-0.0455499530653276,0.0580844201723734,0.433447143567689
58,1,75211,-0.0478481761462001,0.0579731086110581,0.409729631326247
59,1,76030,-0.0176095431483377,0.0580214490628343,0.761687208219516
60,1,80108,-0.0519269586314927,0.0579494285725692,0.370824051963122
61,1,81262,-0.107519265712041,0.0577103237675192,0.0632805679847273
62,1,81999,-0.0926016998226766,0.0579256893398605,0.110797670527633
63,1,82431,-0.0662499217833949,0.0583036588669542,0.256605618806459
64,1,83284,-0.0775856444513649,0.0578379184511889,0.180642535125963
65,1,83613,-0.0857945206314052,0.0577986548850704,0.138603474149764
66,1,84112,-0.0783379646302767,0.0578350456331177,0.176441063066551
68,1,84858,-0.0774105227891932,0.0580026486063954,0.182866423243587
69,1,85751,-0.0936219753228101,0.0581747853256973,0.108439790498155
