SNP,Chr,Pos,Effect,SE,RET2_EMP47_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0367408654636814,0.100513047902028,0.714932292194427
9,1,27272,0.00702574134807354,0.0990215991375271,0.943476451418685
16,1,27843,0.0723725315868232,0.0966026339516085,0.454249089802498
17,1,27848,0.0723725315868232,0.0966026339516085,0.454249089802498
18,1,28495,0.118966141158197,0.0964733961613493,0.218340447939644
19,1,28975,0.109993020867492,0.0958561024463468,0.251960127191349
26,1,31435,0.0870900092613409,0.0956680386947066,0.363266788724659
29,1,36146,-0.000609719641019912,0.095286380147432,0.994898136060458
31,1,37409,0.0641058391202604,0.0957408064414587,0.503565216362921
32,1,37478,0.0388054376309308,0.0958616929117859,0.685864927616622
33,1,39144,0.0561841750293365,0.0953995412125567,0.556281227407482
34,1,41499,0.0721925267216329,0.0951040610502548,0.448305387990258
37,1,51248,0.0174861891338857,0.0955822569045557,0.854947076502633
38,1,51462,0.0149823746993172,0.0957130825716244,0.875701416751064
39,1,52124,0.0105970658868628,0.0955851238729343,0.911786231064677
40,1,52667,-0.0647863650330869,0.0953712807426691,0.497388621136095
42,1,59265,-0.0498295088423418,0.0953485749085783,0.601577959030535
43,1,60165,-0.0688822184578717,0.095242836552019,0.470019190980295
44,1,62308,-0.00967797191761538,0.0952071560864046,0.919090833765634
45,1,62869,0.0318284679385062,0.0951815172773441,0.738278162183525
49,1,66841,0.0427484073969059,0.0952142755674995,0.65372838728277
50,1,66948,0.0161482488766557,0.095822110512411,0.866268208968894
51,1,68621,-0.102479645598126,0.0954105874690202,0.283515582951865
52,1,69417,-0.0664478802721655,0.0952477357732584,0.485866522056083
56,1,74327,0.010311682037935,0.0958358277288506,0.914376218885247
57,1,74572,0.0316002243421311,0.0955674505700922,0.741098352723945
58,1,75211,0.0274271441519056,0.095396843067336,0.773893779745333
59,1,76030,0.0755884361024941,0.0953231494091912,0.428327703648541
60,1,80108,-0.0388797741709443,0.095363003399514,0.683738948438815
61,1,81262,-0.0131829916362431,0.0953468111475602,0.890110943328826
62,1,81999,-0.0504128330326551,0.0955445804054456,0.598082952768149
63,1,82431,-0.112910006180647,0.0958464941248545,0.239578358145143
64,1,83284,-0.105976149891006,0.0951688733994683,0.26622611461752
65,1,83613,-0.0729616196852507,0.0952462426955223,0.444169494864933
66,1,84112,-0.0819527462331167,0.0952360433818851,0.390085230672054
68,1,84858,0.00795553008948902,0.0956040102869573,0.933729063609071
69,1,85751,-0.0550317350764111,0.095953214047275,0.566653291637535
70,1,87445,-0.0637981281985912,0.0961408951242666,0.507385954735356
71,1,87467,-0.114780515821378,0.0965112971082557,0.235122497265437
72,1,89070,-0.0459839158117345,0.0960680435002167,0.632476966393478
73,1,89616,-0.0189600204271523,0.0955769222506371,0.842866293357387
74,1,89679,-0.0502542710061284,0.0955569255872417,0.599281487387262
75,1,89880,-0.0419720793208568,0.0955924752138461,0.660877242195099
76,1,91472,-0.0520531737437618,0.0962884808977715,0.58912696120898
77,1,93789,-0.102408519913778,0.0951799376163766,0.282685997852618
78,1,94351,-0.111324649991881,0.0954029657703892,0.24404295498843
79,1,99148,-0.131457829712507,0.0950787833331898,0.167655454885957
82,1,106800,-0.0330486126270898,0.0954482710963894,0.729363888896357
83,1,107970,0.0262858126001217,0.095171367938011,0.782560276185812
84,1,109000,-0.0343409349168357,0.09533187258037,0.718894229146926
85,1,112549,-0.0768357524002294,0.0951536161232368,0.419927040507315
86,1,112742,-0.0755414900988278,0.0955279423573484,0.429603923982329
