SNP,Chr,Pos,Effect,SE,HNM1_MID2_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.109091041978242,0.15958437072867,0.494679541950715
9,1,27272,-0.0689110864341951,0.157249015096762,0.661488302526679
16,1,27843,0.138164216683232,0.153394035465834,0.368354271467412
17,1,27848,0.138164216683232,0.153394035465834,0.368354271467412
18,1,28495,0.170600999902693,0.153304017414487,0.266539550499147
19,1,28975,0.127495596233885,0.152395137364401,0.40337669763539
26,1,31435,0.105492562794068,0.152038335492863,0.488229465583163
29,1,36146,0.0165818697047412,0.151354896752589,0.912823589678831
31,1,37409,0.123192271150169,0.15203451362834,0.418318582167041
32,1,37478,0.117837012188119,0.152177466258091,0.439248408776309
33,1,39144,0.0722321396335927,0.151562888659108,0.633954693756389
34,1,41499,-0.0115384015320281,0.151189856494433,0.939209897650335
37,1,51248,-0.207541837089484,0.151432286284999,0.171393731041558
38,1,51462,-0.189928819401773,0.151704099412017,0.211410090709625
39,1,52124,-0.177058953565067,0.151541905295787,0.243440858021201
40,1,52667,-0.326906616019946,0.150589450412935,0.0306086717463578
42,1,59265,-0.0443358120444468,0.151496456386326,0.769959746425894
43,1,60165,-0.00692971127826347,0.151399889324282,0.963518723749902
44,1,62308,-0.046340992923295,0.151213716881711,0.759434921043213
45,1,62869,-0.0434528704604629,0.151197149405806,0.773980722841517
49,1,66841,0.0841211633753591,0.151219835196501,0.578369221671961
50,1,66948,0.0372080540583789,0.152201680237313,0.807012382242368
51,1,68621,-0.164441960999988,0.151549686180657,0.27863129375629
52,1,69417,-0.142185976616961,0.151211080905329,0.347699245515252
56,1,74327,-0.0856722898807742,0.152164419279157,0.573775649432965
57,1,74572,-0.0642441009605043,0.151788924893316,0.672373310646684
58,1,75211,-0.0517696654370389,0.151525615442003,0.73281293519132
59,1,76030,-0.0269352630139854,0.151543885448571,0.859029880552193
60,1,80108,-0.126943418177368,0.151364111459216,0.402226215928433
61,1,81262,-0.179366926429066,0.15115637703576,0.236170978715949
62,1,81999,-0.234154049602133,0.151315066502842,0.122648326105839
63,1,82431,-0.248680899773922,0.151970839541499,0.102652866111848
64,1,83284,-0.1993093722756,0.151064079913592,0.187900653047981
65,1,83613,-0.170196145245161,0.151148195150101,0.260921280306838
66,1,84112,-0.167106766398012,0.15117467625199,0.269744047840208
68,1,84858,-0.00698660004430746,0.151863034252728,0.963331538838623
69,1,85751,-0.105607249920515,0.152384055710016,0.488744253704204
70,1,87445,-0.0720839555782428,0.152761865074545,0.637310121721391
71,1,87467,-0.121929179493427,0.153472857390794,0.427457174700807
72,1,89070,-0.0971066090588548,0.152561083549553,0.524856775010137
73,1,89616,-0.0515565779018383,0.151802634454194,0.734337909308934
74,1,89679,-0.0966556607417269,0.15175949009579,0.524602613467041
75,1,89880,-0.0850775214030682,0.151817619084351,0.575566925490761
76,1,91472,-0.0350741074878388,0.153001157029722,0.818814524217057
77,1,93789,-0.0447475605943272,0.15141736061152,0.767766887600982
78,1,94351,-0.0652045361601196,0.151794975599785,0.667780272724238
79,1,99148,-0.0501987197184228,0.151412518961585,0.74043629795105
82,1,106800,-0.118813090607351,0.151508443929225,0.433448011297242
83,1,107970,-0.0836349251920766,0.15112555892202,0.580330626916665
84,1,109000,-0.105486337783354,0.151353454672069,0.486290535638928
85,1,112549,-0.179414742053588,0.150984423441305,0.23551421061321
86,1,112742,-0.182688375889621,0.151563929693197,0.22887357271544
87,1,113050,-0.149090422089437,0.151412220152751,0.325462704706375
88,1,113135,-0.185600141783798,0.150910857691558,0.21956629688854
