SNP,Chr,Pos,Effect,SE,HNM1_MID2_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0448503277318955,0.147065041780817,0.760569239688127
9,1,27272,0.0116622116212832,0.144874210496996,0.935886105538797
16,1,27843,0.0780016881501295,0.141386793494109,0.581509788958808
17,1,27848,0.0780016881501295,0.141386793494109,0.581509788958808
18,1,28495,0.0735519702665375,0.141395840443833,0.603260836513279
19,1,28975,0.0545555367063343,0.140474503682493,0.697979235204999
26,1,31435,0.0307995407285924,0.14012265922906,0.826150746546349
29,1,36146,-0.0281234433079267,0.139401630843576,0.840233066538079
31,1,37409,0.0490606512927549,0.14013910980258,0.72648342227708
32,1,37478,0.0428525860076946,0.140265382999996,0.760157238480836
33,1,39144,-0.0114531790110167,0.139642443769776,0.934678969520821
34,1,41499,-0.099725481031855,0.139155240578211,0.474064494452453
37,1,51248,-0.259647217191995,0.1391646838932,0.0629048786267682
38,1,51462,-0.228860003403827,0.1395080350732,0.101796322143647
39,1,52124,-0.195014210308467,0.139463457883938,0.162895575097345
40,1,52667,-0.295707160946157,0.138735145051395,0.0337422969622989
42,1,59265,0.0201408169983964,0.139550491416632,0.885325111192598
43,1,60165,0.0419235286415615,0.139431298331175,0.763839216905012
44,1,62308,0.00900440541510575,0.139294963693102,0.948495060683256
45,1,62869,0.036897156816419,0.139264447238822,0.791207919591399
49,1,66841,0.0991496448018333,0.139243969223169,0.476899804489672
50,1,66948,0.0500625963738487,0.140173780825317,0.721195434692492
51,1,68621,-0.147260412569589,0.139599443505766,0.292202475460362
52,1,69417,-0.107557509341515,0.139331596031053,0.440658464554268
56,1,74327,-0.0532246287612485,0.140187212932221,0.70442002388179
57,1,74572,-0.0328047366239826,0.139831633088326,0.814653919042265
58,1,75211,-0.00207485782000871,0.139587569403183,0.988148916796017
59,1,76030,0.00385428652228689,0.139587462344636,0.977987228124982
60,1,80108,-0.0854986938198141,0.139480394756128,0.540284273019958
61,1,81262,-0.107787444900265,0.139383835851285,0.439854212044792
62,1,81999,-0.129593476734614,0.139672322948371,0.35412487888797
63,1,82431,-0.151112448902376,0.140274122137586,0.282097378427092
64,1,83284,-0.074059557194168,0.139426372346133,0.595632791590557
65,1,83613,-0.0390884983373342,0.139451192962668,0.779409734418275
66,1,84112,-0.0273838993947773,0.139474466241391,0.844459938433288
68,1,84858,0.0906293349991739,0.139792543409777,0.517203958745451
69,1,85751,0.0168587635522294,0.140447802189418,0.904523080859731
70,1,87445,0.0406242488465509,0.140730962169785,0.773006391465674
71,1,87467,-0.00544899012164585,0.141484094168372,0.969300363396333
72,1,89070,0.01590678820535,0.1405963358003,0.909985462476839
73,1,89616,0.0477608811347833,0.13981942695183,0.732862914011588
74,1,89679,0.0112477733015992,0.139858960914348,0.935947000200599
75,1,89880,0.0111223434117818,0.13989442702276,0.936675796064462
76,1,91472,0.0430344445893702,0.140915480689601,0.760247698912818
77,1,93789,0.000333629205523212,0.139482080276034,0.998092881329188
78,1,94351,-0.0389963862378771,0.139833770415573,0.78050272088224
79,1,99148,-0.0397945933003854,0.139465999036027,0.775554501777474
82,1,106800,-0.0932813668212705,0.13958195549121,0.504384580773618
83,1,107970,-0.0620925200326816,0.139217212399618,0.655862161822478
84,1,109000,-0.090253594281503,0.13941911843766,0.517823289821608
85,1,112549,-0.208640598301969,0.138900737372614,0.133969366838384
86,1,112742,-0.223341260076231,0.139380826903874,0.109965678344241
87,1,113050,-0.186942981606024,0.139296576342523,0.1804423074817
88,1,113135,-0.215610501502109,0.138822270770893,0.121285615069815
89,1,114076,-0.143358115285377,0.139086652524755,0.303382131591812
90,1,114628,-0.107186254787617,0.139531603196552,0.442890138352138
91,1,116283,-0.0971135127804821,0.140329730157083,0.489368372016591
93,1,127853,0.0131128233409341,0.140161697852509,0.925515758284789
94,1,128302,0.0801115432974321,0.139559925013663,0.566313269860069
95,1,128704,0.0114061807611268,0.139762714269649,0.935002272822211
96,1,128911,0.103105420247207,0.139671735223458,0.460884502943909
97,1,130267,0.0235006896299605,0.13970764439668,0.866511780422337
