SNP,Chr,Pos,Effect,SE,noPPI_reference_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0457132839259173,0.128763008178162,0.72278755141722
9,1,27272,-0.0492582528874703,0.126824824228176,0.697957148798158
16,1,27843,0.0910300538378778,0.123755752971631,0.462485614502594
17,1,27848,0.0910300538378778,0.123755752971631,0.462485614502594
18,1,28495,0.141663791205628,0.123622837325882,0.252598097623809
19,1,28975,0.137459399299692,0.122806941163955,0.263767697041733
26,1,31435,0.0661639912978923,0.122648183307329,0.589908452129958
29,1,36146,0.0204350926397569,0.122061197375058,0.867137989148423
31,1,37409,0.110287116858148,0.12258557569805,0.368906808731024
32,1,37478,0.0740584485388515,0.122768274719782,0.546737975161266
33,1,39144,0.0430142199325092,0.122249590146117,0.725156399447194
34,1,41499,0.0621432818301672,0.121887004001234,0.610479799381995
37,1,51248,0.0609042740002152,0.122407957038305,0.619109912734389
38,1,51462,0.0438095777723048,0.122594743120593,0.721041236654479
39,1,52124,0.105266789844575,0.122322625688003,0.390060790107262
40,1,52667,0.0795272871785875,0.1221813295505,0.51553734869161
42,1,59265,0.0242872508689462,0.122186115113859,0.842555069474491
43,1,60165,0.0309205298177711,0.122089524163684,0.800213866515123
44,1,62308,-0.0490537394278989,0.121938383719579,0.687719240394208
45,1,62869,-0.0360828685572327,0.121935890041125,0.767467683020801
49,1,66841,-0.060251941464615,0.121966335031818,0.621610115210733
50,1,66948,-0.0966641110507071,0.12264940575777,0.431147516905677
51,1,68621,-0.0196689936788413,0.122420239633197,0.872446937073224
52,1,69417,0.0322409062549871,0.12208855662463,0.79187389024894
56,1,74327,-0.0951704309534477,0.122667375062273,0.438362093200402
57,1,74572,-0.0921841927476146,0.122346715230083,0.451671671648396
58,1,75211,-0.0922225844018937,0.122123246933843,0.450656564152233
59,1,76030,0.0108414239448537,0.12222048918223,0.929367601002466
60,1,80108,0.0351630542161363,0.122178619586977,0.773668430632081
61,1,81262,-0.156356495917486,0.121862933508217,0.200315553282519
