SNP,Chr,Pos,Effect,SE,HNM1_ERG11_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.00412229412601217,0.0585723490771173,0.943931440803999
9,1,27272,-0.0721118189398636,0.0575653198884212,0.211145753348629
16,1,27843,0.0516403725454192,0.0562609923078982,0.35931273892525
17,1,27848,0.0516403725454192,0.0562609923078982,0.35931273892525
18,1,28495,0.0601614570028742,0.056237916170603,0.285455210018521
19,1,28975,0.0729981327194537,0.0558174158094194,0.191791493167592
26,1,31435,0.0506510756579429,0.0557390735552967,0.364119208293008
29,1,36146,0.0263326810701261,0.0554987858785346,0.635455951517472
31,1,37409,0.0763421763650331,0.0556685560470618,0.171130803094453
32,1,37478,0.0829439096724131,0.0556899264996952,0.137278097230987
33,1,39144,0.0279755674165441,0.0555897696761094,0.615102181288764
34,1,41499,0.0361721096161094,0.0554220291658538,0.514396015459541
37,1,51248,0.0153077907038705,0.0556855426984152,0.783556163650901
38,1,51462,0.0114144225380203,0.0557637116230141,0.837930225609692
39,1,52124,0.00982291010140094,0.0556890486906401,0.860089856249582
40,1,52667,-0.0213508668407705,0.0555906357458836,0.701155525405756
42,1,59265,0.0108371390890544,0.0555712062182683,0.845494519820955
43,1,60165,0.0321233298808591,0.0555058774033443,0.563135415441029
44,1,62308,-0.0355757549535188,0.0554388038402426,0.52147655175724
45,1,62869,-0.0442504887513522,0.055414135483915,0.42509321138162
49,1,66841,0.00917368435867394,0.0554881552248728,0.868781330129518
50,1,66948,0.0116384351868095,0.0558274174408091,0.834980932635506
51,1,68621,-0.00169669844395737,0.0556795336891666,0.975707390938824
52,1,69417,-0.00978454924400185,0.0555297620074773,0.860234959498991
56,1,74327,0.00646791410597425,0.0558364546763319,0.907847782295114
57,1,74572,-0.00461414942900909,0.0556883171070524,0.934012458056184
58,1,75211,0.00267319740894334,0.0555871607033407,0.961671556468483
59,1,76030,0.0374079916058166,0.055551674071411,0.501139275308467
60,1,80108,-0.0234670387701882,0.0555601619870863,0.673010891093081
61,1,81262,-0.0847578483121985,0.0553697203888305,0.12672392522939
62,1,81999,-0.0893342514134349,0.055485502781097,0.108281490658459
63,1,82431,-0.0639795729230674,0.0558487552128468,0.252742377985785
64,1,83284,-0.0842424928578889,0.0553640500807833,0.129002069010572
65,1,83613,-0.0953278073909254,0.0553069529712423,0.0856532451141217
66,1,84112,-0.101389029247259,0.0552825580146297,0.0674934453774767
68,1,84858,-0.102141542526429,0.0554361537842867,0.0662393510270261
69,1,85751,-0.0866159821926722,0.0557407162471159,0.12110226591303
70,1,87445,-0.0674985404819779,0.0559340124614721,0.228335320968245
71,1,87467,-0.0679098284133362,0.0562266314514638,0.227937537295574
72,1,89070,-0.063085728419336,0.0558892854944413,0.259764562862819
73,1,89616,-0.0634000432101182,0.0555865280780643,0.254824256476801
74,1,89679,-0.0579129164414183,0.0556105503640409,0.298401908615026
75,1,89880,-0.0642811183721088,0.0556048655312162,0.248449029184475
76,1,91472,-0.0806522189153664,0.0559591394089786,0.15039494120815
77,1,93789,-0.0723157249821178,0.0554118006796022,0.192722470857129
78,1,94351,-0.07509132794668,0.0555479055399574,0.177295223810221
79,1,99148,-0.0714093736096064,0.0554151304109837,0.198372072694724
82,1,106800,-0.102728072917625,0.0553508439786371,0.0642947171928358
83,1,107970,-0.107547196473616,0.0551592411951566,0.0519963415311777
84,1,109000,-0.0880690349911745,0.0553550792324636,0.112508324711247
85,1,112549,-0.0176778014891331,0.0554823259386307,0.75020280790972
86,1,112742,-0.0183271503908063,0.0556979526018369,0.742316568411987
87,1,113050,-0.0346351833677945,0.055582217886214,0.53359868759744
88,1,113135,-0.0324096602418993,0.0554443030408775,0.559227458725458
89,1,114076,-0.0204588643895129,0.0554604417645797,0.712430035812558
90,1,114628,-0.0136322453676554,0.0556067293466015,0.806479185428167
