SNP,Chr,Pos,Effect,SE,ERV25_EMP47_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0855157316506236,0.141545371069139,0.546126851625369
9,1,27272,0.0259039622682239,0.139484929204035,0.852777636262275
16,1,27843,-0.0546510180689734,0.136160252145695,0.688388556296395
17,1,27848,-0.0546510180689734,0.136160252145695,0.688388556296395
18,1,28495,-0.0534581361762483,0.136163799352109,0.694850656575395
19,1,28975,-0.0478092650020696,0.135259214118527,0.72395159925415
26,1,31435,-0.0418388324268346,0.13490634098653,0.75664325921818
29,1,36146,-0.172038728656561,0.13391630470295,0.199748773750837
31,1,37409,-0.0959513892116496,0.134858083189837,0.477244982892532
32,1,37478,-0.118431528539093,0.134923594549093,0.380666996194575
33,1,39144,-0.161171037242984,0.134180469225962,0.230497845263137
34,1,41499,-0.14748479737653,0.133851468964493,0.271275777233385
37,1,51248,-0.272375209362411,0.133869489373909,0.0426348042407526
38,1,51462,-0.260254719674672,0.134121340020309,0.0531219104178676
39,1,52124,-0.214335823233162,0.134168043916317,0.111045086935169
40,1,52667,-0.271573356153515,0.133657049782536,0.0429155873279465
42,1,59265,-0.0716867001399029,0.134314362540559,0.593868921152467
43,1,60165,-0.0380203930073574,0.134251757014332,0.777187849079341
44,1,62308,-0.115776994682654,0.133977705721208,0.388091645265227
45,1,62869,-0.15131885554521,0.133860430538494,0.259065667279562
49,1,66841,-0.0624308512842489,0.134124544736554,0.641882486680869
50,1,66948,-0.101978245953165,0.134879924215136,0.45011333105012
51,1,68621,-0.132431074067418,0.134438750281599,0.325266219996729
52,1,69417,-0.185936868261665,0.133901792958124,0.165828058526092
56,1,74327,-0.157816847553538,0.134743636794957,0.242293163583326
57,1,74572,-0.150997797669409,0.134405704334563,0.262010792983161
58,1,75211,-0.13008326433507,0.134221869360703,0.333125962208907
59,1,76030,-0.112464765231668,0.134266957855383,0.402810587918863
60,1,80108,-0.17735848609703,0.134036545151967,0.186621999731541
61,1,81262,-0.14196877183395,0.134105035908426,0.29048824906811
62,1,81999,-0.217368147623671,0.134147806294362,0.106047237227843
