SNP,Chr,Pos,Effect,SE,SSH1_ERV25_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0263197099993073,0.171629584203847,0.878208457884583
9,1,27272,0.112996353192818,0.168950717730167,0.504052219676818
16,1,27843,-0.00727952619602919,0.165057307388174,0.964847220060349
17,1,27848,-0.00727952619602919,0.165057307388174,0.964847220060349
18,1,28495,0.0277592054900469,0.165053822077227,0.866535828683999
19,1,28975,0.0182458427992192,0.163954224144064,0.911452645237469
26,1,31435,-0.0265513877262035,0.163516593358834,0.871101629961501
29,1,36146,-0.102071100275368,0.162588770065829,0.530549447420571
31,1,37409,-0.0167336047009583,0.163556668268871,0.918568118762674
32,1,37478,-0.0262425986615705,0.16369373622844,0.872724462369188
33,1,39144,-0.020478695742486,0.162949046397748,0.900060375359123
34,1,41499,-0.0948087687679097,0.162422328659927,0.559783117869017
37,1,51248,-0.293938713716785,0.162440734850511,0.071221706725871
38,1,51462,-0.279077404297003,0.162737183958945,0.0872418499278643
39,1,52124,-0.215595570652916,0.162788439261793,0.186229987623983
40,1,52667,-0.367419944458128,0.161752987537772,0.0237188998990967
42,1,59265,-0.0367942421917349,0.162836867229582,0.821365099668474
43,1,60165,-0.0195714473231955,0.162722249296833,0.904333593388154
44,1,62308,-0.0567184430933584,0.162518585639292,0.727299895937937
45,1,62869,-0.0596821879140146,0.162495159723339,0.713625829497814
49,1,66841,-0.106458037400749,0.16250404827684,0.512823558795496
50,1,66948,-0.156889140234819,0.163387470213838,0.337597975201356
51,1,68621,-0.379501298882641,0.161902387984738,0.0196315096813355
52,1,69417,-0.274781426003841,0.162067025673695,0.0908661384152064
56,1,74327,-0.107152489711514,0.163520811749989,0.512712040574425
57,1,74572,-0.0812406315917086,0.163127329423226,0.618780240526492
58,1,75211,-0.101570356723336,0.162797421256154,0.533092005809013
59,1,76030,-0.0289738843722233,0.162879856147796,0.858915319685257
60,1,80108,-0.129566410375693,0.16270256290053,0.426370194050116
61,1,81262,-0.133334327470224,0.162632315794948,0.412854058034879
62,1,81999,-0.190989168783194,0.162867703103422,0.24172111748293
63,1,82431,-0.187427321854116,0.163653338251608,0.2528730329526
64,1,83284,-0.12791919774865,0.162621547771548,0.432039889365107
65,1,83613,-0.118265756345083,0.162624297004338,0.46756525160038
66,1,84112,-0.163214758169851,0.162532021661043,0.315969773361816
68,1,84858,-0.0507067831737315,0.163201065782132,0.756211085431038
69,1,85751,-0.153985104464736,0.163689219902713,0.347493590521616
70,1,87445,-0.127224558732544,0.164101081381348,0.438692284821859
71,1,87467,-0.196621828907317,0.164768532203856,0.233544886467061
72,1,89070,-0.153926885365317,0.163862547461562,0.348185240509149
73,1,89616,-0.0875540264107166,0.163118075997801,0.591776743753949
74,1,89679,-0.121771266281595,0.163076549275145,0.455734274075892
75,1,89880,-0.103565783046758,0.163153553326742,0.525986421478239
76,1,91472,-0.0332207465714649,0.164448883171122,0.840023241552018
77,1,93789,-0.035761512963369,0.162752879884702,0.826209294212736
78,1,94351,-0.0962634171158511,0.163111925783975,0.555455708853464
79,1,99148,-0.0450830075676156,0.162746321279189,0.781931504956848
82,1,106800,0.0152046773841676,0.162981550261106,0.925725474825104
83,1,107970,0.0437338688247637,0.162484024810342,0.787965380116463
84,1,109000,0.0588642629818273,0.162756926118589,0.717815192879775
85,1,112549,-0.0299539302056241,0.162594986578455,0.853943364688765
86,1,112742,-0.0104727054156246,0.163235351516806,0.94888145777875
87,1,113050,0.0489309483077119,0.162940881457426,0.764126032197974
88,1,113135,0.00288726325615543,0.162546548180816,0.98583820776071
89,1,114076,0.0944903783370996,0.162468799877661,0.561213458578172
90,1,114628,0.12802658880619,0.16281530382535,0.432201606275238
91,1,116283,0.101223820295518,0.163775598047152,0.536931624926071
