SNP,Chr,Pos,Effect,SE,ADE17_HYR1_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.221687361561706,0.147437589063318,0.133578147684494
9,1,27272,0.00209357595448623,0.145687673706491,0.988542670282716
16,1,27843,-0.0898296741359316,0.142160315614205,0.527867801760291
17,1,27848,-0.0898296741359316,0.142160315614205,0.527867801760291
18,1,28495,-0.0178825123914549,0.142239811735545,0.900024454479729
19,1,28975,-0.0714789153371227,0.141240954597129,0.613117912764297
26,1,31435,-0.0410941358444384,0.140900857803698,0.77072338067501
29,1,36146,-0.0406560307411224,0.140174500023362,0.77195692324358
31,1,37409,0.103642603479447,0.140841207326037,0.462290792988245
32,1,37478,0.0737740268968294,0.141015703347292,0.60118990489826
33,1,39144,0.0618500107876419,0.140388030066888,0.659797826480015
34,1,41499,0.0784713455958459,0.13997481117852,0.575418745707003
37,1,51248,0.000832793768195287,0.140633164673021,0.995278503638491
38,1,51462,-0.0257580365621079,0.140817197859428,0.854967166948456
39,1,52124,-0.0773798466713602,0.140572852342805,0.582351509198464
40,1,52667,-0.10813191889294,0.140289784672395,0.441355626471749
42,1,59265,0.0693849281815785,0.140288356360135,0.621198686022183
43,1,60165,0.0251895737641747,0.140224498235923,0.857540257731859
44,1,62308,-0.246611371150075,0.139460355678065,0.0778700772541861
45,1,62869,-0.273236932370742,0.139302017165394,0.0506096799092289
49,1,66841,-0.227525646465433,0.13960083146543,0.104029351231724
50,1,66948,-0.233016914957831,0.140438501367783,0.097961695343226
51,1,68621,-0.269621051716047,0.139868882949864,0.0546982070707364
52,1,69417,-0.220829484535237,0.139737471882761,0.114929905550959
56,1,74327,-0.103428347474898,0.140894384811398,0.463384699035474
57,1,74572,-0.0538665702692861,0.140597265637383,0.701856415411854
58,1,75211,-0.0151888800505166,0.140367816958039,0.913892407241762
59,1,76030,0.0405294444076988,0.14035356862274,0.772929373216496
60,1,80108,-0.0413018488758146,0.140319737272933,0.768670368473379
61,1,81262,-0.054197178793763,0.140254240344158,0.699417740132788
62,1,81999,-0.0879033213441997,0.140548644442189,0.532093074632894
63,1,82431,-0.101220449962946,0.141189435530606,0.473902252244478
64,1,83284,-0.0158591483803727,0.140261481748417,0.91004056106589
65,1,83613,-0.017848091848967,0.140245348158413,0.89880443486439
66,1,84112,-0.0723630010614514,0.140211132785576,0.606107511276185
68,1,84858,0.0231907028911815,0.140654474019009,0.869135085340129
69,1,85751,-0.020437237184784,0.141233849824422,0.885026412684018
70,1,87445,-0.0569782394435978,0.141504112689144,0.687441093619162
71,1,87467,-0.0485442280846581,0.142254094373563,0.733118318760533
72,1,89070,-0.145492615370852,0.141174862398613,0.303441330278338
73,1,89616,-0.0390200960342991,0.14061115792219,0.781555922693597
74,1,89679,-0.0969724218644611,0.140549566173923,0.490677853944112
75,1,89880,-0.0744412522166044,0.140624132955101,0.596886201743482
76,1,91472,-0.117441873362081,0.141586260861047,0.40739778975513
77,1,93789,-0.0258354927845323,0.14025728111221,0.853961761062881
78,1,94351,-0.00243757835139798,0.140633111813705,0.986180838937815
79,1,99148,-0.071743753335912,0.140212034274016,0.609194617882922
82,1,106800,-0.155531518511287,0.140209059555661,0.268063274706699
83,1,107970,-0.119730715619603,0.139892035147304,0.392645047440504
84,1,109000,-0.0238677587494249,0.140278149398549,0.864992830221568
85,1,112549,-0.149787378657583,0.139898122467397,0.285040809712906
86,1,112742,-0.212514739578785,0.140215543582514,0.130508117389821
87,1,113050,-0.213154928552763,0.13997536707315,0.128703263347576
88,1,113135,-0.254599398300904,0.139419686276132,0.0686742349629906
89,1,114076,-0.147081963525801,0.139857762820338,0.293677736485803
90,1,114628,-0.12728652919987,0.140267541243599,0.364785110422505
91,1,116283,-0.160620784486863,0.140953101276034,0.255253340998096
93,1,127853,-0.235212781477093,0.140392120451067,0.0947415429193085
94,1,128302,-0.193372404359658,0.140030061375452,0.16817258391422
95,1,128704,-0.183415503724322,0.140208109059235,0.191668133712139
96,1,128911,-0.148572142722925,0.140340499890632,0.2904808972927
97,1,130267,-0.279134836514949,0.139708750184606,0.0464860150294558
98,1,130271,-0.281272672244618,0.139864307735541,0.0450811222369539
99,1,130613,-0.225403059480668,0.141469945255258,0.111989478174862
100,1,132012,-0.231039150249992,0.141141685066185,0.102536105770527
101,1,133231,-0.199066997921959,0.140271444383318,0.156736052327727
102,1,137074,-0.217391163773827,0.139993620134449,0.12135149967804
103,1,137304,-0.221368237691319,0.140024961741542,0.114791936221934
104,1,139686,-0.108821243552952,0.140585192771545,0.439413960254617
105,1,149562,-0.145095121142751,0.140813841711739,0.3035259492478
106,1,150447,-0.0903154709839165,0.142508688755146,0.526651710239015
108,1,154084,-0.0901928983916873,0.142949685829156,0.528487022918489
110,1,157269,-0.175591463225077,0.140123055563865,0.210990249200434
111,1,160054,-0.216212999596819,0.141300779978527,0.126872392149411
112,1,166222,-0.221795985124364,0.140224025844232,0.114607672086623
113,1,166416,-0.207004281352776,0.140001515034007,0.140142733116038
114,1,167326,-0.213295805315321,0.140775388926434,0.130629358539814
115,1,168836,-0.244555764705569,0.139959141099744,0.0814485032932958
116,1,171200,-0.211934246462982,0.140320948897432,0.131847819788429
117,1,171431,-0.212346002298318,0.141200871605821,0.133512169348065
118,1,173339,-0.169220288425198,0.140262009367314,0.228448682445939
119,1,173845,-0.104937706744932,0.140323266976057,0.455061639405813
120,1,175121,-0.201524686725043,0.139744901450413,0.15016367259576
121,1,175281,-0.161688644341525,0.140010834321996,0.248941391124232
122,1,175315,-0.170289561629017,0.13993769532743,0.224456905541948
123,1,175523,-0.1608335853463,0.14076540136584,0.253993700087461
124,1,175541,-0.166456884210476,0.140170184315431,0.235815440697795
125,1,175653,-0.191945279622231,0.140523449048577,0.172830347914697
128,1,175856,-0.163120260327424,0.142956924774018,0.254624765035843
129,1,175876,-0.1680360242482,0.14074156503122,0.233305809265187
130,1,175989,-0.198689417960342,0.141031887261758,0.159766786508614
131,1,176001,-0.184535103171303,0.141825063876568,0.194057136142845
133,1,177692,-0.221526731306795,0.139734345472973,0.113784025320474
134,1,178191,-0.259162430521018,0.139690758442415,0.0643928235693534
135,1,178224,-0.221526731306795,0.139734345472973,0.113784025320474
136,1,178960,-0.266187889881477,0.140639093233503,0.059215378522808
140,1,183802,-0.255018987224365,0.139590206922142,0.0685573121718612
141,1,183954,-0.245226530583305,0.140665372922581,0.0821461788177184
142,1,184450,-0.220856615059272,0.13953845551527,0.114370477238929
144,1,184718,-0.231698121484177,0.14028735648146,0.0995060577537785
145,1,185296,-0.25613649762291,0.139566668564186,0.0673132781309644
146,1,185438,-0.246248636810106,0.139623723714339,0.0786544284749166
147,1,185469,-0.24225029560821,0.139846787282869,0.0841016591081966
148,1,185503,-0.21949099529118,0.139588683781144,0.116750747831343
149,1,185705,-0.257346764277357,0.140978402029382,0.0687803761220128
150,1,185749,-0.259081015411705,0.140969403362832,0.0669243019689967
151,1,185806,-0.307900372870702,0.140881417431618,0.0295067847595136
152,1,185879,-0.28797613648293,0.141690096711822,0.0428576325808571
153,1,185916,-0.236384710736795,0.141895202160581,0.0966183357244282
154,1,185941,-0.214054245789242,0.142618099491512,0.134277611839131
155,1,185954,-0.244420888300638,0.142899327422654,0.0880629451386266
