SNP,Chr,Pos,Effect,SE,ERG11_ERV25_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.240220116648199,0.101356885856411,0.0183230010424711
9,1,27272,0.168001991157793,0.100227825368387,0.0945841883800912
16,1,27843,-0.318781858013351,0.096768858350148,0.00108675796158414
17,1,27848,-0.318781858013351,0.096768858350148,0.00108675796158414
18,1,28495,-0.262787720277997,0.0972459520535496,0.00721879313330639
19,1,28975,-0.292956296583146,0.0963362294320062,0.00253439300803437
26,1,31435,-0.220666320127201,0.0966201496534971,0.0229734872134644
29,1,36146,-0.122375386936721,0.0966101737429934,0.206100387192333
31,1,37409,-0.13761229179748,0.097077116396989,0.157202359443373
32,1,37478,-0.144915050284426,0.0971309598528541,0.136603986495604
33,1,39144,-0.139409577213222,0.0967078546640025,0.150314804052395
34,1,41499,-0.0392430143515272,0.0967005025235214,0.685120610534417
37,1,51248,-0.025279968701734,0.0971254360916643,0.794798281866301
38,1,51462,-0.0223820646603377,0.0972591757544355,0.818125566157316
39,1,52124,0.0684264992396896,0.0970664554286319,0.481309408090901
40,1,52667,0.0377652754664835,0.0969582512276497,0.697140907311442
42,1,59265,-0.11938334333279,0.0967216675069885,0.217913007770302
43,1,60165,-0.044853289587801,0.0968274881869304,0.643485773611735
44,1,62308,-0.0874128579103911,0.0966384624085062,0.366328761068492
45,1,62869,-0.0764246739904377,0.0966526832043171,0.429641541491955
49,1,66841,-0.0646997680344904,0.0967225498372771,0.503982935773131
50,1,66948,-0.0679996087722544,0.0973105241601656,0.48514348450247
51,1,68621,-0.0757385109877396,0.0970303056472054,0.435581182811523
52,1,69417,-0.0713417144879097,0.0967824541137587,0.461530033697269
56,1,74327,0.0560823949778098,0.0973436704309259,0.564895931826167
57,1,74572,0.0769514577453143,0.0970437528175729,0.428335893749775
58,1,75211,0.0860649620851306,0.0968448089384569,0.374775156418231
59,1,76030,0.0588887892419253,0.0969024069617693,0.543769022102164
60,1,80108,-0.000471580162114377,0.0969301571083933,0.99612093210997
61,1,81262,-0.080526674779902,0.0967986758474898,0.406028629039045
62,1,81999,-0.100935242905644,0.0969814613836291,0.298695333955569
63,1,82431,-0.0596989155827807,0.0975381907320072,0.540894180187019
64,1,83284,-0.0604034556492752,0.0968264265078176,0.533140610122036
65,1,83613,-0.0612459114655995,0.0968142457087501,0.527396214453107
66,1,84112,-0.0303173901555423,0.0968663459409883,0.754479422544142
68,1,84858,-0.0150166021382133,0.097149922070438,0.877247533992639
69,1,85751,-0.00124634816890821,0.0975525122465024,0.989813580408502
70,1,87445,-0.00587553183064847,0.0977582538663643,0.95210787693654
71,1,87467,-0.0123977621245745,0.0982683101446518,0.899675229857152
72,1,89070,-0.0138121576313249,0.0976527140073664,0.88760176371437
73,1,89616,-0.0436056926087548,0.097102411207927,0.65365737626105
74,1,89679,-0.0259739153600486,0.0971326061055143,0.789312160671447
75,1,89880,-0.0401666874109406,0.0971435359592119,0.67950771784559
76,1,91472,0.0021872867427822,0.0978882379169833,0.98218558944406
77,1,93789,-0.0416155843865465,0.0968544612996323,0.667696898345872
78,1,94351,-0.0219512372536555,0.0971277288853905,0.821329252274359
79,1,99148,0.00667136117879553,0.0968791344997205,0.945137879917627
82,1,106800,0.0892419066980873,0.0968941125477367,0.35766634224517
83,1,107970,0.0791584431167851,0.0966312524963128,0.413236112574198
84,1,109000,0.154247585415691,0.0965450834041522,0.111010230419096
85,1,112549,0.191841320557607,0.0962437121173374,0.0469993612620864
86,1,112742,0.20351158470051,0.0965552296704845,0.0357596867998887
87,1,113050,0.248018511698709,0.0960949890739428,0.0102552113347993
88,1,113135,0.211605222774341,0.0960926217569345,0.0283046667464119
89,1,114076,0.15158739429411,0.0964133951043359,0.116784977356063
90,1,114628,0.180318250000063,0.0965191702395436,0.0625607932197281
91,1,116283,0.246919412937146,0.0966451595792883,0.0110404730576924
93,1,127853,0.131377884236393,0.0971015819658696,0.176923341851715
94,1,128302,0.0314723688946555,0.0969646161020343,0.745694391814191
95,1,128704,0.0197713503885422,0.0970699157236797,0.838719731158118
96,1,128911,0.00963683442633098,0.0970850086723438,0.920986738164771
97,1,130267,0.00189318913970321,0.0970402907674969,0.984445832331998
98,1,130271,0.00799398184072168,0.0971545855914225,0.934469853749476
99,1,130613,0.0269083878181175,0.0980529714955315,0.783916984358253
100,1,132012,-0.0295528890631373,0.0978426384581886,0.762795562430792
101,1,133231,-0.134423055606157,0.0968971224574856,0.166232826809034
