SNP,Chr,Pos,Effect,SE,FMP45_HNM1_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0263947564319362,0.0569199722787915,0.643136349118212
9,1,27272,-0.0760049741786564,0.0559361473243718,0.175083571079979
16,1,27843,0.0647840250561575,0.0546466348172145,0.23661405527503
17,1,27848,0.0647840250561575,0.0546466348172145,0.23661405527503
18,1,28495,0.0887406234593832,0.0545521102078629,0.104690367801548
19,1,28975,0.0840824519070317,0.0542057580594221,0.121756532896534
26,1,31435,0.0503573006277665,0.0541798239816672,0.353292369754567
29,1,36146,0.0645208662422787,0.0538569894388339,0.23171936462743
31,1,37409,0.0781375267652711,0.0540985310470205,0.149525904452617
32,1,37478,0.0657679755235953,0.0541918566870153,0.225706687112672
33,1,39144,0.0129806638862783,0.0540525722700486,0.810354250187238
34,1,41499,0.0297003819422442,0.0538838625697371,0.581850407568067
37,1,51248,0.075170769988942,0.0539884526110756,0.164693185540176
38,1,51462,0.0614394597697192,0.0541111879500106,0.256965571627241
39,1,52124,0.0503982867676468,0.0540700016258971,0.351925360876476
40,1,52667,0.00424398673432871,0.0540492658034596,0.937458347043414
42,1,59265,0.00639154554791616,0.0540213998324038,0.905885315078942
43,1,60165,0.00551541646129891,0.0539808497228044,0.918676915005058
44,1,62308,0.0352393121713071,0.053889650158048,0.513591588226685
45,1,62869,0.023241195584605,0.0539013150266604,0.666600325379707
49,1,66841,0.0544160922295389,0.0538631055704045,0.313059593133887
50,1,66948,0.056014407623518,0.0541900094129823,0.301999639504298
51,1,68621,0.074344039270155,0.0539801007237136,0.169307941222145
52,1,69417,0.0597576010861731,0.0538878673459963,0.268217477510863
56,1,74327,-0.0409074150327226,0.0542347485184249,0.451192500388307
57,1,74572,-0.0504329748169504,0.0540673364757483,0.351570696412355
58,1,75211,-0.0565340450928027,0.0539514025042217,0.295415524569692
59,1,76030,-0.0517035180592563,0.0539651274249723,0.338672454639379
60,1,80108,-0.104212671314145,0.0537369677165754,0.0532600213669251
61,1,81262,-0.0944796462621638,0.0537674056568389,0.0797519831882967
62,1,81999,-0.0956020383942371,0.0538942535994599,0.0769446902240548
63,1,82431,-0.0749197655537566,0.0542438140865223,0.168101298867924
64,1,83284,-0.117409268332597,0.0536315569331168,0.0292379417767931
65,1,83613,-0.101208883122677,0.0537190334772485,0.060380978169062
66,1,84112,-0.104764077483766,0.0537057036845375,0.0518829030790954
68,1,84858,-0.0941403090013054,0.0539144532511159,0.0816625764057454
