SNP,Chr,Pos,Effect,SE,SRO9_DHH1_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.085704332182291,0.161573722334854,0.596143988263453
9,1,27272,-0.0538108386179981,0.159184900629208,0.735534110867656
16,1,27843,-0.0372231087371101,0.155431056639259,0.810870002651811
17,1,27848,-0.0372231087371101,0.155431056639259,0.810870002651811
18,1,28495,-0.0477722077879543,0.155425402818512,0.758747410923892
19,1,28975,-0.000974257115184646,0.154407121967469,0.994969213855304
26,1,31435,-0.079681014528591,0.153939624865205,0.605053141225655
29,1,36146,-0.2034946302716,0.152820622296458,0.183853692738945
31,1,37409,-0.175082720449527,0.153750164154997,0.255580403660442
32,1,37478,-0.13862319844148,0.15398806158115,0.368616674212514
33,1,39144,-0.0617715369185425,0.153426003040901,0.687475528432431
34,1,41499,-0.000790357672505383,0.153035552660396,0.995882231858748
37,1,51248,-0.0561122999461111,0.153657927598466,0.715198183462493
38,1,51462,-0.06057133664342,0.153861577940388,0.694059254767803
39,1,52124,-0.0464157039146243,0.153667091685013,0.762789056583886
40,1,52667,-0.0538423774377736,0.153413881370416,0.725826536275769
42,1,59265,-0.0480615710410992,0.15334190207724,0.754140998328484
43,1,60165,-0.0554068073426745,0.153218968664755,0.717853521291464
44,1,62308,-0.0169526504140822,0.153076147902039,0.911880294242248
45,1,62869,-0.0653045693149674,0.153020109996645,0.669806175307976
49,1,66841,-0.0232026450762349,0.153126736712162,0.87964755046065
50,1,66948,-0.024675807898353,0.154065906146991,0.872843517009366
51,1,68621,-0.158595226694354,0.153422082625491,0.301975500907493
52,1,69417,-0.155376642707791,0.153024044989787,0.310622990337712
56,1,74327,-0.172039579261735,0.153817579370148,0.264128993040317
57,1,74572,-0.164258408152394,0.15343077418297,0.285094184993549
58,1,75211,-0.246589192709181,0.152837015490439,0.107548412769428
59,1,76030,-0.0215457564007172,0.15339522105736,0.888377369102176
60,1,80108,-0.0218867655947328,0.153358813159605,0.886595857035921
61,1,81262,0.0172302934646413,0.153302515770006,0.910574843576957
62,1,81999,-0.0300463661490257,0.15367133088286,0.845095589199317
63,1,82431,-0.0839963085991514,0.15434239563746,0.586633272102655
64,1,83284,-0.0222571368199332,0.153278956051099,0.88463052229111
65,1,83613,0.0524513479752923,0.153241215735393,0.732344156961814
66,1,84112,0.00620056666473512,0.153283178450626,0.967755874184595
68,1,84858,-0.0209103682124374,0.153712117895294,0.891870434712297
69,1,85751,-0.033064709330539,0.154337927295651,0.830486877061571
70,1,87445,0.00655435173410795,0.15467384788104,0.9662234712337
71,1,87467,-0.0374929364274945,0.155471161625538,0.80957356063298
72,1,89070,0.0348449830407528,0.154499711539468,0.821694166151034
73,1,89616,-0.00861040590200386,0.15367896853989,0.955350781882859
74,1,89679,0.0158070169165365,0.153696810038956,0.918144035395381
75,1,89880,0.0189154894132991,0.153734760005166,0.902145627568125
76,1,91472,0.0510274675342311,0.154855406016403,0.741960486487451
77,1,93789,-0.00706389942127292,0.153283072630336,0.963269345850868
78,1,94351,-0.0829601698097211,0.153623505291229,0.589521934181445
79,1,99148,-0.0307057769668107,0.15327482103316,0.841336681285945
82,1,106800,-0.0830801715851342,0.153426586687672,0.588506047089718
83,1,107970,-0.0745245328099085,0.152984145266529,0.626462234195021
84,1,109000,-0.000733290800743497,0.153305253810846,0.996186269277439
85,1,112549,-0.0464080554823779,0.153111793955629,0.761992841803003
86,1,112742,-0.103778722895796,0.153629052284238,0.499790914263079
87,1,113050,-0.100382251181021,0.153376673784257,0.513227594970569
88,1,113135,-0.0896406581941567,0.153004437489654,0.558337491330631
89,1,114076,0.137408263326822,0.152904002104965,0.369447907518176
90,1,114628,0.229966188006239,0.152977188550998,0.133663232284593
91,1,116283,0.232367121365557,0.153823242738995,0.131782133536881
93,1,127853,0.0598495915014497,0.153999364137399,0.697780234554584
94,1,128302,0.122299380333981,0.153302511294118,0.4255431817546
95,1,128704,0.0790072541735777,0.153535808021323,0.607164936294542
96,1,128911,0.128530061604635,0.153457977571593,0.402845308110182
97,1,130267,0.155283329642455,0.153314958637901,0.311830909382335
98,1,130271,0.143380276525721,0.15353025298273,0.350999301521185
99,1,130613,0.162140204518086,0.154916117544665,0.295985343100371
100,1,132012,0.00319105540098907,0.154826873602279,0.983568029211453
101,1,133231,-0.113233322615466,0.153610134264447,0.461522333319097
102,1,137074,-0.00162387583615106,0.153509660098195,0.991565847007915
103,1,137304,-0.120916545968309,0.153428123679691,0.431167713949856
104,1,139686,-0.044544977522688,0.153746568186642,0.772192984855407
105,1,149562,-0.113871111636715,0.153996418721831,0.460131290881525
106,1,150447,-0.0643053576759122,0.155787534899615,0.680021321527494
108,1,154084,-0.0281845472386884,0.156299347579287,0.857001571752485
110,1,157269,-0.161461695343915,0.153228904946032,0.292727855071856
111,1,160054,-0.0888548795834088,0.154855590724315,0.566474044939907
112,1,166222,-0.123880387499723,0.153640488906024,0.420612517208917
113,1,166416,-0.0885273334656107,0.153397354198922,0.564232191413679
114,1,167326,-0.111506502070557,0.154227651639847,0.470159002443948
115,1,168836,-0.118468696964149,0.153480913959951,0.440702508203143
116,1,171200,-0.11837740232973,0.153711349314384,0.441739087336303
117,1,171431,-0.206078307958251,0.154411785294818,0.182866764496033
118,1,173339,-0.166134031525658,0.153342289978752,0.279361706582438
119,1,173845,-0.18400649199195,0.153156891921867,0.230391893007987
120,1,175121,-0.185410594272158,0.152847174448754,0.22592349385216
121,1,175281,-0.189055155584687,0.152964995687429,0.217303646271225
122,1,175315,-0.195093142620299,0.152895148788876,0.202796921295795
123,1,175523,-0.178274641257419,0.153823262479357,0.247256857369059
124,1,175541,-0.192614823784019,0.153143901536201,0.209318097007867
125,1,175653,-0.197445514335657,0.153613293701573,0.199515669417383
128,1,175856,-0.208313069344343,0.156121032596246,0.182964020337708
129,1,175876,-0.191517440114139,0.153778162707907,0.213805738412978
130,1,175989,-0.162423390545465,0.154313391710684,0.293264771996976
131,1,176001,-0.169595226643399,0.155098241716845,0.274933251165212
133,1,177692,-0.206842026739674,0.152851394929435,0.176850341709634
134,1,178191,-0.200717439445229,0.153027056577171,0.19049177348075
135,1,178224,-0.206842026739674,0.152851394929435,0.176850341709634
136,1,178960,-0.218049045284863,0.154034722380991,0.157779070904695
140,1,183802,-0.140158987505083,0.153084987993141,0.360521028123199
141,1,183954,-0.108284511624696,0.154274851021156,0.483208109319667
142,1,184450,-0.0478426656532142,0.153009567905384,0.75471024545097
144,1,184718,-0.0962349957187073,0.153814975151148,0.531946021144501
145,1,185296,-0.0353910043787986,0.153235768590204,0.817481346327519
146,1,185438,-0.0471593462193456,0.153234024973714,0.758446252513538
147,1,185469,-0.0566241099231105,0.153446164804722,0.712336936654191
148,1,185503,-0.0577103652179296,0.153047987225992,0.70634544173219
149,1,185705,-0.0392341206448316,0.154775588504743,0.800036874675414
150,1,185749,-0.0503461389297352,0.154766478662003,0.745143803245045
151,1,185806,-0.128969835433481,0.154844284862593,0.405464179741025
152,1,185879,-0.0725597348820405,0.155697433627557,0.641481180172186
153,1,185916,-0.0326285910187457,0.155664801220333,0.834094535323463
154,1,185941,-0.0450748737917656,0.156334221594014,0.77326812509703
155,1,185954,-0.042513943121966,0.156792919228589,0.786436394991152
156,1,186055,-0.0474190600125212,0.153658925931208,0.757808277132925
157,1,186896,-0.0723374557933746,0.15615172080781,0.64346987191988
161,1,190132,0.0955104713756248,0.153790599263206,0.534972574141038
162,1,190148,0.111820455749877,0.153805893952624,0.467693593283498
163,1,190165,0.0933696946575059,0.155024132956036,0.547366892690578
164,1,190169,0.130416435372523,0.154754753522786,0.399950229211836
165,1,190933,0.0155293357094866,0.153651897651001,0.91955362404169
166,1,192149,0.201891369832548,0.154537207588863,0.192258402303995
168,1,192303,0.140499665486326,0.184524947386687,0.446918879225422
171,1,192795,0.159089872363904,0.153129305007961,0.299550679484485
173,1,194187,0.146315673200549,0.153292609501579,0.340490771133989
174,1,194867,-0.0515884362259333,0.153382189828136,0.736814970977614
190,2,8314,0.310055630203719,0.155128880900603,0.0464076010812626
194,2,8498,0.259087819527474,0.155164144893397,0.0958521340029272
195,2,8651,0.265070257671404,0.155281971926052,0.0886967082894222
197,2,9812,0.258417535436607,0.156243793904575,0.0990290404890345
198,2,9932,0.206887191406246,0.155841289748415,0.18518450378233
199,2,10135,0.24856852159802,0.155068180580781,0.109837239012577
200,2,11616,0.266499274344639,0.154817917485929,0.0860594123963959
201,2,12133,0.294230648576069,0.155296781817699,0.058957854913027
202,2,12194,0.275455634093376,0.156000538446525,0.0783047094067262
203,2,12359,0.254720849676593,0.155640473137851,0.102605728490845
204,2,13061,0.254694913859226,0.155629052542385,0.102615467751608
205,2,14298,0.247871838531972,0.156154839342314,0.113329476734329
206,2,15222,0.210556421024122,0.157841973554028,0.183073746014311
207,2,17986,0.295410747242639,0.154669214498563,0.0569496154483692
208,2,19770,0.294340507294712,0.155755339088857,0.0596089522700042
