SNP,Chr,Pos,Effect,SE,DHH1_LSM3_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0197709438144362,0.06294776811398,0.753642087363164
9,1,27272,-0.00665149869141901,0.0620100878772979,0.914639857901845
16,1,27843,0.0620507241678419,0.0604537486533535,0.30539813400662
17,1,27848,0.0620507241678419,0.0604537486533535,0.30539813400662
18,1,28495,0.0758002253860806,0.0604103060555899,0.210397268811793
19,1,28975,0.0681458530893068,0.0600306937499334,0.257068627620182
26,1,31435,0.047337801364902,0.0599278855454205,0.43010900840727
29,1,36146,0.0226088897301508,0.0596594052237941,0.704940905901532
31,1,37409,0.00466377463445447,0.0599936620461013,0.93808067788093
32,1,37478,-0.00151775821764921,0.0600456946288346,0.979848525349189
33,1,39144,-0.0390261869559133,0.0597356419713325,0.513978563804342
34,1,41499,-0.045164511704975,0.059557458615247,0.448756387479368
37,1,51248,0.0252148729454065,0.0598446156975154,0.673763962574724
38,1,51462,0.0267821005498147,0.0599238800765399,0.655195820577596
39,1,52124,0.00759076522622543,0.0598582985359867,0.899161205406222
40,1,52667,-0.0202142576695097,0.0597540436132529,0.735344983689966
42,1,59265,-0.0200254115864066,0.0597240694996,0.737598835454006
43,1,60165,-0.0198891500967012,0.0596790526642596,0.739129451083713
44,1,62308,-0.00943519572465196,0.0596206814512717,0.87434735136247
45,1,62869,-0.0223411611199935,0.059603447741101,0.708011979552322
49,1,66841,0.025907219223097,0.059627462455129,0.664201979036557
50,1,66948,0.0325027607932234,0.0599845021498877,0.588261874361945
51,1,68621,0.0459207082380242,0.0597969468345357,0.443033831141946
52,1,69417,0.0455357118326056,0.0596392153236875,0.445663543224379
56,1,74327,0.0434465188710551,0.0599720380903816,0.469271680697732
57,1,74572,0.0143919654126252,0.059851918268879,0.810113603117125
58,1,75211,0.0779713763383778,0.059603405271028,0.191666891892132
59,1,76030,0.0748514744432432,0.0596147348086782,0.210096281380631
60,1,80108,-0.0271696864090894,0.0597160724474683,0.649402499192231
61,1,81262,-0.0455370659672333,0.0596617875804933,0.445822030558447
62,1,81999,-0.0478327453106405,0.0598026536325712,0.424339564246077
63,1,82431,-0.0575862342272514,0.0600620123979474,0.338325983570128
64,1,83284,-0.0305820362959401,0.0596803424930774,0.608670120120868
65,1,83613,-0.031412782712562,0.0596725387272423,0.598927427304351
66,1,84112,-0.0360116983685172,0.059671760236649,0.546566025494451
68,1,84858,0.00066429986593991,0.0598710239564252,0.991153509190214
69,1,85751,-0.0303546255963026,0.0600954067030658,0.613798709345242
70,1,87445,-0.0198133543933385,0.0602349727896361,0.742400335783849
71,1,87467,-0.0349108162189359,0.0605310720779018,0.564481291990882
72,1,89070,-0.0431434331244025,0.0601367355699231,0.473588048176204
73,1,89616,-0.0199143029627937,0.0598474346367891,0.739519655832094
74,1,89679,-0.0347435236019515,0.0598358318203462,0.561848574241618
75,1,89880,-0.031637363527012,0.0598558867970981,0.597443607142697
76,1,91472,-0.0310871389567068,0.0603013450246648,0.606505574846767
77,1,93789,-0.036931675231258,0.0596701673128643,0.536361472930691
78,1,94351,-0.0200930535520139,0.0598501079277656,0.737279259205269
79,1,99148,-0.0151230777884218,0.0596971092076513,0.800160568960139
82,1,106800,-0.0160486455515732,0.0597769646860975,0.788490221932752
83,1,107970,-0.0175989793421915,0.0595985908849428,0.767944533045224
84,1,109000,-0.0260459755991606,0.0596949025809308,0.662872570687223
85,1,112549,0.0148744308579545,0.05963814956157,0.803187677825911
86,1,112742,0.0582244312451566,0.059795524676134,0.330859585231001
87,1,113050,0.0306809653408376,0.0597527368862627,0.607946997110742
88,1,113135,0.0100877940822358,0.0596203787656635,0.865735901931864
89,1,114076,0.00841376577003231,0.0596211145813329,0.887855189298456
90,1,114628,0.00737315870377801,0.0597723433042652,0.901896970563773
91,1,116283,0.00675117562815231,0.0601050122819306,0.910631145972805
93,1,127853,0.015271303478803,0.0599886692940561,0.799203621945376
94,1,128302,-0.0287030020736874,0.0597441996627491,0.631218113591877
95,1,128704,-0.0201895511415578,0.0598135672562245,0.735909484053071
96,1,128911,-0.0202967364080896,0.0598200865870977,0.734588262006088
97,1,130267,-0.0207686357945933,0.0597912625846587,0.728533627112458
98,1,130271,-0.0230926226532914,0.0598598392807094,0.699893305783913
99,1,130613,-0.014355089909793,0.0604271312207261,0.81235993128916
100,1,132012,0.0293480256052177,0.0602834545398985,0.626678225036613
101,1,133231,0.00225876401712577,0.0598756541217102,0.969928867312321
102,1,137074,-0.0151184067066661,0.0597852041826025,0.800509117776797
103,1,137304,-0.0111195221962163,0.0598084732524012,0.852615192719204
104,1,139686,-0.036891685181996,0.0598578058902826,0.538079229133752
105,1,149562,0.00496408063779968,0.0600260507314362,0.934137935107433
106,1,150447,0.000827361182834274,0.0606924471365115,0.989131252697018
108,1,154084,0.0149406997432769,0.0608747774773299,0.806263545953689
110,1,157269,0.0332547342366528,0.0597488359859503,0.578170204526962
111,1,160054,-0.01235560035104,0.0603393745698772,0.837871052585277
112,1,166222,0.00336214093964554,0.0598963787357603,0.955267911896547
113,1,166416,0.00171961414623917,0.0597749765532657,0.977065777994079
114,1,167326,-0.0189843594909788,0.0601062283204754,0.752305458145732
115,1,168836,0.00447058425978153,0.0598293670350251,0.940478038891817
116,1,171200,-0.0103453442576618,0.0599169095466272,0.863016450217027
117,1,171431,0.00325610230037016,0.0602932710038679,0.95696220371141
118,1,173339,-0.00406539027991276,0.0598242464728087,0.945859483554142
119,1,173845,0.00567650643544815,0.0597742830671544,0.924395957544911
120,1,175121,0.0406346244419849,0.0596173123705814,0.495944518156376
121,1,175281,0.0335620042577692,0.0596805083164074,0.574226856914561
122,1,175315,0.0338117057834416,0.0596613051254398,0.571259454102185
123,1,175523,0.0267483131682417,0.0600097470489338,0.656063510141993
124,1,175541,0.0337815533004895,0.0597546067852743,0.572202979282322
125,1,175653,0.036318227011758,0.0599396588824875,0.544961829642215
128,1,175856,0.0238208732302289,0.060947679791076,0.696150286175296
129,1,175876,0.0418887587589636,0.0599852135386372,0.485438062077605
130,1,175989,0.0316176245375044,0.0601743715394432,0.599611820849453
131,1,176001,0.0297140939219311,0.060490899231384,0.623578983932707
133,1,177692,0.0117676895041186,0.0596851543924988,0.843813648370303
134,1,178191,0.0193358465281593,0.0597388421755369,0.746377336209522
135,1,178224,0.0117676895041186,0.0596851543924988,0.843813648370303
136,1,178960,0.00543604625660285,0.0601644672534072,0.928057868250834
140,1,183802,0.036238411527193,0.0596647891436695,0.543998012189489
141,1,183954,0.0305003407491385,0.0601086430303803,0.612176864858736
142,1,184450,0.0562121335659056,0.0595289437045455,0.345671212115245
144,1,184718,0.0684751089485113,0.0598318362206829,0.253208566384421
145,1,185296,0.054660194988124,0.059617498281445,0.35984814950921
