SNP,Chr,Pos,Effect,SE,HNM1_TPO2_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0115765511709303,0.057482688944514,0.840508101754151
9,1,27272,-0.0721823050397722,0.0564921950517773,0.202180952339515
16,1,27843,-0.0214793449232332,0.0552711471041854,0.697793271011151
17,1,27848,-0.0214793449232332,0.0552711471041854,0.697793271011151
18,1,28495,-0.0244500965402942,0.0552685457056683,0.658479976221471
19,1,28975,-0.0304088120143351,0.0548904670011724,0.579935921389774
26,1,31435,-0.032658080085405,0.0547412391114606,0.55116349838424
29,1,36146,-0.0495809319629508,0.0544224752651335,0.362897147496723
31,1,37409,-0.0271371847086365,0.0547619738650223,0.620521723110635
32,1,37478,-0.0344703482351616,0.0547974056444968,0.52972269929591
33,1,39144,-0.0753452849207633,0.05443038656456,0.167156254651269
34,1,41499,-0.0692891962675773,0.054301440882046,0.202790830180099
37,1,51248,-0.0339850026293401,0.0546282545342686,0.534268510339714
38,1,51462,-0.045402716778578,0.0546789365684226,0.406901509248357
39,1,52124,-0.0650305777748579,0.0545484921011473,0.233998981117057
40,1,52667,-0.0584904260308228,0.0544817251870827,0.283744824123589
42,1,59265,-0.0129010983845759,0.0545387441196115,0.813143706641865
43,1,60165,-0.00537875575326223,0.054501098224111,0.92143980883797
44,1,62308,-0.0427693222406654,0.0543942979336786,0.432229097038583
45,1,62869,-0.0593084691249493,0.0543434680166504,0.275857371389279
49,1,66841,0.00046588478738549,0.0544607213301308,0.993179404151868
50,1,66948,0.00103194247875404,0.0547949313907996,0.984985120673184
51,1,68621,0.00449246439942641,0.0546459949814914,0.934526066389508
52,1,69417,-0.0168437331266934,0.0544944763261227,0.757434921497165
56,1,74327,-0.0358828186315492,0.0547682076511232,0.512781120416881
57,1,74572,-0.0478746368496226,0.0545961678640225,0.381144707248047
58,1,75211,-0.0405161446233841,0.0545133296066997,0.457834546421993
59,1,76030,-0.0283204063043241,0.0545351384646926,0.603873041878005
60,1,80108,-0.0216140094755825,0.0545309333524829,0.692077214821381
