SNP,Chr,Pos,Effect,SE,ERG11_ERG5_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.058755280346081,0.1071216154287,0.583701276777582
9,1,27272,0.027737579812687,0.105547519342783,0.792860296533871
16,1,27843,-0.0162259477502874,0.10305668894478,0.874982737038255
17,1,27848,-0.0162259477502874,0.10305668894478,0.874982737038255
18,1,28495,-0.000576390263630974,0.1030619716404,0.99554088772892
19,1,28975,0.0226690603080681,0.102365955526175,0.824869201945835
26,1,31435,0.0119790766723178,0.10209984028179,0.906667588444629
29,1,36146,0.023877291907241,0.101567400482691,0.814276631539992
31,1,37409,0.102748198417631,0.101978025019379,0.314359550511335
32,1,37478,0.0966090579704251,0.102082924551302,0.344603059781245
33,1,39144,0.147746707622167,0.101441580555999,0.146151361881673
34,1,41499,0.169363766506449,0.101062481034147,0.0946564960405757
37,1,51248,0.190136792906783,0.101391792694526,0.0615811621693717
38,1,51462,0.188164532805072,0.10154105777807,0.0647040458582981
39,1,52124,0.259970743261062,0.100951725604279,0.0104247188149647
40,1,52667,0.225032786264163,0.101024754957039,0.0265436948419588
42,1,59265,0.123212303196242,0.101469259275494,0.225451731720967
43,1,60165,0.107314311364808,0.101443447019496,0.290836594779449
44,1,62308,-0.0910343189810414,0.101376654561472,0.369807689668697
45,1,62869,-0.0791256704636796,0.101392204961508,0.435683118768746
49,1,66841,-0.0805222606337939,0.101436959247302,0.427835960053857
50,1,66948,-0.0789955270542305,0.10206397767916,0.439460370425389
51,1,68621,-0.16009926888933,0.101516810779009,0.115674775789982
52,1,69417,-0.108441784401445,0.101440050392792,0.285789601969814
56,1,74327,-0.0585073012578385,0.102115261323853,0.56704092089635
57,1,74572,-0.0540418427764026,0.101850134465386,0.596028533888275
58,1,75211,-0.0360608424366668,0.10168689244746,0.723081359547593
59,1,76030,0.0220485298147772,0.101698233728364,0.828486751745554
60,1,80108,0.0552288283549836,0.101638458043734,0.587207621762416
61,1,81262,-0.019596866309255,0.101637164841369,0.847217077265307
62,1,81999,0.0792502479460424,0.101803395068515,0.436817184996046
63,1,82431,0.157310440539944,0.102030098540848,0.124017102555945
64,1,83284,0.0997485224337841,0.101489344298655,0.326355766949179
65,1,83613,0.100329325013611,0.101476508195132,0.323489548364316
66,1,84112,0.112841778624143,0.101450489102248,0.266772877284021
68,1,84858,0.0737208309657574,0.101839377382801,0.46961076397697
69,1,85751,0.0771695349689901,0.10225137569668,0.450929725047569
70,1,87445,0.0895320355613462,0.102439384963725,0.382712384559267
