SNP,Chr,Pos,Effect,SE,GTR1_SLM4_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0248920782895317,0.0570020113145546,0.662604822347436
9,1,27272,0.0320561747078147,0.0561352109914074,0.568327152629706
16,1,27843,0.109354847350787,0.0545225544404874,0.0456530366684069
17,1,27848,0.109354847350787,0.0545225544404874,0.0456530366684069
18,1,28495,0.12727182606259,0.0544131970189505,0.0198933389653929
19,1,28975,0.128282854476905,0.0540370475571964,0.0181318972283615
26,1,31435,0.111058803957663,0.05399982995116,0.0404543453762856
29,1,36146,0.0814225539805111,0.0538682424569904,0.131552441185282
31,1,37409,0.119403481078604,0.0539615354900842,0.027554140272415
32,1,37478,0.122677439973319,0.0539877763373331,0.0236681578462835
33,1,39144,0.0436064852796316,0.054083257386321,0.420621743209021
34,1,41499,0.0417726754418943,0.0539370775754601,0.439171023129307
37,1,51248,-0.0264835708693133,0.0541943300168164,0.625373208574637
38,1,51462,-0.0174280216955837,0.0542782454401549,0.748334717703837
39,1,52124,0.0404664346758132,0.0541698570702389,0.45554355132449
40,1,52667,0.023749909344837,0.0541110121962091,0.660994669704416
42,1,59265,0.0421127196541336,0.0540520159263346,0.436434146444363
43,1,60165,0.0452134203028064,0.0540039988929182,0.403033363517898
44,1,62308,-0.0101872718367521,0.053995415591038,0.850460513100033
45,1,62869,0.00314887081532725,0.0539910958333108,0.953525112956256
49,1,66841,-0.0160537347003652,0.0540100431456528,0.766461094921091
50,1,66948,0.00378078462206383,0.0543479365536932,0.944578254936391
51,1,68621,0.0349655972152872,0.0541691189606282,0.519029360742775
52,1,69417,0.0101894951993796,0.0540548689593721,0.850590826692751
56,1,74327,0.0179813214027751,0.054346367831061,0.740942621384186
57,1,74572,0.00745978589895102,0.0542086302642156,0.890625123666351
58,1,75211,0.0324124094680661,0.0540837572994299,0.54935711096266
59,1,76030,0.0430115794733503,0.0540628164697225,0.426807784335328
60,1,80108,-0.0218704458543784,0.0540859450129543,0.686189456447718
61,1,81262,-0.0208143312517459,0.0540666694729253,0.700487576980128
62,1,81999,-0.0399168103281725,0.0541684363352514,0.461671630936826
63,1,82431,-0.0244509308286018,0.0544511509698808,0.653675887387832
