SNP,Chr,Pos,Effect,SE,ERG11_ERG5_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0454150520957839,0.0587798004532986,0.440258235072305
9,1,27272,-0.0724997407299776,0.0578173698404472,0.210692139709524
16,1,27843,0.0131649000171534,0.0565706330867952,0.816116696836801
17,1,27848,0.0131649000171534,0.0565706330867952,0.816116696836801
18,1,28495,0.054827487195754,0.0565005789728412,0.33251751948685
19,1,28975,0.0572489165571276,0.0561150443115942,0.308329348793622
26,1,31435,0.0308475514647426,0.0560247639344574,0.58225230446799
29,1,36146,-0.00057542887603737,0.0557597968975949,0.991771982132458
31,1,37409,0.0579524978234688,0.0559763715756901,0.301236200336554
32,1,37478,0.0517208445942919,0.0560419135701576,0.35669189722976
33,1,39144,-0.00570625378939631,0.0558526156337098,0.918682704552509
34,1,41499,0.0314166921357337,0.0556734107562014,0.572906068806515
37,1,51248,0.0236532601022763,0.0559214259260801,0.672572426274439
38,1,51462,0.00911570484403771,0.0560093428122266,0.870805814501197
39,1,52124,0.0134422571260692,0.0559310192618611,0.810209027097067
40,1,52667,-0.0393051785242244,0.0558067535092705,0.48170495827851
42,1,59265,-0.0485364894144079,0.0557579652058154,0.384626811470693
43,1,60165,-0.0755561782657889,0.0556304348540597,0.175273781536671
44,1,62308,-0.0838368256427894,0.0555352802653145,0.132036539053662
45,1,62869,-0.0997737759038481,0.0554535677949932,0.0728360941731209
49,1,66841,-0.103796485238565,0.0554590311862441,0.0620903967926942
50,1,66948,-0.102740682822212,0.0558082916034919,0.0664668418860971
51,1,68621,-0.0456348457562644,0.0558708757341736,0.414598580334299
52,1,69417,-0.0601346301795924,0.0556836889982717,0.280909495723287
56,1,74327,-0.111024461725155,0.0557700590486294,0.0472785903938465
57,1,74572,-0.0956841947063977,0.0557006062582904,0.0867045040439254
58,1,75211,-0.0835923059278923,0.0556534190738471,0.133987057385173
59,1,76030,-0.0327712899725134,0.0558037256069605,0.557404595865508
60,1,80108,-0.115335132045096,0.0554791947222546,0.0383491835827134
61,1,81262,-0.152574377859216,0.055202563698021,0.00601106761192376
62,1,81999,-0.118124618877434,0.0555784632887622,0.0342500175698791
63,1,82431,-0.08179359857475,0.0560288348855777,0.145221126883326
64,1,83284,-0.103642281614081,0.0555153756254621,0.0627427444971983
65,1,83613,-0.0858796901100819,0.0555950320216148,0.123305933799794
66,1,84112,-0.0935342518133773,0.0555662038540485,0.0932023209437796
68,1,84858,-0.0973874145626736,0.0557055834302169,0.0812896802977981
69,1,85751,-0.1085449546311,0.0558783134172577,0.0528686643112942
70,1,87445,-0.0782033011096556,0.0561408393160854,0.164501183091672
71,1,87467,-0.0867112956528682,0.0564011249014021,0.125090327673914
72,1,89070,-0.0816698978413007,0.0560672061672027,0.146103870689564
73,1,89616,-0.0772270849345215,0.0557817035506371,0.167094642249328
74,1,89679,-0.0684230572059697,0.0558213528919892,0.221109664647967
75,1,89880,-0.0691965440410072,0.0558328565327252,0.216038634636099
76,1,91472,-0.0644315541586573,0.0562651199400719,0.252926115674294
77,1,93789,-0.0747370221163113,0.0556467739083612,0.180115027137431
78,1,94351,-0.032175626393458,0.0559093732626731,0.565322488312501
79,1,99148,-0.0075512692689754,0.0557873211856328,0.892405852100346
82,1,106800,-0.0153643164502456,0.0558580358575999,0.783430993563064
83,1,107970,0.00239102937233027,0.0556983709627214,0.965783060947809
84,1,109000,-0.0250040661815431,0.0557808025410398,0.654243624679976
85,1,112549,0.0611781264718117,0.0556383126769386,0.272269566641951
86,1,112742,0.0613779785762627,0.0558551994565992,0.272570742176785
87,1,113050,0.0830861446013506,0.0556811948217034,0.136546145639925
88,1,113135,0.0740771330983521,0.0555745745486151,0.18341374013361
89,1,114076,0.096543083146999,0.0554767930564712,0.0826878678420208
90,1,114628,0.107278750885632,0.0555625882672826,0.0543116791604463
91,1,116283,0.0342579035551116,0.056136260678896,0.542080027993934
93,1,127853,0.0383260999886172,0.0560241658154796,0.494361224796925
94,1,128302,0.0294076356505518,0.0558240121457978,0.598668996839309
95,1,128704,0.0276816207404499,0.0558821221308284,0.620656098673279
96,1,128911,0.0235829387170587,0.0558936362025496,0.6733363867523
97,1,130267,0.015252327248909,0.0558753301773583,0.785035369571009
98,1,130271,0.0166630558742381,0.0559405208516629,0.765976898399073
99,1,130613,0.00209284795025239,0.0564702678142069,0.970457269930642
100,1,132012,-0.0162748024283696,0.0563438555769554,0.772867349866411
101,1,133231,0.0211597147017787,0.0559393158113344,0.705463377960888
102,1,137074,0.0183238145714509,0.0558625654839811,0.743094043251054
103,1,137304,0.0210960722364123,0.0558792183311104,0.706006777138164
104,1,139686,-0.0387407037658481,0.0559259482022435,0.488944323663207
105,1,149562,-0.0248751020864254,0.056075992240316,0.657606254968722
106,1,150447,-0.0425082545710172,0.0566686557040991,0.453682493507195
108,1,154084,-0.0306095175744274,0.056865685617627,0.590724735431359
110,1,157269,-0.0188711676244342,0.055847495261647,0.735635373002939
111,1,160054,-0.0613546196890259,0.0562925691731366,0.276490100004862
112,1,166222,-0.0590360185368924,0.0558818842014343,0.29148838171291
113,1,166416,-0.0467987448419934,0.055800961061351,0.402220528535501
114,1,167326,-0.0520069336388501,0.0561056924826707,0.354588015866382
115,1,168836,-0.0263209146134915,0.0558901735406375,0.637974513697558
116,1,171200,-9.50300892030298e-05,0.0559914537697508,0.998646769829127
117,1,171431,-0.00789358815568947,0.056339445368468,0.888654832396072
118,1,173339,-0.00528888976674832,0.0559021581297477,0.924678477204866
119,1,173845,-0.00315473006308281,0.0558562742645995,0.954991842992997
120,1,175121,0.000612369909088972,0.0557457690420683,0.991241582175306
121,1,175281,-0.00754091794391043,0.0557917176337883,0.892560858971236
122,1,175315,-0.00297230501449294,0.0557753737028376,0.957530487837919
123,1,175523,-0.0119973137306724,0.0560879848827147,0.830747232914836
124,1,175541,-0.00527066115384256,0.0558619943030312,0.92488349902899
125,1,175653,-0.00887570859592601,0.0560374752971205,0.874241007200823
128,1,175856,-0.0285915620779753,0.0569442796219216,0.615912204412441
129,1,175876,-0.0147189693233539,0.0560861485905742,0.793139165111003
130,1,175989,-0.0203936363440666,0.0562411848171022,0.71711297511339
131,1,176001,-0.0286479731858495,0.0565242054087674,0.61259289688229
133,1,177692,0.0159507969239911,0.0557691364456285,0.775034576634995
