SNP,Chr,Pos,Effect,SE,GTR1_SLM4_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0177930402958792,0.15550810785821,0.908970917451705
9,1,27272,0.0732710898235784,0.153125916694004,0.632589025914132
16,1,27843,0.218120021683066,0.14910009480748,0.14438178159386
17,1,27848,0.218120021683066,0.14910009480748,0.14438178159386
18,1,28495,0.236062231880848,0.149025090094625,0.114079248618717
19,1,28975,0.195362060930448,0.148189766225282,0.18825010757211
26,1,31435,0.188343850979642,0.147821011571492,0.203453938326107
29,1,36146,0.0831252716202763,0.147330136187116,0.572968895047462
31,1,37409,0.150477171737457,0.147976921206724,0.309899254067025
32,1,37478,0.157009478191761,0.14808528966195,0.289749486100864
33,1,39144,0.119732736538249,0.147506474958613,0.417504057835392
34,1,41499,0.0739937131838772,0.147181858772429,0.615462942986822
37,1,51248,-0.193635119813331,0.14750162328881,0.190114614651949
38,1,51462,-0.148666864230559,0.147850151112765,0.31533339036119
39,1,52124,0.00229159834727599,0.147861187872519,0.98764338935476
40,1,52667,-0.112140604942541,0.147503561274088,0.447608492321538
42,1,59265,0.274793171978238,0.146823124054273,0.0620897339582892
43,1,60165,0.195633113361574,0.147070159571336,0.184310270728648
44,1,62308,0.0515261591291471,0.147250612764257,0.726606272438458
45,1,62869,0.104642788475362,0.147152287770067,0.477480104219863
49,1,66841,0.148727090623471,0.147114235502823,0.312726451319159
50,1,66948,0.132275710084163,0.148063929792064,0.372268293465469
51,1,68621,-0.0488514688548884,0.147806786814775,0.741211491980738
52,1,69417,-0.0348426951779667,0.147426635519033,0.813306534520494
56,1,74327,0.120421030867965,0.148110288238609,0.416737563890289
57,1,74572,0.0492124817227457,0.14783101472858,0.739409751968123
58,1,75211,0.109347865917135,0.14746989231995,0.4588876968456
59,1,76030,0.0952683527738538,0.147497560391432,0.518765178606209
60,1,80108,-0.0794847355630741,0.147489135996091,0.590282272728516
61,1,81262,-0.0348729175802539,0.147482337385385,0.813216864178954
62,1,81999,-0.0938413690566104,0.147769831099366,0.525806602602445
63,1,82431,-0.0115069555062159,0.148552858078046,0.938301223153659
64,1,83284,0.000354278836122185,0.147473113885167,0.99808457819183
65,1,83613,0.0208849658869896,0.147452674577261,0.887446405065006
66,1,84112,0.0322321475744114,0.147463136351646,0.827105367424422
68,1,84858,0.126364410925846,0.14773631498763,0.392944496445295
69,1,85751,0.0789383727335693,0.148437744874433,0.595202854521541
70,1,87445,0.0720999880216312,0.148761617704298,0.628212503775086
71,1,87467,-0.0688713478131723,0.149545219471339,0.645413238189198
72,1,89070,0.0719383265680071,0.148604582361449,0.628620590398909
73,1,89616,0.0926815368021074,0.147771904741659,0.530938037249359
74,1,89679,0.0664893843912734,0.147830589018903,0.653154196962721
75,1,89880,0.100005605104892,0.147814604075098,0.49912755784496
76,1,91472,0.0866229349496413,0.148936971811071,0.561201959112291
77,1,93789,-0.0555563576486583,0.147443467210544,0.706550354154018
78,1,94351,-0.118477287329422,0.147726711390112,0.423090702873549
79,1,99148,-0.110676137790046,0.147355418528828,0.453103158310802
82,1,106800,-0.0726646251669697,0.147621384800706,0.622858191079623
83,1,107970,-0.0541655146806765,0.147206312106423,0.713126227931568
84,1,109000,-0.141686429557302,0.147301103615792,0.336766786265465
85,1,112549,-0.24332382189432,0.14675672630535,0.0982041767105731
86,1,112742,-0.206947942036202,0.147490315328213,0.161457331963345
87,1,113050,-0.11325507817268,0.147529128910454,0.443190846373029
88,1,113135,-0.172308711930617,0.146990324762564,0.241889112087705
89,1,114076,-0.0978376108399742,0.14718405940124,0.50665742541562
90,1,114628,-0.0965816453721528,0.147559218621802,0.513197893220255
91,1,116283,-0.0831688523082629,0.148403934142234,0.575547023317758
93,1,127853,0.0698383201853708,0.148146879105531,0.637637266021296
94,1,128302,0.123200257538799,0.147478565394024,0.404070306711663
95,1,128704,-0.015334497276389,0.147768965696597,0.91740805808786
96,1,128911,0.0276617538531765,0.147780240663883,0.851625724560663
97,1,130267,-0.00525070653305093,0.147717256395376,0.971664733930519
98,1,130271,-0.0073101821124133,0.147892330283648,0.960605307638609
99,1,130613,0.112372816714872,0.149155024258104,0.451714098866481
100,1,132012,-0.105329141239586,0.148852510672502,0.479655990692803
101,1,133231,-0.0345605144403869,0.147889599656604,0.815360096873282
102,1,137074,-0.0730407857424086,0.147639519374363,0.621102852218142
103,1,137304,-0.0861962418172948,0.147670780221362,0.559791259946381
104,1,139686,-0.0279583638718021,0.147928699713258,0.850202282123337
105,1,149562,0.000144236098640671,0.14827367640313,0.99922439191026
106,1,150447,0.00784353204318711,0.149917785258727,0.958304196159539
108,1,154084,0.0577794823076027,0.150350088190652,0.700987782423572
110,1,157269,-0.0333453112387683,0.147641560162238,0.821446345988037
111,1,160054,0.0160139694779563,0.149052606152723,0.914502249653777
112,1,166222,0.0566005680044713,0.147921920482964,0.702218375556264
113,1,166416,0.0667468575257496,0.147609482663183,0.651413140705421
114,1,167326,-0.00387650220431657,0.148491123791917,0.979187580955544
115,1,168836,0.00114200770918016,0.14778756193924,0.993838885149917
116,1,171200,-0.0265736132169245,0.148002138710067,0.857609783972758
117,1,171431,-0.101087333624669,0.148835708269188,0.497464224622666
118,1,173339,-0.0714031290780632,0.147725847151001,0.629147669628204
119,1,173845,-0.0620878079257603,0.147615242398075,0.674298987667392
120,1,175121,-0.0726008498269601,0.147308800665478,0.622426403989588
121,1,175281,-0.0445656690378641,0.147465650401728,0.762669575739039
122,1,175315,-0.0514155746609016,0.147412900215357,0.727457817775615
123,1,175523,-0.051216393062659,0.148248616323308,0.729942056321745
124,1,175541,-0.0481265551318246,0.147646324177485,0.744648996410703
125,1,175653,-0.140235699464777,0.1479476534527,0.343842151257482
128,1,175856,-0.0573761945052594,0.150550386576418,0.703351205992784
129,1,175876,-0.0598100739564725,0.148239499915437,0.686847362643687
130,1,175989,-0.0530359351445614,0.148669929511159,0.721502499080811
131,1,176001,-0.0568374566057464,0.149440920514032,0.703926281613716
133,1,177692,-0.0644716829732881,0.147398361345284,0.662090532049578
134,1,178191,-0.083824641907896,0.147517240476997,0.570235844244864
135,1,178224,-0.0644716829732881,0.147398361345284,0.662090532049578
136,1,178960,-0.080865249807446,0.148553528869524,0.586543692802476
140,1,183802,-0.0487384679955196,0.147434044900145,0.741159303197732
141,1,183954,-0.0251842051465343,0.148524344458969,0.865451100810622
142,1,184450,0.0205783085489117,0.1472258445301,0.888918467344996
144,1,184718,-0.0533141627360417,0.148039245649506,0.718961309299423
145,1,185296,-0.0117909788219074,0.14743696330148,0.936304034582515
146,1,185438,0.0366789793473232,0.147432335564259,0.803671639851969
147,1,185469,0.0382407609156521,0.147644024869104,0.795781199794959
148,1,185503,0.00304223277697352,0.147276059940748,0.983531205895697
149,1,185705,-0.00253816897100667,0.14892210271474,0.986411460732041
150,1,185749,0.00177147005184403,0.148922134141662,0.990515885677111
151,1,185806,-0.0628567146902385,0.149083482954864,0.673558366013805
152,1,185879,-0.0900208531003216,0.149764963661709,0.548171899035902
153,1,185916,0.0476239358508025,0.149751986475167,0.750658781813836
154,1,185941,0.0376339478198511,0.150412535058508,0.802574475614826
155,1,185954,0.0284775190401859,0.150857566658991,0.850380858314542
156,1,186055,0.0413906230876587,0.147837804776108,0.779662054809734
157,1,186896,0.0268555987182761,0.15027144071454,0.858264859768149
161,1,190132,-0.0121980879269332,0.148040346212604,0.934377682210216
162,1,190148,-0.00565010708543834,0.148086113075165,0.969586305823376
163,1,190165,-0.0266308009160813,0.149217617701463,0.858456613079692
164,1,190169,-0.00579726313117485,0.149037944580282,0.96899377948325
165,1,190933,-0.130163090814152,0.147667231309867,0.378667454773173
166,1,192149,0.0814098965169426,0.148975263527577,0.585090973422164
168,1,192303,0.36508886580524,0.176610222978904,0.0394436838887463
171,1,192795,0.0962090065926677,0.147460914480921,0.514543711409557
173,1,194187,0.00497410023211575,0.147671801933855,0.973148589980492
174,1,194867,-0.165174486623508,0.14732961213977,0.262997983738018
