SNP,Chr,Pos,Effect,SE,TPO1_TCB2_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0188822996445512,0.0624080312921946,0.762401870420226
9,1,27272,-0.085609109897837,0.0613096883669141,0.163489834408217
16,1,27843,-0.00479042087304744,0.0600236231293995,0.936434450110129
17,1,27848,-0.00479042087304744,0.0600236231293995,0.936434450110129
18,1,28495,-0.00373532456885733,0.0600248073114384,0.950415146543692
19,1,28975,0.00679070350715136,0.0596228073874707,0.909386258634671
26,1,31435,-0.0285106074330352,0.059446566140667,0.631808439116669
29,1,36146,-0.0262195070555839,0.0591428374903155,0.657802148115862
31,1,37409,0.0297032582782669,0.0594581511279715,0.617692075387904
32,1,37478,0.0300816711369069,0.0595087613760479,0.613523271440024
33,1,39144,-0.0495821200095223,0.0591998534373486,0.40285697784144
34,1,41499,-0.0285038194892704,0.0590747966585384,0.629747093543443
37,1,51248,-0.0294614593241385,0.0593250865712169,0.619772875670371
38,1,51462,-0.0284564721605982,0.0594069758639227,0.632228857459864
39,1,52124,-0.0419709084870675,0.059303747856168,0.479581336841347
40,1,52667,-0.0770050283285479,0.0591087714064443,0.193503126596263
42,1,59265,0.0140612119418234,0.0592160771253355,0.812440815965395
43,1,60165,-0.000553625860521278,0.0591760477024801,0.992540726225913
44,1,62308,0.0543169288661258,0.059040235506566,0.358201789988645
45,1,62869,0.0697102362766342,0.0589869757030483,0.238084416207989
49,1,66841,0.0608818145949068,0.0590425507409056,0.303175747744786
50,1,66948,0.0576961873914266,0.0594149959664038,0.332177759947374
51,1,68621,0.017584535357608,0.0593257478818226,0.767093996650239
52,1,69417,0.00688249492432347,0.0591749212151874,0.90747487641757
56,1,74327,0.00231227693571306,0.0595012732849761,0.969023206032965
57,1,74572,-0.016260410843735,0.0593366776689744,0.784216916065577
58,1,75211,-0.0313491943873482,0.0592113070467733,0.596828835678733
59,1,76030,0.022770706534224,0.0592224120237047,0.700843311853066
60,1,80108,-0.0763750929106282,0.0590811254051927,0.196954908020203
61,1,81262,-0.0554208691595828,0.0591248816917067,0.349218009142998
62,1,81999,-0.072487906230837,0.0592174388897782,0.221731883396623
63,1,82431,-0.0726723292362746,0.0594983083523417,0.222742736497695
64,1,83284,-0.0467589108923187,0.0591376848206821,0.429662354413999
65,1,83613,-0.050603768275703,0.0591221889050306,0.392623530567151
66,1,84112,-0.0442664680684937,0.0591431185591211,0.454678991513018
68,1,84858,-0.0553431810383741,0.0592839474743634,0.351185896898671
69,1,85751,-0.0302890443401807,0.0595792476548178,0.611502707338108
70,1,87445,-0.0320169737530462,0.0597027319864363,0.592107536625736
71,1,87467,-0.0558205426756702,0.0599661659785181,0.35255838091488
72,1,89070,-0.0420176277474742,0.0596220234222313,0.481440895186474
73,1,89616,-0.060985352782268,0.0592541501768272,0.304082604615849
74,1,89679,-0.0428338876856681,0.0593067003804995,0.47062286887173
75,1,89880,-0.0403452429055754,0.0593266919694506,0.496917197300171
76,1,91472,-0.0496584685702851,0.0597477675346326,0.406459114267414
77,1,93789,-0.0662778826836298,0.0590848157203861,0.262734875758197
78,1,94351,-0.095222594610968,0.0591289965580834,0.108199718706626
79,1,99148,-0.0836916905618013,0.0590221764645748,0.157081588499066
82,1,106800,-0.0767369837851402,0.0591289770956758,0.195206952911777
83,1,107970,-0.0457288803186211,0.0590441303273449,0.439161592454835
84,1,109000,-0.0536152570277811,0.0591295980026561,0.365162070183851
85,1,112549,0.0267347206129524,0.0591142816408948,0.651363183855876
86,1,112742,0.0244639713947786,0.0593474989014179,0.680431537165367
87,1,113050,0.00522454003114786,0.0592612651696851,0.929798603880981
88,1,113135,0.0143476209257738,0.0591060413499997,0.808344910418512
89,1,114076,-0.048741167303607,0.0590540197467496,0.409721378655743
90,1,114628,-0.0341535690501794,0.0592326274851169,0.56457677119584
91,1,116283,0.0336630868981905,0.0595631737283435,0.57231979306095
93,1,127853,0.0544729832191786,0.059408460312199,0.359808998928818
94,1,128302,0.0356440974990761,0.059220316868348,0.547633949912959
