SNP,Chr,Pos,Effect,SE,ERG11_MID2_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0279711889424363,0.142457292532636,0.844450866619745
9,1,27272,-0.0193932853622802,0.140321772989595,0.890156560810783
16,1,27843,0.124908672636622,0.136844018146139,0.361980498400941
17,1,27848,0.124908672636622,0.136844018146139,0.361980498400941
18,1,28495,0.147329002105829,0.136783048465922,0.282171186572931
19,1,28975,0.124024457504075,0.135931627734643,0.362179176013394
26,1,31435,0.128657056116097,0.135558399233443,0.343224384313304
29,1,36146,0.0470671007434552,0.13500811793129,0.727579270557373
31,1,37409,0.173940594152454,0.135445424591688,0.199910097950769
32,1,37478,0.167850936595075,0.135584148445558,0.216544913054105
33,1,39144,0.0516228047014822,0.135230202608763,0.702883765224783
34,1,41499,0.0654467185935457,0.134837949716809,0.627712783184246
37,1,51248,-0.0704495902343765,0.135405153096146,0.603189449858381
38,1,51462,-0.0610973317106184,0.135601755607353,0.652580095046012
39,1,52124,-0.0570703974760074,0.135422999045702,0.673702554248427
40,1,52667,-0.154786178187667,0.134988808471723,0.252299077626844
42,1,59265,0.0125492847366085,0.135170097106275,0.926082794347906
43,1,60165,0.00822307235667635,0.135068893347213,0.951488770242094
44,1,62308,-0.0327001287386803,0.134909829141279,0.808622562118866
45,1,62869,-0.0256671417667803,0.134897192418042,0.849205463088588
49,1,66841,0.0265207892157938,0.134960307152654,0.844325601241534
50,1,66948,0.0136348511791266,0.135794062313895,0.920077180844655
51,1,68621,-0.204909225971489,0.134988266108599,0.129914982530375
52,1,69417,-0.102716789066327,0.134958914957746,0.44710741168058
56,1,74327,-0.0394647959671458,0.135795960669968,0.771513897898123
57,1,74572,-0.0428019437503942,0.135431470678334,0.75215791258296
58,1,75211,-0.00765188400979844,0.135203101796758,0.954899458092604
59,1,76030,0.0787254736668958,0.135138770820504,0.56056627879451
60,1,80108,-0.019082989063735,0.135167931358668,0.887808390660595
61,1,81262,-0.0316720269672305,0.135110130150665,0.814797651242567
62,1,81999,-0.113800128982403,0.135315136580745,0.400916839297968
