SNP,Chr,Pos,Effect,SE,FMP45_HNM1_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0630450890974057,0.1355520832989,0.642147596301815
9,1,27272,0.0356668456499201,0.133543809331313,0.789563729301256
16,1,27843,-0.0767929425702358,0.130333214876099,0.556100841428073
17,1,27848,-0.0767929425702358,0.130333214876099,0.556100841428073
18,1,28495,-0.101118654441387,0.130288285765769,0.438200943575079
19,1,28975,-0.103136530214729,0.129411380945772,0.426006213098116
26,1,31435,-0.134312478049597,0.128986625919168,0.298453634686395
29,1,36146,-0.109512098090592,0.128386198972896,0.394243440043
31,1,37409,-0.0764105480027648,0.129149306531291,0.554466999336872
32,1,37478,-0.0787586244718574,0.12925644591074,0.542703867736765
33,1,39144,-0.0319180107666793,0.128723051688918,0.804310473852637
34,1,41499,0.0357774048100434,0.128363057367483,0.780622598008844
37,1,51248,-0.190353869541268,0.128524902855412,0.139480990520959
38,1,51462,-0.155951764347372,0.128831316623402,0.226892646821039
39,1,52124,-0.114099040212664,0.128780504629428,0.376222725465473
40,1,52667,-0.169534522819159,0.128400324058761,0.187570638692984
42,1,59265,0.0539039576415385,0.12862006729879,0.675402001598142
43,1,60165,0.0402185870741545,0.128537020094054,0.75454523358182
44,1,62308,-0.0967708107800618,0.128310125999409,0.451235149849767
45,1,62869,-0.104135976404071,0.12827764690967,0.417452651579832
49,1,66841,-0.069761657730011,0.128404171974439,0.587267934325288
50,1,66948,-0.106154692524168,0.129122650487664,0.411561884251181
51,1,68621,-0.240789374703182,0.128257359715378,0.0612887712919998
52,1,69417,-0.11370526484188,0.128412312660827,0.376505901744782
56,1,74327,-0.0237135781594946,0.129255466285108,0.854540186481611
57,1,74572,-0.0376652606954379,0.12890190470798,0.770304633450515
58,1,75211,0.0101722315181888,0.128681348674294,0.937037824946499
59,1,76030,0.0347538386182827,0.128669192164255,0.787239426800429
60,1,80108,-0.0452469861834558,0.128629519511445,0.725226589841126
61,1,81262,-0.0815072998483962,0.128530233748241,0.526394406480464
62,1,81999,-0.102036553981814,0.128803050125077,0.428781638614164
63,1,82431,-0.119946509672956,0.129370329783264,0.354478886083589
64,1,83284,0.0236582247133257,0.128579034851018,0.854121042769097
65,1,83613,0.0692182613991247,0.128518237448129,0.590511269671317
66,1,84112,0.045439061770618,0.128562454690956,0.723969889253936
68,1,84858,0.0954126341858298,0.128848070472091,0.459485907913535
69,1,85751,0.0150423321069236,0.129475642511015,0.907576857783255
70,1,87445,0.0196588477092775,0.129747606597945,0.879655186033063
71,1,87467,-0.0232495127142885,0.130425212109102,0.858621561560015
72,1,89070,0.0267438401924082,0.129606938648852,0.836639809718919
73,1,89616,-0.00881045586228502,0.128916639886301,0.945551870370073
74,1,89679,0.00185969760026346,0.128933779887708,0.988500128099561
75,1,89880,-0.000103920396572171,0.128966486632442,0.999357524801232
76,1,91472,0.0525694876566177,0.129893645141916,0.685934508461343
77,1,93789,0.0109385996597888,0.12858388245826,0.932254159872856
