SNP,Chr,Pos,Effect,SE,MID2_RSN1_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0184419932396993,0.131297896046688,0.888377324196904
9,1,27272,0.0136180899063953,0.129327682343777,0.916198276330847
16,1,27843,-0.0644792110619728,0.126223080161143,0.609785676199819
17,1,27848,-0.0644792110619728,0.126223080161143,0.609785676199819
18,1,28495,-0.0592243648193919,0.126232419682241,0.639238327186776
19,1,28975,-0.0670471162316871,0.125376941335076,0.593149500254097
26,1,31435,-0.105515593543682,0.12496927226533,0.399055581046406
29,1,36146,-0.166504199163485,0.124134416696651,0.180678316978609
31,1,37409,-0.139343894976554,0.124903243499916,0.265345971458927
32,1,37478,-0.129776000717656,0.125040165226476,0.300038879535346
33,1,39144,-0.0585253029833502,0.124620415887694,0.638910396127048
34,1,41499,-0.067368655314218,0.124261840394796,0.588056697432524
37,1,51248,-0.184508904131261,0.124455851660404,0.139092846374545
38,1,51462,-0.173666691076627,0.12466979393288,0.164492360463157
39,1,52124,-0.168986253394849,0.124518285553045,0.175610184387089
40,1,52667,-0.240438692403186,0.123983924022457,0.0532645998486119
42,1,59265,-0.0087463385533437,0.124578873141212,0.944068469249059
43,1,60165,-0.0202218307251845,0.12448094911343,0.871045078146017
44,1,62308,-0.101236941493915,0.124231896822748,0.41567729186955
45,1,62869,-0.0850545061231961,0.124250635475675,0.494083543119214
49,1,66841,-0.0267438386134898,0.124383529724597,0.829882834072522
50,1,66948,-0.0552703701099355,0.125120503373006,0.658949926760663
51,1,68621,-0.181594721948783,0.124441246243569,0.145377108297533
52,1,69417,-0.143263482747135,0.124251850144069,0.249686898514004
56,1,74327,0.0260855575739463,0.125162314238695,0.835026057390576
57,1,74572,0.0245316659888039,0.124829943686962,0.844315734704433
58,1,75211,0.057751695786768,0.124571288169157,0.643217509492489
59,1,76030,0.112133602806151,0.124466195891326,0.368247147832431
60,1,80108,0.0328675675311788,0.124567459908363,0.792046726256726
61,1,81262,-0.00940573474132964,0.124531639546773,0.939836708904262
62,1,81999,-0.0556127483471526,0.124801675686203,0.656152879957749
63,1,82431,-0.106639655521981,0.125299228572398,0.395301916648542
64,1,83284,0.00793455570335003,0.124514281948321,0.949226014585978
65,1,83613,0.0300583878485247,0.124490997884057,0.809346328936551
66,1,84112,-0.00179102502645581,0.124514961633802,0.988531738556022
68,1,84858,0.035019345938525,0.124852505705364,0.779269181587969
69,1,85751,-0.0122391141262231,0.12537795901569,0.922291232584875
70,1,87445,-0.0062031544753616,0.125644261343292,0.960651740578088
71,1,87467,-0.0567672643510401,0.126266306405412,0.653286619686672
72,1,89070,-0.00544943079611823,0.1255116281983,0.965393087970573
73,1,89616,-0.0179143730934614,0.124833130734001,0.885972015692323
74,1,89679,-0.00963110238882858,0.124851528130586,0.938555522284451
75,1,89880,-0.000936776249413684,0.124884205284307,0.994019234693747
76,1,91472,0.00525862847479674,0.125810892246077,0.96668345679043
77,1,93789,-0.0707976354754635,0.124457967173641,0.569821191536066
78,1,94351,-0.105828262454198,0.124715566997564,0.396702905427769
79,1,99148,-0.0781450430590176,0.124445512062155,0.530445432819545
82,1,106800,-0.00284616477482812,0.124682862416693,0.981800982589776
83,1,107970,0.0385925409288217,0.124296592074191,0.756373486347854
84,1,109000,0.0810747348630126,0.124457860938901,0.515197209812823
85,1,112549,-0.0326939796644773,0.124379502280008,0.79281441420847
86,1,112742,-0.0210138746692255,0.124871295458909,0.866456025183264
87,1,113050,-0.0353218837277258,0.124652050429893,0.777064052722027
88,1,113135,-0.0335608594482752,0.124335864540136,0.78737876477188
89,1,114076,0.0109671654966676,0.124347324933902,0.929769447034382
90,1,114628,0.0429771812398166,0.124642287415616,0.730446935833875
91,1,116283,0.0785304867459087,0.125286937693929,0.531192181640858
93,1,127853,0.0857539434624172,0.125039965576013,0.493281651864035
94,1,128302,0.0649604610111607,0.124594658818709,0.602432942250737
95,1,128704,0.0218848284018696,0.124761257372211,0.860855185524567
96,1,128911,0.0656992619561435,0.124731496874119,0.598715032381669
97,1,130267,0.118923891183224,0.124560634548301,0.340359001609636
98,1,130271,0.112514468960045,0.124725700233325,0.367621342693581
99,1,130613,0.144175949719685,0.125802457586874,0.252550620239774
100,1,132012,-0.0488543087656866,0.125741873996451,0.697859150473937
101,1,133231,-0.0877226898471069,0.124788988857624,0.48253891122614
102,1,137074,-0.0389392879739402,0.124681480237253,0.754989251755914
103,1,137304,-0.1042179449559,0.124618657100777,0.403554774687467
104,1,139686,-0.0286666640350058,0.124896658816947,0.818595326889516
105,1,149562,-0.0781999097211986,0.125121723130573,0.532380964600162
106,1,150447,-0.0356224644637821,0.126565380546093,0.778526320329832
