SNP,Chr,Pos,Effect,SE,FMP45_MEP1_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0556702093243695,0.150679736223066,0.712006045681943
9,1,27272,0.00317330215108313,0.148445465163465,0.982957087679749
16,1,27843,-0.184425068625169,0.144600499627082,0.203002505935893
17,1,27848,-0.184425068625169,0.144600499627082,0.203002505935893
18,1,28495,-0.16739087860015,0.144661542198437,0.248005407814637
19,1,28975,-0.151851737842367,0.143739774708894,0.291491945511986
26,1,31435,-0.230592869732065,0.143059885376902,0.107885539304934
29,1,36146,-0.348693790706585,0.141634223878173,0.0142964241194766
31,1,37409,-0.251100643845807,0.142994140991392,0.0799521028231562
32,1,37478,-0.276336056934957,0.142986348132705,0.0540846341388545
33,1,39144,-0.128456649218835,0.142921432528867,0.369376088337604
34,1,41499,-0.121909904537011,0.142540380343398,0.392984158418623
37,1,51248,-0.180246769001714,0.142973831376703,0.208250447438995
38,1,51462,-0.171793651263627,0.14319801563575,0.231063191113827
39,1,52124,-0.158298537163826,0.143047425531102,0.269213632419713
40,1,52667,-0.180331145645595,0.142743362158677,0.207306427100594
42,1,59265,-0.0542133076501347,0.142964395187217,0.704761071952428
43,1,60165,-0.0685208457132618,0.142838905438379,0.631732714476545
44,1,62308,-0.286031713380907,0.141914069866594,0.0446068346662895
45,1,62869,-0.267002314981906,0.142001053376017,0.0608925769734838
49,1,66841,-0.168550014099281,0.142495532621746,0.237666947292707
50,1,66948,-0.23297617629979,0.143117706265862,0.104445871604351
51,1,68621,-0.318401803829526,0.142258873954041,0.0258319667819716
52,1,69417,-0.21440571256106,0.142429025840226,0.133128036299819
56,1,74327,-0.0621882358982673,0.143632896455365,0.665303508518763
57,1,74572,-0.0480569656704291,0.143265699990456,0.737492885747912
58,1,75211,-0.0276693236086874,0.143019747059884,0.846706039545056
59,1,76030,-0.057102636970441,0.142995033904563,0.689889336912403
60,1,80108,-0.0913668641343679,0.142910796834143,0.523024273825657
61,1,81262,-0.161324772548602,0.142681323505399,0.258963745291054
62,1,81999,-0.164228982645875,0.143021668492467,0.251630353273576
63,1,82431,-0.145958909669777,0.143757067145614,0.310650411756255
64,1,83284,-0.0377160572524724,0.142905098200773,0.791992638940505
65,1,83613,-0.0157838154510157,0.142900978756784,0.912113037323586
66,1,84112,-0.0809815912782772,0.142854187493127,0.57115404018038
68,1,84858,0.00677313936640304,0.143322105406294,0.962334196801248
69,1,85751,-0.0599162088906061,0.143876313972217,0.677339342112961
70,1,87445,-0.0528148108143434,0.144188472099444,0.714368044233832
71,1,87467,-0.100049054191261,0.144873014389763,0.490271862299195
72,1,89070,-0.0800906979639222,0.144000439327307,0.578437650041409
73,1,89616,-0.0639844972580486,0.143248055583673,0.655387807897079
74,1,89679,-0.0918187977071774,0.143223323828779,0.521881302853623
75,1,89880,-0.0931302441301546,0.143257257420026,0.516056325518363
76,1,91472,-0.051334260466047,0.144381140687078,0.722392312850657
77,1,93789,-0.061291554383444,0.142881960926574,0.66820937361303
78,1,94351,-0.107465302875332,0.143181133091281,0.453420560462982
79,1,99148,-0.088278223648777,0.142841941408228,0.536965064386375
82,1,106800,-0.184267982661118,0.142775521090137,0.197682479993519
83,1,107970,-0.0893476625347337,0.142608721112315,0.531376812796965
84,1,109000,-0.0694288130300175,0.142891678592565,0.627350713090959
85,1,112549,-0.217006335659655,0.142309702706446,0.128182469818787
86,1,112742,-0.21247625286848,0.142887074294145,0.137901588106081
87,1,113050,-0.196242612941896,0.142711058916444,0.169971159151851
88,1,113135,-0.196543950877699,0.142344438774368,0.168225381598186
89,1,114076,-0.100854683643182,0.142627334020525,0.479958252856883
90,1,114628,-0.0224971000820729,0.143084380384567,0.87515379178463
91,1,116283,0.00320375310709942,0.143885138012954,0.982248314109514
93,1,127853,-0.0535668000675704,0.143589038516482,0.709330429200857
94,1,128302,-0.0176985861457048,0.143062583509241,0.901613566176854
95,1,128704,-0.0635340613019843,0.143168165897864,0.657479130334607
96,1,128911,0.0222284345992758,0.143219059266598,0.876747751415672
97,1,130267,0.00707197620100009,0.143155560552078,0.960627957822712
98,1,130271,-0.000899108541528582,0.143325954877542,0.994998308388101
99,1,130613,0.104290250363078,0.144558804867024,0.47111748043268
100,1,132012,-0.0708517553845917,0.144309006067884,0.623750972724905
101,1,133231,-0.127102045137733,0.143174174086753,0.375282817265439
102,1,137074,-0.0594885444438418,0.1430950308141,0.67786199497416
103,1,137304,-0.134503166939407,0.143000724773798,0.347564951746509
104,1,139686,-0.0700857115087159,0.143319429170025,0.6251329861232
105,1,149562,-0.0902774571332024,0.143614678510175,0.530011690738903
106,1,150447,-0.0288491500050262,0.145280825690966,0.84270947260227
108,1,154084,-0.071360149670089,0.14568830663828,0.624569891126519
110,1,157269,-0.130690786819663,0.142923607621375,0.361125573079331
111,1,160054,-0.0973334942675538,0.144359349963049,0.500597187989355
112,1,166222,-0.0694339744156069,0.143336236008869,0.628393021383641
113,1,166416,-0.074035418851268,0.14303851060189,0.605067990904209
114,1,167326,-0.0924557649273928,0.143821747600919,0.520738969920692
115,1,168836,-0.0965507569254433,0.143131724622523,0.50039768037587
116,1,171200,-0.150407139711555,0.143214868026256,0.294335355832241
117,1,171431,-0.213640422223854,0.143885317894093,0.138490143222135
118,1,173339,-0.162495328090294,0.142950097972859,0.256423221732334
119,1,173845,-0.167079329086743,0.142816183863896,0.242834210871752
120,1,175121,-0.208541569618792,0.142377066094341,0.143889201150734
121,1,175281,-0.210082871151924,0.142492405114061,0.141280146400792
122,1,175315,-0.213687710080216,0.142432082567762,0.13443627294715
123,1,175523,-0.212380057453578,0.143249735550076,0.139076610315595
124,1,175541,-0.212481249794079,0.142661030311677,0.137271422619616
125,1,175653,-0.22539191888192,0.143059327022693,0.116033686412188
128,1,175856,-0.200788724348697,0.145539616610106,0.168578312037065
129,1,175876,-0.19648152533533,0.143313995059597,0.171250214752114
130,1,175989,-0.18155796136347,0.143780656482993,0.207515191201143
