SNP,Chr,Pos,Effect,SE,ERV25_RBD2_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0326524272043992,0.0748882789441561,0.663092229352665
9,1,27272,-0.0884362761842964,0.0736331937743715,0.230541646168948
16,1,27843,0.0879332596033716,0.0718855483728428,0.222055111515819
17,1,27848,0.0879332596033716,0.0718855483728428,0.222055111515819
18,1,28495,0.104820559683758,0.0718225514492453,0.145333892152427
19,1,28975,0.105949069275563,0.071334829453281,0.138373732494031
26,1,31435,0.130975424778639,0.0710265003077912,0.066015740776848
29,1,36146,0.102076023991068,0.0707916068828566,0.150210767076432
31,1,37409,0.114021649799057,0.071125226020363,0.109804451788326
32,1,37478,0.0992368977954052,0.0712495213538171,0.16455444881675
33,1,39144,0.0638406255501551,0.0710377894412689,0.36943282688996
34,1,41499,0.102492453393401,0.0707116306119922,0.148101806703227
37,1,51248,0.0620900452994101,0.0711469053787966,0.383418765254503
38,1,51462,0.0660520204967284,0.0712334946912665,0.354424738405656
39,1,52124,0.0649457583146845,0.0711396826380014,0.361900901512601
40,1,52667,0.0203637235569706,0.0711012089241019,0.774736156280329
42,1,59265,-0.00656781353211544,0.0710727366652586,0.926424917637243
43,1,60165,0.0123546507174361,0.0710168440324503,0.861990417806331
44,1,62308,0.0598387113417991,0.0708702538317873,0.399050333145555
45,1,62869,0.0602430638904446,0.0708603642240499,0.395809126671901
49,1,66841,0.0453166674936854,0.0709253018137811,0.523279482136675
50,1,66948,0.036328675633785,0.0713756447586099,0.611085208976641
51,1,68621,-0.0290080785166164,0.0711916613721455,0.683913810531849
52,1,69417,-0.0011171933735894,0.0710198634267224,0.987458108356566
56,1,74327,0.00622819764630153,0.0714095809359442,0.930547720704071
57,1,74572,-0.00176778555379292,0.0712201710883872,0.980211433423936
58,1,75211,0.0175164407144892,0.0710842915263893,0.805501992813491
59,1,76030,0.0290020767046931,0.071073644334064,0.68347943789512
60,1,80108,-0.031777627252343,0.0710534687602724,0.654979389244482
61,1,81262,-0.0569755003813122,0.0709819792359556,0.422702358893608
62,1,81999,-0.0729241182186161,0.0711143914666878,0.305853976214861
63,1,82431,-0.0846914378651054,0.0714152522152992,0.236458914186563
64,1,83284,-0.0336604378000549,0.0710140635236937,0.635795240133718
65,1,83613,-0.0534696690299746,0.0709717950735942,0.451715841026057
66,1,84112,-0.0337207151877432,0.0710139825123108,0.635190286348461
68,1,84858,0.00209600194282437,0.0712370589245192,0.976543924442833
69,1,85751,-0.0144122586858489,0.0715258363060007,0.840425846680023
70,1,87445,-0.00511736398493466,0.0716806414010968,0.943126875950481
71,1,87467,-0.0359466003865692,0.0720310082669655,0.618059649473836
72,1,89070,-0.00477127968127558,0.0716049841483431,0.946911321127137
