SNP,Chr,Pos,Effect,SE,MID2_RSN1_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0926120818181715,0.150348883119017,0.538303922038575
9,1,27272,0.0501216149754729,0.148146535708451,0.735319731672866
16,1,27843,-0.0134646327193016,0.144663009473274,0.925896104433943
17,1,27848,-0.0134646327193016,0.144663009473274,0.925896104433943
18,1,28495,0.0301629620497372,0.144658218833187,0.834949540626591
19,1,28975,0.0398578078173654,0.143684450143795,0.781636743314753
26,1,31435,-0.0603621457523496,0.143283365945668,0.673808406760387
29,1,36146,-0.171070111210824,0.142289342119409,0.230065056955218
31,1,37409,-0.103666521787188,0.143245050818592,0.469728896225517
32,1,37478,-0.0765755376321638,0.143416606240768,0.593720681952553
33,1,39144,0.0794393402959587,0.142757196975243,0.578245801934777
34,1,41499,0.14263620142351,0.142221166711871,0.316587292745469
37,1,51248,0.0183482319403679,0.143026533607539,0.897996084681308
38,1,51462,0.0187873745370255,0.143220326498523,0.895709124619401
39,1,52124,0.0425105120663063,0.143011970243787,0.766449406426796
40,1,52667,0.0139242294157927,0.142798719812224,0.922377143728397
42,1,59265,0.0528783038583902,0.142700852085374,0.711192354886471
43,1,60165,0.00100111185224074,0.14262073793432,0.994403341145093
44,1,62308,-0.061509933546629,0.142426274470317,0.666098041938743
45,1,62869,-0.0769467254125147,0.142387116773666,0.589258474849683
49,1,66841,-0.0795152579973935,0.142450282035625,0.577064023419865
50,1,66948,-0.0903235433866176,0.143307143268118,0.528919571863061
51,1,68621,-0.234112194656649,0.142455394510155,0.101189093053556
52,1,69417,-0.172795902023697,0.142323901570748,0.225519944022439
56,1,74327,-0.170893598901486,0.143116117112626,0.233244341763154
57,1,74572,-0.171046999604682,0.142733034766743,0.231576896231034
58,1,75211,-0.248566018406365,0.14214802999345,0.0812221445705746
59,1,76030,-0.0829386514164631,0.142694093091752,0.56145371949593
60,1,80108,-0.0747182243163238,0.142673188992944,0.600814496828834
61,1,81262,-0.0752318414788703,0.142618444861323,0.598174822187457
62,1,81999,-0.125552443413786,0.142866878175181,0.380103610492269
63,1,82431,-0.125140561366552,0.143545667170639,0.383919730725592
64,1,83284,-0.108845070230763,0.142536745319881,0.445598941832685
