SNP,Chr,Pos,Effect,SE,GTR1_SLM4_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0126476027797331,0.158744573553561,0.936542749793157
9,1,27272,0.0789992136234496,0.156305451879778,0.613582385913059
16,1,27843,0.257454607941774,0.152046186797598,0.0912870926682165
17,1,27848,0.257454607941774,0.152046186797598,0.0912870926682165
18,1,28495,0.267653709743719,0.151998769365599,0.0791221744844612
19,1,28975,0.233169061070206,0.151135735748821,0.123780325476686
26,1,31435,0.226381558085296,0.150761910023033,0.134098726965868
29,1,36146,0.0815585168130566,0.150400129364714,0.587969921836712
31,1,37409,0.129103027106846,0.151120149534449,0.39351420390035
32,1,37478,0.13713667805419,0.151230295442919,0.365127487449037
33,1,39144,0.11104673044146,0.150599494222629,0.461390508292561
34,1,41499,0.0458365750323365,0.150277577094674,0.760536210181323
37,1,51248,-0.178031579611036,0.150639384420321,0.238064906469467
38,1,51462,-0.13135202784129,0.150980008873746,0.384893701843128
39,1,52124,0.00620676383993879,0.150936752417622,0.967222186687903
40,1,52667,-0.121999759941299,0.150555253146812,0.418295252701548
42,1,59265,0.314750411444852,0.149684656478068,0.0361946597774016
43,1,60165,0.235419406562908,0.149982881312494,0.117394360813999
44,1,62308,0.044571134758237,0.150321135588416,0.767017976335786
45,1,62869,0.12503384746417,0.150173589446174,0.405635854920286
49,1,66841,0.205079876663007,0.14999518181635,0.172419087663471
50,1,66948,0.185225120067289,0.150993292722768,0.220748835964099
51,1,68621,-0.0218161791210255,0.150900405850685,0.885130235013026
52,1,69417,-0.0109828872769069,0.150504241303685,0.941868186410702
56,1,74327,0.168697534142243,0.151066242502086,0.264876868966391
57,1,74572,0.122175203912461,0.15078979929891,0.418350876055802
58,1,75211,0.186719644908526,0.150326670887463,0.215026969012779
59,1,76030,0.151096462890182,0.150440017520601,0.315891400108892
60,1,80108,-0.0369926019607592,0.150606325018932,0.806115672211376
61,1,81262,-0.023273519359031,0.150557157498236,0.877238718938204
62,1,81999,-0.0691640230067952,0.150885047698529,0.646955173174969
63,1,82431,-0.00391334220417452,0.151644266949842,0.979426604222697
64,1,83284,0.0209549106067861,0.150536785336787,0.88937049219754
65,1,83613,0.0535519568989071,0.150497339808333,0.722178000908822
66,1,84112,0.0491557471984494,0.150518180513151,0.744181527649492
68,1,84858,0.137518249241607,0.1507882510372,0.362393328944589
69,1,85751,0.0892790705746205,0.151511801028723,0.556067209812115
70,1,87445,0.076185530227457,0.151852611017882,0.616186341958199
71,1,87467,-0.0624572143197874,0.152665791849039,0.682706502734606
72,1,89070,0.0677207869137846,0.151703452478167,0.655580305363254
73,1,89616,0.101530304163483,0.150833175380146,0.501305157907965
74,1,89679,0.0727152146468602,0.150899436733918,0.630190781901095
75,1,89880,0.100781732733068,0.150891993439519,0.504629761879871
76,1,91472,0.0744860207278928,0.152056379781188,0.624538737128292
77,1,93789,-0.051584227833883,0.150515878296747,0.732015968025731
78,1,94351,-0.068867763244665,0.150892600075625,0.648381233532847
79,1,99148,-0.05778965338775,0.15050949114271,0.701239119832963
82,1,106800,-0.0484506786838164,0.150721920154691,0.748054032102162
83,1,107970,-0.00969720460211283,0.150296492323461,0.948592307192922
84,1,109000,-0.0972876489701944,0.150473184992728,0.518346760389528
85,1,112549,-0.168198136358102,0.150125131048989,0.263310860478105
86,1,112742,-0.124585266712638,0.15083205419688,0.409369548992434
87,1,113050,-0.0285804721780214,0.150716078433942,0.849707120777303
88,1,113135,-0.0772448227703426,0.150283626908578,0.607578062052599
89,1,114076,-0.017497812162353,0.150336968774462,0.907409160007261
90,1,114628,-0.0296983517876341,0.150711897822886,0.84389884686724
91,1,116283,-0.025284746462415,0.151552502004802,0.867592887793505
93,1,127853,0.157242169075884,0.151044608621324,0.298573478863981
94,1,128302,0.183541791720903,0.15037824352541,0.223077106294864
95,1,128704,0.0772559265070576,0.150789168632281,0.608730681276968
96,1,128911,0.136130172839636,0.150687827292377,0.366933960114694
97,1,130267,0.0223931615484068,0.15078569642712,0.882025209603922
98,1,130271,0.0182110190143132,0.150966263718582,0.904052953541426
99,1,130613,0.107037150103471,0.152273642225678,0.482564977763478
100,1,132012,-0.0804512441135454,0.151996430855415,0.596932172853702
101,1,133231,-0.0270404738802089,0.150970882769571,0.857953676971449
102,1,137074,-0.0605675118322017,0.150728552182004,0.68805105842877
103,1,137304,-0.0830408152171982,0.150750646338444,0.582085763384902
104,1,139686,-0.0285739960041498,0.151005960605176,0.850025778678469
105,1,149562,0.00645175615304427,0.151357742555414,0.966023869338716
106,1,150447,0.0198938733100807,0.153033372527148,0.896642875459453
108,1,154084,0.049443473852351,0.153487281918117,0.747541859423424
110,1,157269,-0.0325850209894898,0.150713776465841,0.828953102639652
111,1,160054,0.0107240381236132,0.152154682351839,0.943850608818179
112,1,166222,0.0392146547795524,0.15101594711098,0.795267958387814
113,1,166416,0.0493064069821606,0.150700906672549,0.743725254160964
114,1,167326,-0.0114051744786374,0.151579033527818,0.940064449725491
115,1,168836,0.0153192731130219,0.150859714402446,0.919174315979121
116,1,171200,-0.0251442914769181,0.151081916886221,0.867915268344542
117,1,171431,-0.113224474377716,0.151911608974434,0.456567444418646
118,1,173339,-0.0794036018767897,0.15078958657414,0.598812216519587
119,1,173845,-0.0744601075992438,0.150671643145745,0.6214808408622
120,1,175121,-0.0897690806768102,0.15034901188173,0.550842536669401
121,1,175281,-0.0647120921218966,0.150513365887858,0.667499809211072
122,1,175315,-0.0737042049143496,0.150454243480368,0.624524625008393
123,1,175523,-0.0751084532154765,0.151305330995409,0.619918916500046
124,1,175541,-0.0694040404690596,0.150695140684834,0.645398445260083
125,1,175653,-0.150715244029771,0.15100448282044,0.318922023583177
128,1,175856,-0.0698609406908191,0.153668837286113,0.649662014881904
129,1,175876,-0.0750626361330698,0.151305395405619,0.620132466584134
130,1,175989,-0.0704606497156453,0.151743646394975,0.642690387743951
131,1,176001,-0.0736293259929522,0.152530575765864,0.629594861491184
133,1,177692,-0.0730035919591622,0.15045521113598,0.627822631447051
134,1,178191,-0.0876719649342935,0.150582532397613,0.560791048810979
135,1,178224,-0.0730035919591622,0.15045521113598,0.627822631447051
136,1,178960,-0.0818820299590219,0.151644827946324,0.589565588329442
140,1,183802,-0.0206296729696233,0.150520323492316,0.891064879402047
141,1,183954,-0.00180903831339613,0.151620158167345,0.990487099066338
142,1,184450,0.0423122845242181,0.1502757874509,0.778442662985601
144,1,184718,-0.0260984672693463,0.151140200336471,0.863004124790534
145,1,185296,0.0174473054481363,0.150502511653617,0.907776312399834
146,1,185438,0.0444697529842221,0.150493871187639,0.767791704079081
147,1,185469,0.0471346968321784,0.150708823488745,0.754652706702336
148,1,185503,0.0171310969207848,0.150337088420165,0.909341231880086
149,1,185705,0.0106109615175744,0.152019060529179,0.944392208304687
150,1,185749,0.0178530131321682,0.152017139839698,0.906577552953336
151,1,185806,-0.0407382571393176,0.152207654923629,0.78912567049172
152,1,185879,-0.0694301652568844,0.152914012870636,0.650073957629334
153,1,185916,0.0675302887157232,0.15284683658988,0.658892367747486
154,1,185941,0.0627125814987324,0.153518816231633,0.683153627294791
