SNP,Chr,Pos,Effect,SE,MID2_MAM33_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.101238507421429,0.0638230436571694,0.113580777045317
9,1,27272,-0.0842411990801042,0.0629286835819673,0.181537244063283
16,1,27843,0.0262130229182745,0.0615797222315523,0.670603204920395
17,1,27848,0.0262130229182745,0.0615797222315523,0.670603204920395
18,1,28495,0.0515104066811996,0.0615354782608991,0.403111308322071
19,1,28975,0.0202602962325457,0.0611752815981772,0.740701748058843
26,1,31435,0.0365936054366665,0.0609915870879398,0.548905892567707
29,1,36146,0.00420929277082421,0.0607076053766298,0.944760510280784
31,1,37409,0.0233205038311357,0.0610236364726001,0.702576166948748
32,1,37478,0.00418386857789671,0.06108832181235,0.945435277855384
33,1,39144,-0.0834874548252215,0.0606473929572036,0.169507149043557
34,1,41499,-0.0278456314708666,0.0606231772897931,0.646284817640128
37,1,51248,0.0164756300887103,0.0608930946445266,0.786882607764856
38,1,51462,0.0127012806341242,0.0609782413470404,0.835121095178041
39,1,52124,-0.00995406849591481,0.0608971038357128,0.870252030719135
40,1,52667,-0.065614047619441,0.0607014326324432,0.280465814250243
42,1,59265,-0.0237596107861432,0.0607579767542206,0.695993713895742
43,1,60165,0.00242168550398708,0.0607250762074707,0.968211741740587
44,1,62308,0.00185102894814926,0.0606583484985171,0.975673057581798
45,1,62869,0.0152402407187778,0.0606453854896375,0.801727694028041
49,1,66841,0.069281507394752,0.0605672465050341,0.253449550670696
50,1,66948,0.0733954857855939,0.0609266840485358,0.229144490498803
51,1,68621,0.0398012377474098,0.060849536334496,0.513477971611345
52,1,69417,0.0360336910861924,0.0606949193125241,0.553102735838009
56,1,74327,-0.0595937667837446,0.0609766352872262,0.329079378352615
57,1,74572,-0.0685345293045595,0.0607871687152798,0.260317782617433
58,1,75211,-0.0471555073209028,0.060733670374165,0.438014443497163
59,1,76030,-0.00987566906423065,0.060783235354892,0.8710259060417
