SNP,Chr,Pos,Effect,SE,ALO1_UIP4_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0954393088483179,0.168797780307228,0.572156701056195
9,1,27272,-0.0235723595547306,0.166333357454267,0.88738393851891
16,1,27843,-0.100398791862967,0.162314532489236,0.536615262400273
17,1,27848,-0.100398791862967,0.162314532489236,0.536615262400273
18,1,28495,-0.107891268383079,0.162303544577298,0.506644484496879
19,1,28975,-0.0940432947840655,0.161241842342597,0.560101659221812
26,1,31435,-0.16209439639426,0.160660625398045,0.313702044189239
29,1,36146,-0.224599314988859,0.159615453011538,0.160269395841846
31,1,37409,-0.166887133355067,0.16068258643783,0.299695322820914
32,1,37478,-0.165512164038101,0.160825162863568,0.304116903141095
33,1,39144,-0.103793860454943,0.160236061908156,0.517563880235861
34,1,41499,-0.113966064679569,0.159771437202755,0.476127178454494
37,1,51248,-0.244975470113859,0.160036816999602,0.126728192904968
38,1,51462,-0.230065902097085,0.160317856255056,0.152155112957535
39,1,52124,-0.165748311070941,0.160324562851535,0.30192347314345
40,1,52667,-0.226020459498355,0.15985775694319,0.158277014256842
42,1,59265,0.0449910834882595,0.160210994617271,0.779009956479513
43,1,60165,-0.00331271385922068,0.16010771274853,0.983504211278369
44,1,62308,-0.0740566472148956,0.159883146464767,0.643511948695192
45,1,62869,-0.0691796158485407,0.159869242864959,0.665477919838255
49,1,66841,-0.0494057263335248,0.159965392147451,0.757615858110231
50,1,66948,-0.0854730440765896,0.160904565194703,0.595611946572715
51,1,68621,-0.182085868695692,0.160239988772738,0.256588372480462
52,1,69417,-0.136152773694823,0.159943728806704,0.395205232036173
56,1,74327,-0.0381764960824525,0.160975246960781,0.812672135534931
57,1,74572,-0.00925831213559092,0.160558712861344,0.954049617892218
58,1,75211,0.00894468541629023,0.16026607631489,0.955523572291943
59,1,76030,0.00418406448186109,0.160266628697402,0.979186827470139
60,1,80108,-0.0833746382147378,0.160167427754461,0.603008870624254
61,1,81262,-0.0563045023567797,0.160140277664209,0.72535187723941
62,1,81999,-0.036928074387619,0.160547438392711,0.818214527228668
63,1,82431,-0.0967063078603067,0.161237380024038,0.54904033145134
64,1,83284,0.0156286387260332,0.160143457418473,0.922312069076475
65,1,83613,0.0420536586873282,0.160112326409485,0.792972825761787
66,1,84112,-0.0037171555848666,0.160145495565841,0.98149498702454
68,1,84858,0.0911195362748158,0.160524352871873,0.570642419974427
69,1,85751,0.0358882772227202,0.161246382524088,0.824000501765111
70,1,87445,0.0400444807552185,0.161584527495936,0.804414882327782
71,1,87467,-0.0108203637336529,0.162443538594611,0.946929895764046
72,1,89070,0.0272509020017365,0.161421353705074,0.866036139554861
73,1,89616,0.0419362399164749,0.160543953769357,0.794080237913928
74,1,89679,0.0353495821435581,0.160568778369231,0.825879824429035
75,1,89880,0.0442854051299634,0.160603192567535,0.782905862613021
76,1,91472,0.0577636423260929,0.161783529256332,0.721273118440726
77,1,93789,0.105227177618099,0.160047653226747,0.51130462510157
78,1,94351,0.0210448001000372,0.160563185731378,0.895795664980805
79,1,99148,0.0587459179048266,0.160115091273874,0.713914886010471
82,1,106800,0.0516698250175189,0.160338052582714,0.747449879673551
83,1,107970,0.0845983037771724,0.159823126195139,0.596913038025808
84,1,109000,0.0204967109610253,0.160164600115009,0.898243378091779
85,1,112549,-0.162427314656967,0.159753257096724,0.309974109138994
86,1,112742,-0.163997925762706,0.160372946985785,0.30719566625192
87,1,113050,-0.138850773807609,0.160169716773747,0.386586885696922
88,1,113135,-0.159159107739536,0.159707219820858,0.319656865603933
89,1,114076,-0.00961703455467383,0.159930907040234,0.952084187299336
90,1,114628,0.0463918825854764,0.16031731128971,0.772464015146757
91,1,116283,0.0795330726620217,0.161172518682548,0.621990595009476
93,1,127853,0.021607240119201,0.160923801560939,0.893265588311533
94,1,128302,0.062671418830727,0.160275054900845,0.696015275022023
