SNP,Chr,Pos,Effect,SE,PMC1_CTR2_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0604971762990187,0.0633639263244135,0.340353754506905
9,1,27272,-0.100552200662075,0.0622632899774391,0.107214592675784
16,1,27843,0.0405708367289689,0.0609760495048503,0.506256719759127
17,1,27848,0.0405708367289689,0.0609760495048503,0.506256719759127
18,1,28495,0.0438745035532365,0.0609705573255681,0.472246539803838
19,1,28975,0.0237931327680946,0.0605941767767416,0.69480489408565
26,1,31435,-0.0145775093236578,0.0604418510689255,0.809553796352912
29,1,36146,-0.00269686961769158,0.0601349701762023,0.964254665368075
31,1,37409,0.0187173073933764,0.0604520756426348,0.75703092648258
32,1,37478,0.00899776379770409,0.0605103627185424,0.881876927553064
33,1,39144,-0.0262425194688579,0.0602199289647539,0.663264173346418
34,1,41499,0.00117364884546978,0.0600690108527924,0.98442268959994
37,1,51248,0.0839658942117333,0.0601589562184092,0.163671905713929
38,1,51462,0.0718497415690698,0.0602853551639326,0.234129546210322
39,1,52124,0.0827326026432106,0.0601637965485197,0.169965507083018
40,1,52667,0.0122852768299898,0.0602244969634565,0.83847780493167
42,1,59265,0.0557714728108571,0.0601244303304901,0.354248449953559
43,1,60165,0.052522914506093,0.0600871790028264,0.382651635203886
44,1,62308,0.021435984832656,0.0600751862037017,0.721440297868302
45,1,62869,0.0247704824118245,0.0600640049464208,0.680295544601669
49,1,66841,0.115672675204195,0.0597906488138056,0.0538346694067624
50,1,66948,0.0973840638218822,0.0602531386643568,0.106933833172827
51,1,68621,0.0697528546757517,0.0601974651330068,0.247347866097917
52,1,69417,0.0489960551883552,0.0600956185318557,0.41544942393062
56,1,74327,-0.0194937838903742,0.060473985665314,0.747378450930154
57,1,74572,-0.0140493088885106,0.0603172259145369,0.815955683833011
58,1,75211,-0.0280194548791064,0.060193428139906,0.641867454947126
59,1,76030,0.00643107993926956,0.0602109265673293,0.915001036015053
60,1,80108,-0.0797542398628608,0.0600478103360332,0.184977070290383
61,1,81262,-0.100964117785126,0.059934478703271,0.0929544924708091
62,1,81999,-0.083717010449042,0.0601570668006089,0.164907574430582
63,1,82431,-0.0738090190991652,0.0604799570039793,0.22313240161715
64,1,83284,-0.0851731453364872,0.0599953508940347,0.156588462871403
65,1,83613,-0.0678571006382469,0.060051237373503,0.259249041810442
66,1,84112,-0.0718380102274097,0.0600447622549561,0.232340479259197
68,1,84858,-0.0486547144010176,0.0602805867723463,0.420130840355723
69,1,85751,-0.0788014191231244,0.060438829834913,0.193144205106617
70,1,87445,-0.0860641905898009,0.0605391993764091,0.156017289434614
71,1,87467,-0.0791360040628502,0.0608845671682952,0.194527531282414
72,1,89070,-0.0671760970529148,0.0605426335610219,0.267941041282155
73,1,89616,-0.0614097898820959,0.0602332443230671,0.308648142515741
74,1,89679,-0.0653728839961035,0.0602290790687163,0.278483436909902
75,1,89880,-0.0730346333924717,0.0602194529701778,0.226014239236293
76,1,91472,-0.0615708338543421,0.0607043205680604,0.311146556856962
77,1,93789,-0.0561754874275907,0.0600920410830128,0.350517997228519
78,1,94351,-0.0755200890370265,0.0601906624155365,0.210424609694067
79,1,99148,-0.0548675574303435,0.0600954643583841,0.361862188316735
82,1,106800,-0.0822382972222132,0.0600883223269487,0.171987303329845
83,1,107970,-0.0718412119441408,0.0599472194339188,0.231562263007758
84,1,109000,-0.107133511903079,0.0599041301338953,0.0745663695212283
85,1,112549,-0.0736140906715876,0.059978950237018,0.2205156570496
86,1,112742,-0.0534246905258053,0.0602739270318466,0.376024387298989
87,1,113050,-0.0445245114378676,0.0601928206630865,0.459974866116123
88,1,113135,-0.069199899948329,0.0599730288383096,0.249342138109917
89,1,114076,-0.0457627385351195,0.0600366308458672,0.446421636734401
90,1,114628,-0.0407692076364414,0.0601989304398551,0.498696393474318
91,1,116283,-0.0524014659338535,0.0605088199091252,0.38707086649148
93,1,127853,0.0413745216532341,0.0604201660961087,0.493932120609057
94,1,128302,0.040666499889379,0.0601891411140231,0.499708345938147
95,1,128704,0.0721402585821652,0.0601656049116512,0.231321222526704
96,1,128911,0.0994623930874809,0.0600618230103378,0.0986103861715342
97,1,130267,-0.034415377502303,0.0602382471909988,0.568145611126788
98,1,130271,-0.0299701953601776,0.0603165295859896,0.619581598460547
99,1,130613,0.00196683257595809,0.0609013807689765,0.97425475442491
100,1,132012,-0.0333653956237343,0.0607462490876863,0.583175319442323
101,1,133231,-0.0510096216970365,0.0602798537896802,0.398006959164147
102,1,137074,-0.000732841570761089,0.0602551331717894,0.990302991037469
103,1,137304,0.00768963843969139,0.0602747000126106,0.898556731374013
104,1,139686,-0.00067692009730963,0.0603552908888252,0.991057778605867
105,1,149562,-0.00515880307654895,0.0604923693683481,0.932086956364031
106,1,150447,0.00414682668849714,0.0611635981812946,0.945984078718705
108,1,154084,-0.0144565952470187,0.061348136191024,0.813842102250939
