SNP,Chr,Pos,Effect,SE,ALO1_ADE17_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0596002508431228,0.0927216693718145,0.520779830378238
9,1,27272,-0.0299643191662284,0.0913687156353516,0.743144316677089
16,1,27843,0.0526095388178938,0.0891765370409779,0.55560279953536
17,1,27848,0.0526095388178938,0.0891765370409779,0.55560279953536
18,1,28495,0.0944823135414518,0.0890801018399147,0.289576669587876
19,1,28975,0.0428778898590078,0.0885961465762046,0.628707159789508
26,1,31435,0.0672390137276438,0.0883182452618342,0.446970418362505
29,1,36146,0.0522516249200662,0.0878909551987216,0.552555142726638
31,1,37409,0.0999032907930898,0.0882503498345136,0.258384278597052
32,1,37478,0.0971459047340258,0.088335201414992,0.27219410305498
33,1,39144,0.077683566992676,0.0879855146541617,0.377884066616404
34,1,41499,0.183975781308285,0.0872907840642046,0.0357686005249525
37,1,51248,0.0358112778821449,0.088191575148465,0.684942828750213
38,1,51462,0.0350766296537127,0.0883120547352533,0.691467694158774
39,1,52124,-0.0256661676033877,0.0882015916514081,0.771226515248572
40,1,52667,0.0126608226065034,0.0880682199810249,0.885770809717299
42,1,59265,-0.17556021900758,0.0875290168969332,0.0456469819721701
43,1,60165,-0.175437045152491,0.0874628201275411,0.0456352083692297
44,1,62308,-0.17174896312883,0.0873862902171774,0.0501516880675479
45,1,62869,-0.194207255528866,0.0872418595876391,0.0266397317854002
49,1,66841,-0.150679267414561,0.0875268309347289,0.0860324353610441
50,1,66948,-0.151799911147104,0.0880630374520851,0.0856259785418963
51,1,68621,-0.153322954583291,0.0878149663742048,0.0816848063780261
52,1,69417,-0.149251445939545,0.0876004015449593,0.0893030339395308
56,1,74327,-0.108339124701141,0.0882552710515358,0.220428092836663
57,1,74572,-0.0626147912678762,0.0881450025934691,0.477949194243061
58,1,75211,-0.110216895028072,0.0878515458033629,0.210460875416585
59,1,76030,-0.0558866075392941,0.0879969267484408,0.525776420967264
60,1,80108,-0.0763481557062115,0.0879325233149471,0.385842761368534
61,1,81262,-0.15958120927373,0.0875822002949796,0.0692898536081118
62,1,81999,-0.147247335010914,0.0878591290961805,0.0946337947884547
63,1,82431,-0.119757625419744,0.088396022879427,0.176352407367972
64,1,83284,-0.191207173373244,0.0873900432897204,0.0293266017270279
65,1,83613,-0.19065355250551,0.0873837096696243,0.0297835172860229
66,1,84112,-0.138868474801443,0.0876696036862203,0.114089619929273
68,1,84858,-0.0937954014179878,0.0880875790168422,0.287695531689714
69,1,85751,-0.134559693163934,0.088301608752858,0.128437894275583
70,1,87445,-0.136656385068752,0.0884803960085163,0.123367574479636
71,1,87467,-0.110450880069805,0.0890497772465093,0.215678097019412
72,1,89070,-0.0915989680162804,0.0885509547870771,0.301647513363306
73,1,89616,-0.11262094384729,0.0880040766244875,0.201482586254834
74,1,89679,-0.0833957591672883,0.0881074150625056,0.344528986227308
75,1,89880,-0.10084401614602,0.08807811458214,0.253010351384185
76,1,91472,-0.0670751342776811,0.0888247870243941,0.4506686183677
77,1,93789,-0.0333048601508245,0.0879627611056627,0.705194305661562
78,1,94351,-0.0189613135998224,0.0882063967106714,0.829918517166881
79,1,99148,-0.0160982008441452,0.087976448257238,0.854916348975887
82,1,106800,0.0182661452692221,0.0880939317005934,0.835857255470879
83,1,107970,0.0183242441469595,0.0878328746687965,0.834860337092402
84,1,109000,0.0172136451619442,0.0879883202841378,0.845007980553451
85,1,112549,0.0573301159792318,0.0878404987122446,0.514399294879845
86,1,112742,0.0545807985443117,0.0881880794213028,0.536372493493361
87,1,113050,0.0372271032876041,0.0880651893855526,0.672755399939491
88,1,113135,0.051441059297904,0.087820443846809,0.558416033750074
89,1,114076,0.0965059599356489,0.0877128442995867,0.271973421814003
90,1,114628,0.109174444370519,0.0878935213992318,0.215016269821286
91,1,116283,0.145922179299562,0.0882341497629102,0.0990558388226379
93,1,127853,0.0923383478315153,0.0882736884250754,0.296255486862296
94,1,128302,0.0548168236113115,0.0880224576322393,0.533844658613904
95,1,128704,-0.0368980041443259,0.0881365888426708,0.675729679263632
96,1,128911,-0.0113135580708964,0.0881661667561557,0.897968134271663
97,1,130267,0.0621747572483931,0.0880642757030884,0.480644085334376
98,1,130271,0.0657915768380331,0.0881615082781421,0.456005894732554
99,1,130613,0.0899447251169606,0.0889267730787383,0.312495272274889
100,1,132012,0.0506909887542623,0.0888255439792077,0.568579457910824
101,1,133231,-8.46889562320374e-05,0.0882359144864882,0.999234731547595
102,1,137074,0.0331944924576381,0.0880927098470786,0.706538865296984
103,1,137304,0.0525598428858124,0.0880966454729809,0.551146398587887
104,1,139686,-0.0321629842855687,0.0882402781983835,0.715707973145072
105,1,149562,-0.0185858800790331,0.0884526941179204,0.833693477103862
106,1,150447,-0.0444308069433071,0.0894081582664063,0.619538212291668
108,1,154084,-0.00277061163524461,0.0897156271017835,0.975380976564506
110,1,157269,-0.00260075942823412,0.0880873677719772,0.976462747559567
111,1,160054,0.0552755142799513,0.0888756981252296,0.534381597442621
112,1,166222,0.0413167476739838,0.088239273531485,0.639905269909863
113,1,166416,0.0379061596056064,0.0880643687863068,0.667140488181215
114,1,167326,0.0506321024378759,0.0885470383972287,0.567814471590324
115,1,168836,0.128909611774327,0.0879008529744794,0.143393060341668
116,1,171200,0.112586401310531,0.0880966947749443,0.202093860805661
117,1,171431,0.0955117220381784,0.0887059789740374,0.282339559103481
118,1,173339,0.08443493284825,0.0880459398846268,0.338221533218834
119,1,173845,0.100045812401874,0.0879263836880012,0.255960622722984
120,1,175121,0.151865590919867,0.0875404466065217,0.0836482251907772
121,1,175281,0.139760039088518,0.0876725418737071,0.111805404341207
122,1,175315,0.144663013165607,0.0876222047602951,0.099630810726043
123,1,175523,0.139571991287231,0.0881457461585189,0.114220575940907
124,1,175541,0.142611909441427,0.087769603176244,0.105088293008189
125,1,175653,0.15212701003043,0.0880042822982145,0.0847493787159633
128,1,175856,0.101758478627501,0.089671545352659,0.257232786908883
129,1,175876,0.129958344786165,0.0881873743173708,0.141463896113611
130,1,175989,0.13810518382816,0.0884055501148824,0.119142143619359
131,1,176001,0.141948097231486,0.0888522245747785,0.111032307619575
133,1,177692,0.125560985259579,0.0877056070306531,0.153137755084495
134,1,178191,0.123794850500942,0.0878003016209968,0.15943217063877
135,1,178224,0.125560985259579,0.0877056070306531,0.153137755084495
136,1,178960,0.153477772180087,0.0882852583113834,0.0830069360782427
140,1,183802,0.24038520075701,0.0870355487425504,0.00604686027296111
141,1,183954,0.227938148424323,0.0877769501283365,0.00980343529400663
142,1,184450,0.24976561776798,0.0868237224477484,0.0042628261949259
144,1,184718,0.248434235254434,0.0873393202190732,0.0047078383496782
145,1,185296,0.273209570598946,0.0867495277385627,0.00177560423558459
146,1,185438,0.243258542081532,0.0870059308295771,0.00545896251742474
147,1,185469,0.242393634402951,0.0871411043212153,0.00569921306530598
148,1,185503,0.247646995333751,0.0868688090416637,0.00461702663460294
149,1,185705,0.261954868579942,0.0877442918515218,0.00302931358813009
150,1,185749,0.241288285194333,0.0879120208264198,0.00636711833725212
