SNP,Chr,Pos,Effect,SE,DHH1_LSM3_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0108591548533843,0.0639595116537567,0.865279073447078
9,1,27272,-0.020299436621129,0.0629922921231857,0.747452021012517
16,1,27843,0.0998710827072436,0.0612808076651179,0.104050843689915
17,1,27848,0.0998710827072436,0.0612808076651179,0.104050843689915
18,1,28495,0.114758166693764,0.0612079108224725,0.0616331759924034
19,1,28975,0.0886146754892615,0.0609184326510738,0.146656245035557
26,1,31435,0.0796068121376546,0.0607913789155661,0.191213902659953
29,1,36146,0.0482315038014358,0.0605702551087629,0.42639853311485
31,1,37409,0.0263105292078615,0.060936330658666,0.666171587604497
32,1,37478,0.0164112600162893,0.0609985627928563,0.788053474081767
33,1,39144,-0.0148581443465059,0.060721286486281,0.806835422426116
34,1,41499,-0.0225339842032213,0.0605461163677721,0.709983018335515
37,1,51248,0.0500107905894762,0.0607574779135794,0.410994576997357
38,1,51462,0.0601974328669269,0.0608138812384823,0.3229189190586
39,1,52124,0.0157421147683893,0.0608099852769448,0.795883464587511
40,1,52667,-0.00485324345757776,0.0607177423615209,0.936337250699906
42,1,59265,0.0128050388241915,0.0606838337244192,0.83299938842223
43,1,60165,0.0244423477647372,0.0606278451929825,0.68707913362476
44,1,62308,0.043728455581869,0.0605303793146161,0.47051360377544
45,1,62869,0.0157475327686006,0.0605617007002939,0.794996384803954
49,1,66841,0.0563935524056312,0.0605216617463482,0.352081274962608
50,1,66948,0.0569468084232981,0.0608925425319654,0.350323676090157
51,1,68621,0.102829559661546,0.0605559411641049,0.0903716364780552
52,1,69417,0.0732751046405865,0.0605162600458997,0.226769333226283
56,1,74327,0.0270867522922628,0.0609581594463948,0.657061915204096
57,1,74572,-0.00326999522277691,0.0608126207315557,0.957147511343281
58,1,75211,0.0332436917613332,0.060676220270926,0.584115999545047
59,1,76030,0.0456277457753903,0.0606534146974449,0.452390008279979
60,1,80108,-0.0462656277640026,0.0606376814704191,0.445982049180389
61,1,81262,-0.0621734659612505,0.0605743961572024,0.305406622053099
62,1,81999,-0.0412442918732588,0.060773235681875,0.497798742033474
63,1,82431,-0.0514088833618553,0.0610394442785768,0.400232839716173
64,1,83284,-0.028240731095629,0.0606374942760897,0.641695628930877
65,1,83613,-0.0135879012166445,0.0606451250958653,0.822843386967309
66,1,84112,-0.00661859412600159,0.0606550981633473,0.913170492846998
68,1,84858,0.0446190105174455,0.0607809343870192,0.463377844924811
69,1,85751,0.00412490761593535,0.0610769328724596,0.946193032725698
70,1,87445,0.00558474350790061,0.0612057188883086,0.927349315025049
71,1,87467,-0.0145563378763493,0.061521981072776,0.813101364904194
72,1,89070,-0.0117823757786721,0.0611385656894876,0.847292268789466
73,1,89616,0.0101832323834613,0.0608104544380366,0.867105126032064
74,1,89679,0.00445250870782862,0.0608201089683016,0.941682192464617
75,1,89880,0.00189510974941963,0.0608358975813096,0.975166581941072
76,1,91472,0.0199778684184755,0.061278328705921,0.7446035455908
77,1,93789,0.00221526595193915,0.0606560065198033,0.970886948053623
78,1,94351,0.0121674365431458,0.0608123090938785,0.841531818256556
79,1,99148,0.0191146223406977,0.0606475884917551,0.752814783210856
82,1,106800,0.0230781616452686,0.0607255174729013,0.70414383716405
83,1,107970,0.00724757472452075,0.060556765733249,0.904802883716594
84,1,109000,0.00666981612846411,0.06066367927869,0.912513538500348
85,1,112549,0.0144111846766514,0.0605911904777538,0.812140931418606
86,1,112742,0.0543524333796186,0.0607633024983435,0.371666905128348
87,1,113050,0.0280509856885386,0.0607114353734421,0.644338749018726
88,1,113135,0.0218858581256762,0.0605639070727716,0.718040552210104
89,1,114076,0.0317342783915043,0.0605515555588925,0.600546986582315
