SNP,Chr,Pos,Effect,SE,SRO9_GIS2_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0775062202134156,0.111825103644228,0.488701201083772
9,1,27272,-0.0148517319670762,0.11021783179446,0.892887203825135
16,1,27843,0.0428838346157821,0.107588597639871,0.690435664535918
17,1,27848,0.0428838346157821,0.107588597639871,0.690435664535918
18,1,28495,0.0612647529085423,0.107565135087335,0.569338708637234
19,1,28975,0.0698543277626782,0.10683052912663,0.513614959884427
26,1,31435,0.0262869217363569,0.10660280978624,0.805370802693666
29,1,36146,-0.00678279077462673,0.106061640009146,0.949045119694799
31,1,37409,0.0465112049928893,0.106606979417678,0.662895454069436
32,1,37478,0.032485540212444,0.106713379948355,0.760988362518177
33,1,39144,0.0341232162459735,0.106224836954048,0.748221844516992
34,1,41499,0.0583474281893435,0.105900150115197,0.582005217384497
37,1,51248,-0.0711468099939469,0.106329220269521,0.503857486320467
38,1,51462,-0.0439522120215818,0.106515217870415,0.680122456234776
39,1,52124,-0.0411005519813746,0.106374137966727,0.69945004549129
40,1,52667,-0.0951861253819036,0.10610523291002,0.370281380547101
42,1,59265,0.0249467005212196,0.106164222533799,0.814358812084684
43,1,60165,0.00813812750754844,0.106091410006968,0.938898790610507
44,1,62308,-0.0826184004105047,0.105884345437038,0.435754721740169
45,1,62869,-0.0829488029785504,0.10587029191251,0.433862075171434
49,1,66841,-0.00342841322098358,0.106012087656652,0.974219321036205
50,1,66948,-0.024557841027653,0.106654845416904,0.8180267862771
51,1,68621,-0.117556599860641,0.106189727412957,0.269029117143935
52,1,69417,-0.0800225763316958,0.106006765581658,0.450823247160673
56,1,74327,0.00600325637614041,0.106675103200765,0.955153715052759
57,1,74572,-0.0268598499473089,0.106381971943827,0.800813175078399
58,1,75211,0.0035038595133256,0.106197471206164,0.97369816886644
59,1,76030,0.0179948043720562,0.106193315950078,0.865537191679912
60,1,80108,-0.0601498777074544,0.106124247132276,0.571218889764939
61,1,81262,-0.00217987680884854,0.106132323640186,0.983624817631382
62,1,81999,0.00203999079635608,0.10639152192536,0.984712833776117
63,1,82431,-0.0380738166691916,0.106875996837206,0.721871475342004
64,1,83284,0.00256663670417837,0.106117258991451,0.980717275213889
65,1,83613,0.0366535027527264,0.106087717505438,0.729922916140301
66,1,84112,0.00135249108067068,0.106117322504288,0.989838242586614
68,1,84858,0.045736987349473,0.106388995786198,0.667528247344061
69,1,85751,0.0216486121785174,0.106848031050862,0.83955562920493
70,1,87445,0.0543982437229121,0.107040975766316,0.61163038424972
71,1,87467,0.00212498756973828,0.107640636047537,0.984260738972513
72,1,89070,0.0418400056064389,0.106943822690348,0.695860689785404
