SNP,Chr,Pos,Effect,SE,ERG11_ORM2_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0118311305727479,0.0896422931063232,0.895074062729866
9,1,27272,-0.0678857637565338,0.0882242902036993,0.442130129541916
16,1,27843,0.195702892817216,0.0855774965350844,0.022796005376138
17,1,27848,0.195702892817216,0.0855774965350844,0.022796005376138
18,1,28495,0.256709028890338,0.0851208663963717,0.00274857702016326
19,1,28975,0.19981300699739,0.0849712593196619,0.0192451342715684
26,1,31435,0.206560781412854,0.0846967531443719,0.0152271904799475
29,1,36146,0.126243856682898,0.0847008251206138,0.136994245424082
31,1,37409,0.165221269845076,0.0849725030319605,0.0526402239209448
32,1,37478,0.167428819955589,0.0850340995975925,0.049739440566202
33,1,39144,0.0746739073587266,0.0850167569624895,0.380354840701528
34,1,41499,0.0630694266926101,0.0848071242685469,0.457564329509777
37,1,51248,0.118481760670653,0.0850011928035234,0.164229609461709
38,1,51462,0.121352370922941,0.0851056314983027,0.154780062007559
39,1,52124,0.0909404262225648,0.0850972506010818,0.285951027510032
40,1,52667,0.0655601558458794,0.085026623676399,0.441190450182268
42,1,59265,-0.0683565360007088,0.0849774156604673,0.421702633544701
43,1,60165,-0.024008673948189,0.0849813842426248,0.777712797872414
44,1,62308,0.0239265929154781,0.0848879677583595,0.778215394450295
45,1,62869,-0.0244640158759906,0.0848768697279218,0.773340245799122
49,1,66841,-0.00166093424988289,0.0849268171124029,0.984407623324934
50,1,66948,0.0234962968250949,0.0854389173760333,0.783471780757489
51,1,68621,0.035168912722834,0.0851960276913741,0.68000382722829
52,1,69417,0.0480106415614952,0.0849525677592942,0.572333150413535
56,1,74327,0.00620908151769289,0.0854576262582396,0.942120340080922
57,1,74572,-0.00934142388328787,0.085229297911671,0.912786166090846
58,1,75211,0.00231349713175283,0.0850752909363996,0.978320745911067
59,1,76030,-0.00711336788644182,0.0850745375971211,0.933411239988761
60,1,80108,-0.0454116839226278,0.0850209154214592,0.593592172588577
61,1,81262,-0.0489906341538302,0.084983116437647,0.56466161561844
62,1,81999,-0.0912147676435986,0.0850923653448293,0.284474761136718
