SNP,Chr,Pos,Effect,SE,SSH1_ERV25_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0190399479472108,0.0604718948205442,0.753056903717798
9,1,27272,-0.0313197739504856,0.0595487794979431,0.599252113979206
16,1,27843,-0.0404976004242359,0.0581226561323553,0.486410938723953
17,1,27848,-0.0404976004242359,0.0581226561323553,0.486410938723953
18,1,28495,-0.02096099952182,0.0581528511907413,0.718728738827088
19,1,28975,-0.0378379325251397,0.0577396506866638,0.512688743410074
26,1,31435,-0.0285561294633646,0.0576016403801006,0.620377877441822
29,1,36146,-0.0671315191980865,0.0572131044776232,0.24144291362943
31,1,37409,-0.0275776197161674,0.0576158193551632,0.632486343210981
32,1,37478,-0.0384595118764574,0.0576477265122028,0.505114054784689
33,1,39144,-0.103310864436949,0.0571569446734848,0.0715363550622302
34,1,41499,-0.0766532574031632,0.057116030704091,0.18043842994541
37,1,51248,-0.0394784357524962,0.0574668882734977,0.492548216835634
38,1,51462,-0.0476509910635101,0.0575273881405134,0.408049908996672
39,1,52124,-0.0382857771214686,0.0574691742139633,0.505720481705468
40,1,52667,-0.079098611868997,0.0572585667325347,0.168021014632474
42,1,59265,-0.0416444874153831,0.0573413432324941,0.468163192495648
43,1,60165,-0.0433407312120745,0.0572943837661696,0.449879856023892
44,1,62308,-0.05102169918067,0.0572133293028573,0.373118359991768
45,1,62869,-0.0470356597723519,0.0572158042488376,0.411589351189671
49,1,66841,-0.0544557838835509,0.0572241837191336,0.34193990516114
50,1,66948,-0.0744879120753801,0.0575126937660561,0.19611280287225
51,1,68621,-0.024811106575123,0.0574778387714053,0.666249248629067
52,1,69417,-0.043897843244027,0.0572931822248381,0.444071359354084
56,1,74327,-0.110318023906752,0.0573562986040202,0.055236228227952
57,1,74572,-0.0924637710480221,0.0572915761942831,0.107439234301308
58,1,75211,-0.0857842184373848,0.0572158498185686,0.134687349754223
59,1,76030,-0.0615448241951679,0.057304189115126,0.283555296467979
60,1,80108,-0.0785344584802707,0.0572317258456496,0.170866613760656
61,1,81262,-0.131235458429406,0.0569356093634802,0.0217472475060015
62,1,81999,-0.146018627948373,0.0569749393083942,0.0107954635956782
63,1,82431,-0.123954869907131,0.0573968354627167,0.031475678896169
64,1,83284,-0.0953303931919931,0.057129467230651,0.0960688763402895
65,1,83613,-0.0845672025473855,0.0571711140989706,0.139980123219685
66,1,84112,-0.0819780247262021,0.0571881350350941,0.15260593789692
68,1,84858,-0.0583571471205418,0.0574322866479398,0.310276024036989
69,1,85751,-0.0930570074970501,0.0575398459859029,0.106714946719868
70,1,87445,-0.0754872404304669,0.0577350772461687,0.191901955573411
71,1,87467,-0.0806907227990165,0.0580189463867982,0.165172758809045
72,1,89070,-0.0908501697246965,0.0576109961712955,0.115700701033789
73,1,89616,-0.0770352727692516,0.0573561937583983,0.180101519485299
74,1,89679,-0.079159590150679,0.0573553003854607,0.168410275781842
75,1,89880,-0.0941709386292063,0.0573056352509061,0.10120911139063
76,1,91472,-0.0742275067555918,0.057816580591843,0.200038372131113
77,1,93789,-0.0765423802608148,0.0572094725859027,0.181779878598493
78,1,94351,-0.0744595532370418,0.0573685660864108,0.195163787281302
79,1,99148,-0.039988922941395,0.0573148381438437,0.485820188237858
82,1,106800,-0.0429741042267568,0.0573861432471861,0.454441152289765
83,1,107970,-0.0323117897334681,0.0572357267285095,0.572746027574974
84,1,109000,-0.068061181641119,0.057247974013909,0.235284590145925
85,1,112549,0.0012080707841037,0.0572975019202109,0.983190417990159
86,1,112742,0.00839308977645298,0.057519034556924,0.884069035742343
87,1,113050,0.00414263654769637,0.0574235795361585,0.942529971042874
88,1,113135,-0.00319966261506804,0.0572774876442891,0.955482963584408
89,1,114076,0.00345906414319441,0.0572774449297991,0.951878096581853
90,1,114628,0.0203652346376269,0.0574124121495345,0.72301244154595
91,1,116283,-0.0219106010017126,0.0577302447053563,0.704519445238342
93,1,127853,-0.0294691568323061,0.0576131665265458,0.609320519344766
94,1,128302,-0.0159761383754622,0.0574068329159475,0.780947466421294
95,1,128704,-0.0291964915294933,0.057449267471758,0.611621078791716
