SNP,Chr,Pos,Effect,SE,ERG11_TPO4_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0397509763233574,0.0684738962831261,0.561929386182342
9,1,27272,-0.0207294739176436,0.0674687407802937,0.758837613908566
16,1,27843,0.0394430640491522,0.0658477567071995,0.549554483963778
17,1,27848,0.0394430640491522,0.0658477567071995,0.549554483963778
18,1,28495,0.073222260573454,0.0657669101852799,0.266311307493488
19,1,28975,0.0515836007836434,0.0653842775417611,0.430682608549522
26,1,31435,0.0384806789659271,0.0652363654941872,0.555658219351929
29,1,36146,0.0624703744795065,0.0648467700502748,0.336029519947439
31,1,37409,0.11866227540937,0.0649768097265401,0.0686608959399148
32,1,37478,0.104374895048966,0.0651025617874651,0.109776486428682
33,1,39144,0.021674753829808,0.0650307632818494,0.739105712860363
34,1,41499,0.0295707901687043,0.0648414870583553,0.648636342052451
37,1,51248,0.0570731930806905,0.0650657912218805,0.380995607354601
38,1,51462,0.0574263287486945,0.0651533341147592,0.378699598284387
39,1,52124,0.0558292310152947,0.0650688485551592,0.391473290833427
40,1,52667,-0.0128791529638392,0.065028659383228,0.843117217554171
42,1,59265,0.0375004025350485,0.0649688128807647,0.56416809290373
43,1,60165,0.0354112907597013,0.0649229949815845,0.585798667311897
44,1,62308,0.0172808299860099,0.0648723958167922,0.790100657146567
45,1,62869,0.015387026533099,0.0648655973859514,0.812628398320749
49,1,66841,0.0326090182207574,0.0648781291077045,0.615545171758912
50,1,66948,0.0227109305887847,0.0652884583741441,0.728156253570305
51,1,68621,0.00203900498457543,0.0651226586943028,0.975039832370862
52,1,69417,0.0074473652004497,0.0649491374121479,0.90877618654794
56,1,74327,-0.0582082347932942,0.0652339122416197,0.372839880517101
57,1,74572,-0.059283651846459,0.0650570956235246,0.362782489279913
58,1,75211,-0.0629387040870178,0.0649284783223694,0.333032105013577
59,1,76030,-0.0410125586296957,0.0649781817040132,0.528335026992715
60,1,80108,-0.116886164462261,0.0647010574168544,0.0716828078504654
61,1,81262,-0.122883554469513,0.0646448710175338,0.0581291277854072
62,1,81999,-0.115365466357061,0.0648434949474381,0.0760776800120103
63,1,82431,-0.0816108860359643,0.0652975788928434,0.212189559117981
64,1,83284,-0.133272172792658,0.0645772743407243,0.0397706819921972
65,1,83613,-0.11595145545434,0.064664696405182,0.0738099512171446
66,1,84112,-0.115826135748351,0.0646725239009056,0.0741557901082512
68,1,84858,-0.0786395161217536,0.06501444594747,0.227253411032142
69,1,85751,-0.110378157439362,0.0651524845937665,0.0911185947635711
70,1,87445,-0.120549357381454,0.0652403560398935,0.065471617664813
71,1,87467,-0.142127777589384,0.0654626584309692,0.0305872718495808
72,1,89070,-0.110221026084493,0.0652225509448798,0.0919257316961171
73,1,89616,-0.112028869710625,0.0648600662533085,0.0849993781868598
74,1,89679,-0.112922628669798,0.0648639588274378,0.0825697856703549
75,1,89880,-0.113760663074804,0.0648763875531297,0.0803843351586906
76,1,91472,-0.0963176007769924,0.0654414912660891,0.141962470338866
77,1,93789,-0.0879896836206807,0.0647966635870681,0.175351512390431
78,1,94351,-0.0875986283528853,0.0649695835743132,0.178425698922607
79,1,99148,-0.102085150628301,0.0647380709364535,0.115715357815704
82,1,106800,-0.0448363528630011,0.0650095298298984,0.490842964633411
83,1,107970,-0.028055014014793,0.064843395100717,0.665527448322856
84,1,109000,-0.0682484840642017,0.0648732728950136,0.293506427809627
85,1,112549,-0.0186382847405259,0.0648937582410206,0.77411830016639
86,1,112742,-0.000961491523992941,0.0651541757164171,0.988234242697471
87,1,113050,0.0534923980311804,0.064982246425719,0.410958668196723
88,1,113135,0.00586527331745065,0.0648781646905218,0.928017113044658
89,1,114076,0.00802407948895745,0.0648775100624949,0.901638685028671
90,1,114628,0.0066828379195794,0.0650420754165045,0.918222603457873
91,1,116283,0.04005435609553,0.0653700571039743,0.540447782998171
93,1,127853,-0.000616729104616687,0.0652830260823795,0.992467828902326
94,1,128302,0.0045774357896225,0.0650318158900303,0.943924990004006
