SNP,Chr,Pos,Effect,SE,SRO9_SGN1_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0831804211537639,0.0837899115059107,0.321523501136615
9,1,27272,-0.0887771843724279,0.0825115178289141,0.28269029426381
16,1,27843,0.0742347332558332,0.0805944592127507,0.357632602653893
17,1,27848,0.0742347332558332,0.0805944592127507,0.357632602653893
18,1,28495,0.0996342205455979,0.0805181177057386,0.216756013304485
19,1,28975,0.0588298701986483,0.080091991377681,0.463114189312016
26,1,31435,0.0855491224896874,0.0798110304733674,0.284499028809921
29,1,36146,0.0583795249917304,0.0794678790200507,0.4630523006498
31,1,37409,0.123674683032813,0.0796871905147966,0.12155778990004
32,1,37478,0.103925850145672,0.0798359463930132,0.193853244782157
33,1,39144,0.0190594127372249,0.0796556940327025,0.811033191930853
34,1,41499,0.0700463487434837,0.0793536575355689,0.377993133521457
37,1,51248,-0.00926922427588171,0.0797778012559841,0.90756960580623
38,1,51462,-0.00844750701498443,0.0798862428601866,0.91584537175265
39,1,52124,-0.0238078713444041,0.0797692626329427,0.765528308315898
40,1,52667,-0.0814222142030765,0.0795334893976062,0.306655577688356
42,1,59265,0.0820535848054738,0.0794914082895825,0.302670073064466
43,1,60165,0.123115007518838,0.0792807880514926,0.121343473382456
44,1,62308,0.111502029442663,0.0792417172237021,0.16027381026706
45,1,62869,0.103979307245258,0.0792606824488465,0.190418217328071
49,1,66841,0.110595891033575,0.0792728555148199,0.163853942496477
50,1,66948,0.102849963061029,0.0797913916135133,0.198247101468794
51,1,68621,-0.0249220339291112,0.0797512550829467,0.754847306485185
52,1,69417,-0.0517131987970965,0.079503497422661,0.515823494402866
56,1,74327,-0.0366078571129704,0.0799647591608732,0.647377880359798
57,1,74572,-0.0513118433220613,0.0797287773790934,0.520265733144031
58,1,75211,-0.0156310596370922,0.0796257689642972,0.844483201222605
59,1,76030,0.00745097672561074,0.0796291276110233,0.92550303640878
60,1,80108,-0.12411470191464,0.0793367402877813,0.118618753913829
61,1,81262,-0.111238569253204,0.0793606450123904,0.161888182069157
62,1,81999,-0.131446188854893,0.0794681705903982,0.0990014896074659
63,1,82431,-0.11745214757601,0.0799090241704373,0.142500297964562
64,1,83284,-0.0922994983612014,0.0794181170735242,0.245940595692861
65,1,83613,-0.052527452399893,0.079512008552166,0.50928506260681
66,1,84112,-0.0690010725960857,0.0794851140240661,0.385929056125486
68,1,84858,0.0108441554691425,0.0797923960810729,0.891974148870138
69,1,85751,-0.0274270242166244,0.0801091602321531,0.73227574209445
70,1,87445,-0.03025712858158,0.0802756811218647,0.706463060225802
71,1,87467,-0.0713928688443163,0.0806226677576938,0.376479817797111
72,1,89070,-0.0482678650043958,0.0801658583722935,0.547494093426412
73,1,89616,-0.0376245982372303,0.0797504004339352,0.637375712465513
74,1,89679,-0.0379200740643754,0.0797601093840846,0.634777020622135
75,1,89880,-0.0372902571013958,0.0797811726885872,0.640497304119885
76,1,91472,-0.0243459684873976,0.0803877952140171,0.762177593043356
77,1,93789,-0.006756289207969,0.0795691002210643,0.932380309047571
78,1,94351,-0.0263283030980641,0.079767018792534,0.741546618713987
79,1,99148,-0.0291407303499032,0.0795547950010716,0.714362459439052
82,1,106800,-0.0434122211525713,0.0796437332536077,0.586042580522269
83,1,107970,-0.0874466319080947,0.0793047270207923,0.270923388559616
84,1,109000,-0.124908658281668,0.0793030079211859,0.116133520396048
85,1,112549,-0.117311402116087,0.0792455038970394,0.139670724656651
86,1,112742,-0.0853855560349581,0.0796712896262131,0.284576615669649
87,1,113050,-0.0733634876928498,0.0795708033343322,0.357163481672716
88,1,113135,-0.103879782081788,0.079271056749643,0.190899792051929
89,1,114076,-0.0824896682890748,0.0793422556816324,0.299205374098151
90,1,114628,-0.0318374628658549,0.0796466434984493,0.68959428413854
91,1,116283,-0.00962612458072465,0.0801061159806159,0.904419094298661
93,1,127853,0.0294308151492951,0.0799432574230735,0.712984801856338
94,1,128302,-0.0134785299393354,0.0796482388943923,0.86571603611935
95,1,128704,0.00334964955558115,0.0797305573994609,0.966512790607716
96,1,128911,0.00649259043221706,0.0797388322455186,0.935151549372905
97,1,130267,-0.0216968810119993,0.0796934166787862,0.785585613459661
98,1,130271,-0.017192560816146,0.0797911318058742,0.829525674674952
99,1,130613,0.000494857428705142,0.0805420673917557,0.995101229782459
100,1,132012,-0.0580461263310524,0.0803117110492825,0.470305660900834
101,1,133231,-0.0247674752449739,0.0797899126241179,0.756433442915187
102,1,137074,-0.024944433298075,0.079676247542613,0.754410552250794
103,1,137304,-0.0149332271155649,0.0797110437884278,0.851500119448005
104,1,139686,-0.0118386219025123,0.0798172770653233,0.882173701342823
105,1,149562,-0.0220511702932191,0.0799932504941739,0.782968301560119
106,1,150447,-0.0464114634395847,0.0808515340174964,0.566310922233107
108,1,154084,-0.017980892735075,0.0811335228738418,0.824737079595816
110,1,157269,-0.0442075723109124,0.0796317994573087,0.57914385841639
111,1,160054,-0.062773569595776,0.0803540195326592,0.435201088172237
112,1,166222,-0.0622968285484815,0.0797597280959417,0.435292935393654
113,1,166416,-0.0470079764998296,0.0796272557477342,0.555333536811153
114,1,167326,-0.0589460264515351,0.0800578105010407,0.462041249672814
115,1,168836,-0.07132942520804,0.0796491525768228,0.371105910625454
116,1,171200,-0.0407126314800439,0.0798295924373414,0.610374219458846
117,1,171431,-0.0866540383309111,0.0802250949952828,0.280818903915591
118,1,173339,-0.0850697820751797,0.0796039824402289,0.285952059353168
119,1,173845,-0.0864820061698994,0.079533467258478,0.277616878932008
120,1,175121,-0.0452471294182775,0.0794721161975321,0.569483471750542
121,1,175281,-0.0587973147157204,0.079514617986585,0.460123470417255
122,1,175315,-0.0614620675180911,0.0794838380997928,0.439883072543468
123,1,175523,-0.0609227781675539,0.0799361195613771,0.446483405971878
124,1,175541,-0.0602990740693544,0.0796106917280171,0.44930098006458
125,1,175653,-0.0703328546307986,0.079839764505553,0.378957726125641
128,1,175856,-0.0648393841628362,0.0811736542220239,0.424958703116232
129,1,175876,-0.0443240456882558,0.079967068951456,0.579739072355337
130,1,175989,-0.0426463320367664,0.0801980034886199,0.595224624772295
131,1,176001,-0.0614981608811876,0.0805817205358093,0.445867231458407
133,1,177692,-0.0791024210943961,0.0794396383164369,0.320051246187933
134,1,178191,-0.0690074627144931,0.0795453648314262,0.38624465663974
135,1,178224,-0.0791024210943961,0.0794396383164369,0.320051246187933
136,1,178960,-0.119800668165794,0.0799325678229773,0.13482660174
140,1,183802,-0.0763525413564855,0.0794572903180753,0.337247332626121
141,1,183954,-0.0771769679870385,0.0800350299351507,0.335560740803074
142,1,184450,-0.0544470230922609,0.0793858191150803,0.493255834371572
